10022,2D COMPOSITION ,ART,,,Basic introduction in flat pictorial composition for the studio or craft artist. Work produced in this class must be retained for later portfolio presentation in ARTF 24005.,2011
10023,3D COMPOSITION ,ART,,,"Serves as the introductory three-dimensional experience focusing on fundamental principles, elements and strategies of visual organization. Focus is on creative problem solving using a variety of approaches and materials and favors non-equipment intensive assignments. Students develop critical thinking and practical skills relating to three-dimensional form and space. As a foundation level course, Three-Dimensional Composition prepares students for subsequent study within all the visual arts.",2011
20024,DIGITAL MEDIA ,ART,art education (ARTE) or art history (ARTH) or fine arts (ARTS) or crafts (CRFT) or crafts/fine arts (CFA) major and freshmen or sophomore standing.,,"Introduces concepts, tools, software and guided experiences necessary for creative integration of digital skills and concepts into art practices and art research.",2011
30692,FIELD EXPERIENCE IN THE VISUAL ARTS ,ART,Junior standing or above with a major of art education (ARTE) or art history (ARTH) or fine arts (ARTS) and special approval of faculty sponsor.,,"An undergraduate, experience-based learning activity carried out in a visual arts setting.",2011
40008,PROFESSIONAL PRACTICES IN VISUAL ARTS ,ART,crafts (CRFT) or fine arts (ARTS) major and senior standing.,,Introduction to the concerns and practices of the professional artist/craftsperson.,2011
40092,FIELD EXPERIENCE TRAVEL STUDY IN ART,ART,"ARTE, ARTH, ARTS, CFA, CRFT majors.",,"(Repeatable for a maximum of 6 credit hours) Travel-based field experience in the visual arts at site(s) away from the university. Involves two or more visual arts disciplines and direct observation of works and experience of culture in context. May involve research, creative activity, presentation and-or written reflection as appropriate to site and goals of course.",2011
41093,VARIABLE TITLE WORKSHOP IN ART,ART,Permission.,,(Repeatable for a total of 18 hours). S u graded.,2011
50092,FIELD EXPERIENCE TRAVEL STUDY IN ART,ART,"ARTE, ARTH, ARTS and CRFT majors; and graduate standing.",,"(Repeatable for a maximum of 6 credit hours) Travel-based field experience in the visual arts at site(s) away from the university. Involves two or more visual arts disciplines and direct observation of works and experience of culture in context. May involve research, creative activity, presentation, and-or written reflection as appropriate to site and goals of course.",2011
51093,VARIABLE TITLE WORKSHOP IN ART ,ART,Graduate standing.,,,2011
67199,M.A.THESIS I ,ART,Graduate standing.,,"Thesis students must register for a minimum of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2011
67299,M.A.THESIS II ,ART,ART 67199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
69199,M.F.A. THESIS I ,ART,Graduate standing.,,"Thesis students must register for a total of 6 hours,2 to 6 hours in a single semester distributed over several semesters if desired.",2011
69299,M.F.A. THESIS II ,ART,ART 69199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
