10095,SPECIAL TOPICS ,AS,,,"This program, administered by the dean is intended to encourage interdisciplinary study to cover areas not treated adequately in traditional coursework and to make available promptly the new and significant experience of the faculty.",2011
11001,FOUNDATIONS OF MODERN THOUGHT I ,AS,,,"First semester course in which students learn eight ideas fundamental to contemporary thought through a wide variety of materials from social science, science and humanities. Offered at the regional campuses only.",2011
11002,FOUNDATIONS OF MODERN THOUGHT II ,AS,AS 11001.,,"The second course in which students learn eight ideas fundamental to contemporary thought through a wide variety of materials from social science, science and humanities. Offered at the regional campuses only.",2011
20095,SPECIAL TOPICS ,AS,,,"This program, administered by the dean, is intended to encourage interdisciplinary study, to cover areas not treated adequately in traditional coursework and to make available promptly the new and significant experience of the faculty.",2011
22001,INTRODUCTION TO JEWISH STUDIES ,AS,,,"Introductory examination of issues of Jewish life, culture, religion and society from antiquity to the present.",2011
22069,"INTRODUCTION TO LESBIAN, GAY, BISEXUAL AND TRANSGENDERED STUDIES ",AS,,,"An introductory examination of lesbian, gay, bisexual and transgender issues from an interdisciplinary perspective.",2011
30095,SPECIAL TOPICS ,AS,,,"This program, administered by the dean is intended to encourage interdisciplinary study to cover areas not treated adequately in traditional coursework and to make available promptly the new and significant experience of the faculty.",2011
30196,INDIVIDUAL INVESTIGATION,AS,Permission.,,(Repeated registration permissible) registration requires prior approval from the college of arts and sciences office.,2011
30210,SOCIAL STUCTURE AND PROCESSES IN EUROPE ,AS,,,"Introduction to social life in today's Europe, contrasting the European situation with other parts of the world, predominantly, the United States. This course is only available for semester abroad.",2011
40095,SPECIAL TOPICS ,AS,,,"This program, administered by the dean, is intended to encourage interdisciplinary study, to cover areas not treated adequately in traditional coursework and to make available promptly the new and significant experience of the faculty.",2011
40197,RUSSIAN AREA STUDIES COLLOQUIUM ,AS,Special approval.,,Interdisciplinary investigation of selected basic problems in 19th and 20th century Russia and the U.S.S.R.,2011
43001,LEGAL INFORMATION SOURCES AND SERVICES ,AS,enior standing.,,"Fundamentals of legal research methods and major sources of American legal literature in print and electronic formats as used in other disciplines. Students learn how to formulate a research plan based on legal analysis of issues using relevant, authoritative legal resources.",2011
50095,SPECIAL TOPICS ,AS,Graduate standing and special approval.,,Topic to be announced in the schedule of classes booklet. Repeated registration permitted when content varies.,2011
50096,INDIVIDUAL INVESTIGATION ,AS,Graduate standing.,,"Pursuit of a subject matter beyond normal course coverage, supervised by a graduate faculty member.",2011
53001,LEGAL INFORMATION SOURCES AND SERVICES ,AS,graduate standing.,,"Fundamentals of legal research methods and major sources of American legal literature in print and electronic formats as used in other disciplines. Students learn how to formulate a research plan based on legal analysis of issues using relevant, authoritative legal resources.",2011
60220,BIOINFORMATICS ,AS,Special approval and graduate standing.,,"Theory, methods and computational approaches used to interpret large volumes of biosciences information reviews of major data repositories. An interdisciplinary research project is required.",2011
61000,INTRODUCTION TO LIBERAL STUDIES ,AS,Graduate standing.,,"Introduction to history, philosophy and curricular structure of graduate liberal studies.",2011
61095,LIBERAL STUDIES SEMINAR ,AS,,,An interdisciplinary seminar designed for candidates in the liberal studies program. Topics will vary.,2011
61098,LIBERAL STUDIES ESSAY ,AS,Graduate standing.,,The preparation of an essay of approximately 50 pages on a topic related to the student's program of study for the Master of Liberal Studies degree.,2011
70095,SPECIAL TOPICS ,AS,Doctoral standing; special approval.,,Topic to be announced in the schedule of classes booklet. Repeated registration permitted when content varies.,2011
70096,INDIVIDUAL INVESTIGATION ,AS,Doctoral standing.,,"Pursuit of a subject matter beyond normal course coverage, supervised by a graduate faculty member.",2011
73001,LEGAL INFORMATION SOURCES AND SERVICES ,AS,doctoral standing.,,"Fundamentals of legal research methods and major sources of American legal literature in print and electronic formats as used in other disciplines. Students learn how to formulate a research plan based on legal analysis of issues using relevant, authoritative legal resources.",2011
