10001,HUMAN BIOLOGY ,BSCI,,,"Study of the scientific method and life's properties, emphasizing human biology. Topics include energy, genetics, reproduction, development disease, nutrition and physical fitness in humans.",2011
10002,LIFE ON PLANET EARTH ,BSCI,,,"Explores the fascinating breadth of life on Earth including the unique ecology and survival strategies of animals, plants and microbes in their natural habitats.",2011
10003,LABORATORY EXPERIENCE IN BIOLOGY ,BSCI,,BSCI 10001 or 10002.,Introductory college-level laboratory in biology for non-majors. Two hours of laboratory per week. Pre/corequisite: BSCI 10001 or 10002.,2011
10010,LAKE ERIE ENVIRONMENTAL SCIENCE ,BSCI,,,Principles and concepts of aquatic sciences and their relationship and application to marine business ventures in the Great Lakes region.,2011
10100,ANATOMY FOR VETERINARY TECHNICIANS ,BSCI,,,"Compare/identify anatomy and basic physiological functions of domestic animals: skeletal, muscles, integumentary, special sense organs, respiratory, digestive, urinary, reproductive, mammary glands, endocrine, nerves, circulatory, immune. Lecture 4 hours, laboratory 3 hours weekly.",2011
10110,BIOLOGICAL DIVERSITY ,BSCI,,,"Considered first course in biology majors' sequence. Examines the biodiversity of life from its origins to present-day microbes, plants and animals; their behavior, ecology and reproduction. Field trips.",2011
10120,BIOLOGICAL FOUNDATIONS ,BSCI,,,"Considered second course in biology majors sequence. Examines organization of life from subcellular biochemistry and molecular biology to genetics, bioenergetics and system homeostasis. Three-hour lecture and three-hour lab weekly. Field trips.",2011
10195,SPECIAL TOPICS IN BIOLOGY ,BSCI,pecial approval.,,Selected subjects and/or themes in biology.,2011
11001,ANATOMY FOR PHYSICAL AND OCCUPATIONAL THERAPY ,BSCI,,,This course covers the organization of the human body with emphasis on the structure and function of the neuro-musculoskeletal systems.,2011
11010,ANATOMY AND PHYSIOLOGY I FOR ALLIED HEALTH ,BSCI,pecial approval.,,"Anatomy and physiology to include organization of the human body, cells, tissues, organs and systems, integumentary, skeletal, muscular and respiratory systems and overviews of the nervous and circulatory system.",2011
11020,ANATOMY AND PHYSIOLOGY II FOR ALLIED HEALTH ,BSCI,BSCI 11010 and special approval.,,"Anatomy and physiology of the circulatory, digestive, urinary, nervous, endocrine and reproductive systems.",2011
16001,HORTICULTURAL BOTANY ,BSCI,,,"To provide students with an understanding of the basic anatomy and physiology and growth characteristics of plants. Lecture two hours weekly, lab three hours weekly. Offered only at the Geauga and Salem campuses.",2011
20001,ZOOLOGICAL FOUNDATIONS OF MEDICINE ,BSCI,Controlled registration (required of first year students in Phase I of NEOUCOM's combined B.S./M.D. program).,,"General zoology, including elements of human and mammalian physiology, anatomy and histology. Lecture two hours, laboratory four hours weekly.",2011
