11001,INTRODUCTION TO CONFLICT MANAGEMENT ,CACM,,,"Introduces key elements of conflict management theory and practice such as communication, collaborative problem solving, negotiation, mediation and nonviolent conflict intervention. Includes conflict communication skills development.",2011
21002,"GENDER, POWER AND CONFLICT ",CACM,CACM 11001.,,"Course examines power imbalances in interpersonal relationships and the violence that often results, and considers some of the ways these power imbalances are developed focusing particularly on gender.",2011
21010,CROSS-CULTURAL CONFLICT MANAGEMENT ,CACM,,,"This course examines cultural and gender-based components of conflict in diverse settings with special emphasis on conflict escalation and de-escalation, power disparity and conflict resolution techniques.",2011
22020,INTERNATIONAL CONFLICT RESOLUTION ,CACM,,,"Provides a wide view of the main theories on causes, expressions and consequences of international conflicts, and explores differing mechanisms for their prevention, resolution and management. Students are familiarized with how and why international conflicts appear and progress and learn recent developments on early warning methods, negotiation techniques and peacekeeping and peace building practices. Conflicts covered include international and civil wars as well as topics such as international terrorism.",2011
25095,SPECIAL TOPICS ,CACM,CACM 11001.,,An in-depth examination of conflict management applications in various professional areas. This course is of particular value to students who plan to work in a specific field and require knowledge of conflict management skills.,2011
31003,NONVIOLENCE:THEORY AND PRACTICE ,CACM,,,Examines the nature of violence and nonviolence on various structural levels and in different contexts.,2011
31010,CONFLICT THEORY ,CACM,CACM 11001.,,"Explores theoretical models of conflict and addresses cultural dimensions of conflict, gender and conflict and the functions of power in conflict.",2011
32020,STRATEGIC PLANNING ,CACM,Junior standing.,,"Course provides training in strategic planning, including assessing the current environment, developing goals and objectives and establishing a time line for action.",2011
33030,CONFLICT IN THE WORKPLACE ,CACM,CACM 11001.,,"Explores the causes, impact and dynamics of conflict in the workplace. Issues explored include personality conflict, incivility, ethics, teams, management style, diversity, legal issues, alternative dispute resolution, union environments and workplace violence.",2011
34040,NEGOTIATION ,CACM,CACM 11001.,,Explores the dynamics of negotiation occurring in different contexts from both a theoretical and practical perspective.,2011
35050,ENVIRONMENTAL CONFLICT RESOLUTION ,CACM,,,"Examines alternative dispute resolution principles applicable to public sector disputes, especially environmental and land use disputes.",2011
35092,INTERNSHIP IN CONFLICT MANAGEMENT ,CACM,junior standing and two upper-division CACM courses.,,"Students work as interns with an organization, group or business utilizing and enhancing their skills in conflict management.",2011
35095,SPECIAL TOPICS IN CONFLICT MANAGEMENT ,CACM,,,Designed to provide an in-depth examination of topics and issues of interest to faculty and students. Specific topics are announced in the Schedule of Classes and on the Center for Applied Conflict Management's web site. Repeated registration is permissible.,2011
36096,INDIVIDUAL INVESTIGATION IN CONFLICT MANAGEMENT ,CACM,junior standing and two upper-division CACM courses.,,Individualized program of study and literature review in area of particular interest to the student.,2011
38080,MEDIATION:THEORY AND TRAINING ,CACM,CACM 11001.,,Examines the historical development of mediation. Teaches mediation skills necessary to become a practicing mediator.,2011
41010,RECONCILIATION VERSUS REVENGE:TRANSITIONAL JUSTICE,CACM,CACM 22020 and 1 upper-division CACM course; and junior standing.,,"""Transitional justice"" refers to civil and political processes used to move from violence and tyranny to peace and democracy. War crimes tribunals, truth and reconciliation commissions, apologies, forgiveness, reparations and memorials will be examined.",2011
42020,QUALITATIVE RESEARCH IN CONFLICT MANAGEMENT ,CACM,CACM 11001 and 2 upper-division CACM courses; and junior standing.,,An overview of qualitative research methods used to gather and analyze data in conflict management. Gives students experience in writing a major research paper.,2011
45093,VARIABLE TOPIC WORKSHOP IN CONFLICT MANAGEMENT ,CACM,pecial approval.,,Variable topic offered as need arises. Specific topics will be announced in the schedule of classes.,2011
49091,VARIABLE TITLE SEMINAR IN CONFLICT MANAGEMENT ,CACM,enior standing.,,Seminar devoted to detailed study of various topics in the field of conflict management. Specific topics are announced in Schedule of Classes and on the Center for Applied Conflict Management's website. Repeated registration permitted.,2011
