10030,CHEMISTRY IN OUR WORLD ,CHEM,,,A course for non-science majors that utilizes environmental and consumer topics to introduce chemical principles and develop critical thinking skills.,2011
10031,CHEMISTRY IN OUR WORLD ,CHEM,,CHEM 10030.,Discovery-based experiments to introduce chemical principles and develop critical thinking skills. A course for non-science majors; includes chemistry that is related to environmental and consumer issues. Pre- or corequisite: CHEM 10030.,2011
10050,FUNDAMENTALS OF CHEMISTRY ,CHEM,ACT math score of 16; or MATH 10007 or MATH 10023 or MATH 10024 or MATH 11009 or MATH 11010 or MATH 11012 or MATH 12002 or MATH 12011 or MATH 12021.,,"Basic concepts of chemistry (including atomic structure, chemical bonding and reactions) necessary for courses in elementary organic chemistry and physiological chemistry.",2011
10052,INTRODUCTION TO ORGANIC CHEMISTRY ,CHEM,CHEM 10050 or 10060.,,Chemistry of organic and biological molecules necessary for the study of physiological chemistry.,2011
10053,INORGANIC AND ORGANIC LABORATORY ,CHEM,CHEM 10050 or 10054.,CHEM 10052.,"Laboratory with experiments covering material from CHEM 10050, 10052 and 10054.",2011
10054,GENERAL AND ELEMENTARY ORGANIC CHEMISTRY ,CHEM,ACT math score of 16; or MATH 10007 or MATH 10023 or MATH 10024 or MATH 11009 or MATH 11010 or MATH 11012 or MATH 12002 or MATH 12011 or MATH 12021.,,"A course covering the basic concepts of general, inorganic and organic chemistry necessary for the study of physiological chemistry.",2011
10060,GENERAL CHEMISTRY I ,CHEM,ACT math score of 18 or or MATH 11009 or MATH 11010 or MATH 11012 or MATH 12002 or MATH 12011 or MATH 12021.,,"Chemistry for science majors, emphasizing stoichiometry, introduction to chemical reactions, thermochemistry, atomic structure, periodicity, molecular structure and chemical bonding.",2011
10061,GENERAL CHEMISTRY II ,CHEM,CHEM 10060.,,"Continuation of CHEM 10060, emphasizing intermolecular forces, properties of mixtures, main group chemistry, kinetics, equilibrium, acid-base chemistry, thermodynamics and electrochemistry.",2011
10062,GENERAL CHEMISTRY I LABORATORY ,CHEM,,CHEM 10060.,Laboratory covering pertinent aspects of CHEM 10060. Three hours weekly. Pre- or corequisite: CHEM 10060.,2011
10063,GENERAL CHEMISTRY II LABORATORY ,CHEM,CHEM 10062. Pre- or corequisite: CHEM 10061.,CHEM 10061.,"Laboratory covering pertinent aspects of CHEM 10061, including qualitative analysis.",2011
10960,HONORS GENERAL CHEMISTRY ,CHEM,pecial approval.,,Rigorous general chemistry course for qualified students. Stoichiometry equilibrium thermodynamics kinetics bonding and structure. Four hours lecture one three hour lab weekly.,2011
10961,HONORS GENERAL CHEMISTRY ,CHEM,CHEM 10960.,,A continuation of CHEM 10960.,2011
16001,HORTICULTURAL CHEMISTRY ,CHEM,,,"This course is designed to give a general overview of basic chemical concepts to students pursuing the two-year degree in horticulture technology. Lecture three hours weekly, lab three hours weekly. Offered only at the Salem campus.",2011
20095,SPECIAL TOPICS,CHEM,Permission.,,(repeated registration permitted) selected topics in chemistry.,2011
20098,INTRO TO CHEMICAL RESEARCH ,CHEM,GPA of 2.5 in chemistry and special approval.,,Research experience for freshmen and sophomores. Registration requires prior approval of the research director. Does not count toward the electives for the BS or BA chemistry degree. A written report is required.,2011
20111,ELEMENTARY QUANTITATIVE ANALYSIS ,CHEM,CHEM 10063 or 10053 and special approval.,,"Theory and application of volumetric analysis; acid base, gravimetric, complexation, redox; spectroscopic, electroanalytical and chromatographic methods of analyses. For non-majors. Four hours lecture weekly.",2011
20112,ELEMENTARY QUANTITATIVE LABORATORY ,CHEM,,CHEM 20111.,Laboratory practice of methods discussed in 20111. Six hours laboratory weekly. Pre- or corequisite: CHEM 20111.,2011
