10010,"SOCIETY, CULTURE AND THE DIGITAL SCIENCES ",DSCI,,,"A survey course intended to give a broad understanding of society, culture and the digital sciences. Students understand not only the impact of digital sciences on culture and society, but also the impact of culture and society on the development and adoption of digital sciences. Topics include relationship and identify formation and maintenance, the relationship between digital science and race, gender, culture and globalization.",2011
10310,MY STORY ON THE WEB ,DSCI,,,"A first course in understanding the Web's impact on our private and public lives. Investigates web site design, storytelling, multimedia, intellectual property, ethical considerations and social media. Students develop practical website design skills for presenting and navigating both textual and multimedia content. Students build their own website that presents their story. The website is in effect an online multimedia resume in which the student presents their accomplishments, skills, interests and objectives.",2011
10410,INFORMATION ETHICS AND SOCIAL RESPONSIBILITY ,DSCI,,,"Investigates ethical and societal responsibility issues related to information technology including tensions between legal and ethical values; access and control of intellectual property; the US Patriot Act as it relates to private and public records; ethical vendor management; the digital divide, outsourcing, and green computing; and network security and protections (e.g., viruses, protecting minors, cyber bullying). In addition, bias in information retrieval and indexing, information seeking behaviors and professional codes of ethics are explored.",2011
13210,DESIGN PROCESSES AND PRINICPLES ,DSCI,,,"Introduction to the discipline of design, including general design models and procedures, rational and creative models of design, and design as problem solving. Specific design contexts are introduced including information design, graphics and visual design, architectural design and educational design.",2011
13410,COGNITION IN TECHNOLOGY ,DSCI,,,"Introduction to the basics in human cognition as they affect technology and as technology affects human cognition. Addresses designing technologies to fit and enhance cognition, augmenting cognition with technology, and cognitive tools, as well as the impact of technology on various cognitive processes. Leverages both traditional and online course delivery.",2011
15310,COMPUTATIONAL THINKING AND PROGRAMMING ,DSCI,,,"Introductory, broad, and hands-on coverage of basic aspects of computational thinking with emphasis on problem solving using a high-level programming language.",2011
16010,TELECOMMUNICATIONS INFRASTRUCTURE ,DSCI,,,"Provides a broad overview of communication infrastructures for the public switch telephone network, wireless networks and data networks. Other topics covered include security, network management and monitoring.",2011
21010,ENTERPRISE ARCHITECTURE ,DSCI,ophomore standing.,,"Enterprise architectures facilitates the alignment of IT and IS investment decisions with business goals. Enterprise architecture is increasingly used in the industry as a result of the continued emergence of new technologies and ongoing pressures to reengineer business processes to achieve improved efficiency and greater customer focus. Enterprise architecture identifies the main components of an organization and the ways in which these components work together. The components include performance and strategy, people, business capabilities, applications, technology, knowledge and information, as well as financial and other resources.",2011
23310,HUMAN-COMPUTER INTERACTION ,DSCI,ophomore standing.,,"A survey course intended to provide a broad foundation of HCI principles and perspectives relevant across multiple digital science concentrations. Focuses on both understanding HCI, through the presentation of major concepts, issues and principles in HCI across the full-spectrum of the user-centered design process (research, sketching, prototyping, evaluation, etc.), and doing HCI, with a focus on the user, needs and task analysis, and sketching, prototyping, and evaluation.",2011
24410,DIGITAL INFORMATION MANAGEMENT AND PROCESSING ,DSCI,DSCI 10010 and 10410.,,"Presents a holistic view of information management including the external and internal information environment. Covers the history of information management, information industry and markets, internal information politics, behaviors, and cultures, information management policies, processes and technologies.",2011
31510,GLOBAL PROJECT MANAGEMENT AND TEAM DYNAMICS ,DSCI,MIS 44045.,,"Explains to technical and non-technical students alike what it takes to lead teams and projects from start to finish. Students will learn the critical and common challenges of leading projects and managing teams, studying diagrams and war stories of successes and failures using practical tools and methods.",2011
31610,DIGITAL SYSTEMS SECURITY ,DSCI,DSCI 24410 and MIS 44045.,,"The real threat to information system security comes from people, not computers. Students will understand human, behavioral and managerial factors to deal with personal computer security, social engineering, cyber threats and risk management.",2011
40910,CAPSTONE IN DIGITAL SCIENCES ,DSCI,DSCI 31510; and TECH 36411; and senior standing.,,"Provides an integrative experience, bringing together aspects of the student's required coursework in the major and concentration. Students work in project teams, whenever possible together with senior project courses in digital science affiliated programs or capstone project teams from other digital sciences concentrations.",2011
61010,ENTERPRISE ARCHITECTURE ,DSCI,graduate standing.,,"Facilitates the alignment of IT and IS investment decisions with business goals. Enterprise architecture is increasingly used in industry as a result of the continued emergence of new technologies and ongoing pressures to reengineer business processes to achieve improved efficiency and greater customer focus. Enterprise architecture identifies the main components of an organization and the ways in which these components work together. The components include performance and strategy, people, business capabilities, applications, technology, knowledge and information, as well as financial and other resources.",2011
62010,BUSINESS ARCHITECTURE ,DSCI,DSCI 61010 and graduate standing.,,"Introduction to the concept of business architecture as the critical component of enterprise architecture. Students learn how to develop an enterprise business architecture, to apply business architecture principles, methods, and artifacts to organizational initiatives to ensure they are aligned with organizational business goals and performance standards. Students learn how different enterprise architecture frameworks approach the business layer.",2011
64010,DATA ARCHITECTURE ,DSCI,DSCI 61010 and graduate standing.,,"Introduction to the concept of data and information architecture as a component of enterprise architecture. Students learn how to distinguish types of data, develop conceptual and logical data models, trace and map the use of data types across business capabilities, roles and applications, and prepare an enterprise level data dictionary. Students learn how to work with enterprise data architecture artifacts as they develop an enterprise information architecture blueprint.",2011
65010,APPLICATION AND TECHNOLOGY ARCHITECTURE ,DSCI,DSCI 61010 and graduate standing.,,"Introduction to the concept of application and technology architectures in the context of enterprise architecture. Students learn how to define application and technology architecture principles and standards to support business performance, and to evaluate existing architectures in relation to performance goals. Students learn to work with application and technology artifacts and matrices, prepare a technology dictionary and develop an application architecture blueprint.",2011
