67007,COMPUTER SYSTEMS-EMBA ,EMBA,admission to the EMBA and graduate standing.,,An introduction to the use of computers in business decision making.,2011
67010,EXECUTIVE COMMUNICATIONS-EMBA ,EMBA,graduate standing.,,"Analysis and practice of written, verbal and nonverbal communication skills as they apply to managerial and work group productivity and quality of work life.",2011
67021,BUSINESS CONDITIONS ANALYSIS AND FORECASTING-EMBA ,EMBA,graduate standing.,,"Presentation and analysis of the factors that determine real Gross National Product, employment and unemployment, and inflation, with emphasis on application and forecasting.",2011
67022,MANAGERIAL ECONOMICS-EMBA ,EMBA,graduate standing.,,Analysis of managerial decision-making within the economic environment with emphasis on the firm's economic decisions under different market and business conditions.,2011
67031,FINCANCIAL REPORTING FOR EXECUTIVES-EMBA ,EMBA,graduate standing.,,"Study of basic principles, concepts and financial reporting for external users and the impact this will have on executive decisions.",2011
67032,ACCOUNTING INFORMATION FOR EXECUTIVES-EMBA ,EMBA,graduate standing.,,"Study of managerial decision-making through planning and control techniques. Major emphasis will be on profit planning, responsibility accounting, cost behavior patterns and application of accounting data to basic planning and control decisions.",2011
67040,OPERATIONS MANAGEMENT-EMBA ,EMBA,graduate standing.,,"This course is designed for executives who have minimal experience with the production or operations phase of business. In this course they will develop skill in defining operating problems, in identifying alternative solutions and selecting the most viable solution.",2011
67041,APPLIED STATISTICAL ANALYSIS-EMBA ,EMBA,graduate standing.,,An analysis of univariate and multivariate statistical models and the use of these models to solve practical problems. A comparison of classical and neoclassical statistical approaches is also conducted.,2011
67042,MANAGEMENT INFORMATION SYSTEMS-EMBA ,EMBA,graduate standing.,,Synthesis of computer/information technology organization behavior and functional aspects of business to enhance decision-making and strategic planning skills of the manager.,2011
67043,DYNAMICS OF LEADERSHIP FOR EXECUTIVES-EMBA ,EMBA,graduate standing.,,"Leadership skills including: team development, conflict resolution, negotiation, communications and project development. These skills along with ethical considerations are developed to enhance business decision making.",2011
67051,MARKETING MANAGEMENT-EMBA ,EMBA,graduate standing.,,The various elements comprising marketing strategy are studied as components of integrated programs directed toward industrial and consumer markets.,2011
67058,MARKETING STRATEGY AND PLANNING-EMBA ,EMBA,graduate standing.,,Focuses on integration of marketing planning into the strategic planning process. Deals mostly with marketing strategy at the level of senior management rather than operations.,2011
