10101,COLLEGE ENGLISH I FOR FOREIGN STUDENTS ,ENG,Grade of C (2.0) or better in ENG 10205 and special approval.,,"Basic expository essay for nonnative students. Emphasis on selection and organization of material, rhetorical patterns, clear and effective expression. Grammar and mechanics as needed.",2011
10201,ELEMENTARY ESL WRITING II ,ENG,Special approval.,,Writing proficiency in English established through enhancing knowledge of paragraph structure and development.,2011
10202,INTERMEDIATE ESL WRITING I ,ENG,Grade of C (2.0) or better in ENG 10201 and special approval.,,"Introduction to the requirements of academic writing. Students will be introduced to the process model of writing, constructing a summary, paraphrasing and academic essay structure.",2011
10203,INTERMEDIATE ESL WRITING II ,ENG,Grade of C (2.0) or better in ENG 10202 and special approval.,,"Use of the short academic essay to narrate a sequence of events, express an opinion or communicate an idea. Continued instruction in the writing process, academic summary and paraphrase for the ESL writer.",2011
10204,ADVANCED ESL WRITING I ,ENG,Grade of C (2.0) or better in ENG 10203 and special approval.,,Expanded understanding of the form and requirements of the academic essay. Acquisition of rhetorical modes of development for the ESL writer. Continued instruction in writing process model and academic summary.,2011
10205,ADVANCED ESL WRITING II ,ENG,Grade of C (2.0) or better in ENG 10204 and special approval.,,"Course concentrates on how to interpret, respond to and incorporate outside sources into the academic essay. Continued instruction in the acquisition of rhetorical modes of development for the ESL writer.",2011
10211,ELEMENTARY ESL SPEAKING AND VOCABULARY II ,ENG,Special approval.,,Course develops basic speaking and comprehension skills and builds vocabulary for survival purposes. An integrated-skills course with an emphasis on speaking and vocabulary development in various situations and contexts.,2011
10212,INTERMEDIATE ESL SPEAKING AND VOCABULARY I ,ENG,Grade of C (2.0) or better in ENG 10211 and special approval.,,"Based on an integrated-skills approach, this course moves students' language use beyond survival English to levels of sustained conversation in a variety of contexts.",2011
10213,INTERMEDIATE ESL SPEAKING AND VOCABULARY II ,ENG,Grade of C (2.0) or better in ENG 10212 and special approval.,,"Based on an integrated-skills approach, this course features communicative activities with complex language structures and introduces abstract vocabulary. Other language skills support the development of speaking and vocabulary skills.",2011
10214,ADVANCED ESL SPEAKING AND VOCABULARY I ,ENG,Grade of C (2.0) or better in ENG 10213 and special approval.,,"While all skills are integrated into this course, it focuses on building skills for sustained discourse in complex topics issues and concepts. Emphasis is on vocabulary and speaking skills, planning events, presentations and discussions.",2011
10215,ADVANCED ESL SPEAKING AND VOCABULARY II ,ENG,Grade of C (2.0) or better in ENG 10214 and special approval.,,"Course develops advanced speaking skills to engage students in complex communicative activities, both real and simulated with an emphasis on language for academic and professional use. Continues to develop sophisticated vocabulary.",2011
10216,ADVANCED ESL SPEAKING AND VOCABULARY III ,ENG,Special approval.,,Course strengthens existing high levels of oral language skills for consistent and sustained use in professional and academic settings and various other contexts.,2011
10221,ELEMENTARY ESL READING II ,ENG,Special approval.,,An introduction to reading strategies and skills needed when encountering authentic reading materials. Taught as an integrated skills approach course emphasizing engagement in contextualized and communicative activities.,2011
10222,INTERMEDIATE ESL READING I ,ENG,Grade of C (2.0) or better in ENG 10221 and special approval.,,Develops intermediate reading strategies and skills needed when encountering authentic reading materials. Taught as an integrated skills approach course emphasizing engagement in contextualized and communicative activities.,2011
10223,INTERMEDIATE ESL READING II ,ENG,Grade of C (2.0) or better in ENG 10222 and special approval.,,Continued development of and practice in intermediate reading strategies and skills using a variety of cultural materials. Instruction emphasizes integrated skills approach and involvement in communicative activities.,2011
10224,ADVANCED ESL READING I ,ENG,Grade of C (2.0) or better in ENG 10223 and special approval.,,Builds low-advanced reading strategies and skills using a variety of text types. This course features an integrated skills approach and engages students in a number of communicative activities.,2011
10225,ADVANCED ESL READING II ,ENG,Grade of C (2.0) or better in ENG 10224 and special approval.,,Further advances reading strategies and skills necessary for understanding academic texts. This course features an integrated skills approach and focuses on contextualized and communicative activities.,2011
10231,ELEMENTARY ESL LISTENING II ,ENG,Placement test.,,"Examination of and practice in basic listening strategies. Practice listening to typical speech, short texts and dialog. Practice, relate and apply strategies to life on campus.",2011
10232,INTERMEDIATE ESL LISTENING I ,ENG,Placement test or successful completion (C or better) of ENG 10231.,,"Practice in listening strategies for intermediate-level students. Practice, apply and relate listening skills to life at an American university.",2011
