14027,INTRODUCTION TO HUMAN DEVELOPMENT AND FAMILY STUDIES ,HDFS,,,"Introduction to human services related to human development and family studies, the career opportunities available and the skills required to succeed in the field.",2011
24011,INTERPERSONAL RELATIONSHIPS AND FAMILIES ,HDFS,,,"Exploration of the sociological nature of families across the lifespan, focusing on structure, diversity and life course processes such as dating, mate selection, cohabitation, marriage, parenthood, divorce, remarriage, singlehood, widowhood, parent-child interactions, sexual orientation, inequality and difference.",2011
24012,CHILD DEVELOPMENT ,HDFS,HDFS 24011.,,General development of the child from prenatal through middle childhood.,2011
24013,EARLY ADOLESCENCE ,HDFS,,,"Examines the fundamental transitions, social contexts and psychosocial processes involved in human development from ages 10 through 15. Implications for working with this age group within Departments, human services agencies and youth development programs.",2011
24095,SPECIAL TOPICS IN HUMAN DEVELOPMENT AND FAMILY STUDIES ,HDFS,HDFS 24011.,,Discussion of a major topic within human development or family studies.,2011
25512,MANAGEMENT OF FAMILY RESOURCES ,HDFS,HDFS 24011.,,"Management as applied to individuals, families and human service professionals.",2011
34013,DEVELOPMENT IN INFANCY ,HDFS,HDFS 14027 and HDFS 24012.,,"Study of genetic influences, prenatal development and birth, and the developmental characteristics of the infant and toddler.",2011
34031,CULTURAL DIVERSITY: IMPLICATIONS FOR THE HELPING PROFESSIONS ,HDFS,,,This class is designed to enhance the competence and success of students planning to work in human services. Learning how different cultural backgrounds influence the perceptions and behaviors of clients in the human service setting is emphasized.,2011
41095,SPECIAL TOPICS IN HUMAN DEVELOPMENT AND FAMILY STUDIES ,HDFS,,,Discussion of a major topic within human development or family studies.,2011
41096,INDIVIDUAL INVESTIGATION ,HDFS,Written special approval from instructor.,,Independent study in human development and family studies.,2011
44018,PROFESSIONAL DEVELOPMENT IN HUMAN DEVELOPMENT/FAMILY STUDIES ,HDFS,Human development and family studies (HDFS) majors and senior standing.,,"Preparation of students for professional work experiences as well as providing an opportunity to discuss recent developments in the fields of human development, family studies and gerontology.",2011
44019,INTERGENERATIONAL EXPERIENCES ,HDFS,,,"Provides students with practical experience in working with older adults in a structured setting. The focus of activities is on enhancing the well-being of all participants and providing information in the areas of health, fitness and other areas of well-being as well as community resources for older adults. Students apply information about adult development to the older participants or members via a case study. Moreover, both the students and older adults will become more knowledgeable about the characteristics of each age group and their respective cultures and achieve a comfort level that promotes intergenerational experiences. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.",2011
44020,ADOLESCENT DEVELOPMENT ,HDFS,Human development and family studies (HDFS) majors.,,Study of adolescent development with emphasis on forces related to adolescent behavior in the family and society. Evaluation of current research.,2011
44021,FAMILY INTERVENTION ACROSS THE LIFESPAN ,HDFS,Human development and family studies (HDFS) majors.,,Evaluation of research and theoretical models in the area of family intervention. Focus on strategies for assisting families in coping with a variety of critical issues over the family life cycle.,2011
44022,CHANGING ROLES OF MEN AND WOMEN ,HDFS,,,"A study of roles of men and women, past, present and future.",2011
44023,BUILDING FAMILY STRENGTHS ,HDFS,Human development and family studies (HDFS)majors.,,The Building Family Strengths Model builds upon family life potential; based on extensive research emphasizing identified family strengths.,2011
44028,PARENT-CHILD RELATIONSHIPS ,HDFS,Human development and family studies (HDFS) majors.,,Study of parent-child relationships across the life span and within various contexts. Emphasis on the process of socialization and determinants of parent-child relationships based on current research.,2011
44029,FAMILY POLICY ,HDFS,GERO 44030.,,"Understanding federal, state and local policy issues affecting families. Role of family life educator in promoting a family-friendly perspective in policy making.",2011
44030,FAMILY LIFE EDUCATION METHODOLOGY ,HDFS,GERO 44030.,,Developing teaching methods and techniques for family life education and the study of family life education content areas.,2011
44031,INTERGENERATIONAL FAMILY CAREGIVING ,HDFS,,,"Intergenerational concerns of family caregivers across the lifespan, coping resources, formal and informal support systems.",2011
44032,NONPROFIT FUNDRAISING AND GRANTWRITING ,HDFS,,,"Provides comprehensive preparation in planning, seeking and acquiring funding from available resources in supporting the mission of nonprofit human service agencies.",2011
44033,NONPROFIT MANAGEMENT I ,HDFS,,,"An overview of nonprofit/human service organizations, including how to start and manage one, leadership, ethics, program development, service learning, board development, budgeting, legal aspects, advocacy and lobby, mission and vision, and fundraising.",2011
44034,NONPROFIT MANAGEMENT II ,HDFS,,,"An overview of nonprofit/human service organizations, including conflict resolution, human resource management, risk management, marketing, ethics, leadership, intercultural sensitivity and social entrepreneurship.",2011
44035,ASSESSMENT AND STRATEGIES IN CASE MANAGEMENT ,HDFS,,HDFS 44192 and junior standing.,An examination of the evaluation of client needs and assessment of client condition. Course emphasizes interviewing as a major assessment strategy. Corequisites: HDFS 44192 and junior standing.,2011
44036,GENERAL CASE MANAGEMENT METHODS ,HDFS,HDFS 44035 and junior standing.,HDFS 44292.,"Examination of case management processes and strategies, with focus on community resources to meet client needs in the human service setting.",2011
44037,POSITIVE YOUTH DEVELOPMENT ,HDFS,HDFS 44020.,,"Examines individual, family, school and community characteristics that comprise developmental assets contributing to positive youth development (PYD). Definitions and descriptions of PYD approaches are examined as well as evaluations of program effectiveness. Common elements of PYD programs are explored, such as emphasizing youths' strengths, providing opportunities to learn healthy behaviors, promoting positive peer relationships, connecting youth with caring adults, empowering youth to assume leadership roles, and challenging youth in ways that build their competence. Implications for professional child and youth work are discussed.",2011
44038,PROFESSIONAL CHILD AND YOUTH WORK PRACTICE ,HDFS,HDFS 34031 and 44035 and 44037; and HED 34060; and human development and family studies (HDFS) majors.,,"Provides students with an understanding of the historical and current methodologies and organizational structures of professional child and youth work practice, emphasizing a synthesis of previous and new learning regarding five domains of competence (professionalism, cultural and human diversity, applied human development, relationship and communication and developmental practice methods). Practice issues in community-based and out-of-home care settings as well as work with various child and youth populations are explored.",2011
44039,"BERREAVEMENT, TRAUMA AND OTHER LOSSES ",HDFS,HDFS 24011.,,"Exploration of the impact of death, trauma and other losses on individuals and families across the lifespan. Consideration of gender, social and cultural context. Implications for human services professionals.",2011
44092,PRACTICUM IN HUMAN DEVELOPMENT AND FAMILY STUDIES ,HDFS,HDFS 44018; and human development and family studies major (HDFS); and senior standing; and special approval.,,"Observation and participation in child, family and social service agencies. One class discussion per week. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school agency before the first day of the semester in which student teaching internship will take place. Major GPA of 2.50 is required.",2011
44192,INTERNSHIP IN HUMAN DEVELOPMENT AND FAMILY STUDIES-CASE MANAGEMENT I ,HDFS,,HDFS 44035 and junior standing.,Supervised field experience in a human service agency. Joint university-agency supervision. Corequisite: HDFS 44035 and junior standing. 3.000 TO,2011
44292,INTERNSHIP IN HUMAN DEVELOPMENT AND FAMILY STUDIES-CASE MANAGEMENT II ,HDFS,HDFS 44192 and junior standing.,HDFS 44036.,Continued supervised field experience in a human service agency. Joint university-agency supervision.,2011
