13022,SANITATION AND SAFETY PRINCIPLES AND PRACTICES ,HM,,,"Safety and sanitation practices pertinent to food service. Emphasis is on laws, food microbiology, storage practices and accident prevention.",2011
13023,TECHNIQUES OF FOOD PRODUCTION ,HM,nutrition and food (NF) major.,HM 13022.,"Commercial food production principles for milk, cheese, eggs, produce, grains, meats, poultry and fish are covered. Sauces, soups, salads, entrees, side dishes and desserts are prepared with an emphasis on food quality and safety, effective equipment use, work planning and simplification, recipe standardization, pricing and presentation.",2011
13024,INTRODUCTION TO HOSPITALITY MANAGEMENT ,HM,,,"Career opportunities and the scope, development and history of the hospitality industry. Introduction to management in the hospitality industry including food service, lodging and tourism.",2011
21095,SPECIAL TOPICS IN HOSPITALITY MANAGEMENT,HM,,,(Repeatable for a maximum of 8 credit hours) Discussion of a major discipline or subject within the hospitality industry.,2011
23012,FOOD STUDY ,HM,NUTR 23511.,,Principles of food preparation and quality evaluation with consideration of nutritive value and retention. One hour of lecture and four hours of lab.,2011
23030,LODGING OPERATIONS ,HM,,,"This course provides students with an introduction to lodging, resort operations and management. Skills needed to succeed in the field and career opportunities are emphasized.",2011
33020,LEGAL ISSUES IN THE HOSPITALITY INDUSTRY ,HM,Junior standing.,,"Overview and analysis of legal issues of concern to the hospitality operation. Topics include employment law, food and beverage liabilities, patron civil rights, local, state, and federal regulations; and franchising.",2011
33026,HOSPITALITY COST CONTROL AND ANALYSIS ,HM,MIS 24053 and ACCT 23020 and HM 13023.,,"Prepares students to analyze and control costs encountered in hospitality operations. Includes computer applications, math drills and simulations.",2011
33028,HOSPITALITY PURCHASING ,HM,HM 13023.,,"Emphasis on the selection of food, goods and services for the management of hospitality organizations. Emphasis is placed on product identification, grading and quality standards.",2011
33029,CATERING AND BANQUET PREPARATION AND SERVICE ,HM,HM 33026.,,"Combines theoretical and practical applications of planning, merchandising, costing, producing and serving catered meals.",2011
