13600,ELECTRONIC MATERIALS ,HTMT,CHEM 10060 and CHEM 10062.,,"Introduction to electronic properties and structure of semiconductor materials, micro-machines, sensors and packaging materials.",2011
13601,INTRODUCTION TO PHOTONICS AND FIBER OPTICS ,HTMT,Permission.,,"Introduction to fiber optics and photonic components/systems, devices and optical communications.",2011
13602,INTRODUCTION TO LASERS ,HTMT,Permission.,,"Introduction to laser theory, operation and operating practices and its output characteristics. Usage of low power helium neon lasers and safety considerations.",2011
13603,LASERS AND ELECTRO-OPTIC COMPONENTS AND DEVICES ,HTMT,Permission.,,"The laser technology tools, special purpose devices and measuring tools are discussed.",2011
23600,SEMICONDUCTOR MANUFACTURING I ,HTMT,HTMT 13600.,,"Study of semiconductor manufacturing. An emphasis on ""clean room"" operations will be studied. Topics include oxidation, photolithography, photo masking, etching, doping, deposition, metallization and packaging.",2011
23601,SEMICONDUCTOR MANUFACTURING II ,HTMT,HTMT 23600.,,"An overview knowledge of wafer fabrication operations is the goal. A team project will require complete technical report emphasizing quality control and integration of electronics, etc.",2011
23602,PHOTOLITHOGRAPHY IN IC FABRICATION ,HTMT,,HTMT 23600.,Introduction to light and optical systems used in photolithographic processes and equipment in semiconductor manufacturing using PC board design software and electronic assembly. Corequisite: HTMT 23600.,2011
23603,LIGHT SOURCES AND WAVE OPTICS ,HTMT,Sophomore standing.,,Study of the generation and measurement of light and the wave nature of light from the viewpoint of wave optics including optical materials.,2011
23604,VACUUM SYSTEM TECHNOLOGY ,HTMT,PHY 12201.,,"Study of vacuum technology with emphasis on application to semiconductor manufacturing. Terminology, measurement techniques, operation and application of vacuum equipment, leak detection and troubleshooting are presented.",2011
23606,POWER RADIO FREQUENCY ,HTMT,PHY 12202 and EERT 12010.,,"Study of vacuum radio frequency energy and its application in the manufacturing industry. Topics include plasma physics, RF applications, safety, RF generators, transmission lines and RF interference.",2011
23607,LASER TECHNOLOGY:APPLICATIONS ,HTMT,Sophomore standing.,,"Study and application of laser technology in industry, manufacturing and medicine including laser safety and hazard evaluation.",2011
23695,SPECIAL TOPICS ,HTMT,Sophomore standing.,,"Special topics in lasers, photonics or semiconductor technology. Topics announced when scheduled. Repeated registration permitted.",2011
