12000,INTRODUCTION TO JUSTICE STUDIES ,JUS,,,"Surveys the U.S. criminal justice system and its component institutions and processes, including overviews of policing, corrections, courts, and their inter-relations in the criminal justice system. An overview is also provided of the nature and measurement of crime, patterns of offending and victimization, and criminal justice responses to offending and victimization. Historical and emerging issues are introduced including a variety of insights related to effective, professional and ethical practices in criminal justice.",2011
22100,BASIC INTERVIEWING ,JUS,JUS 12000.,,"Foundation of basic interviewing principles including communication models, question format, distortions, topic control, inhibitors, facilitators, listening, types of interviews and practical exercises.",2011
22300,POLICE ROLE ,JUS,JUS 12000.,,Systematic analysis of the police role. An examination of the related research with an emphasis on divergent perspective and development of conceptual models.,2011
22301,THE INVESTIGATIVE PROCESS ,JUS,JUS 12000.,,"An examination of established investigative processes, techniques employed in conducting a systematic investigation and legal implications.",2011
25092,FIELD PLACEMENT ,JUS,Six hours of justice studies (JUS) including JUS 12000 and special approval.,,Observational experience under the direction of supervising faculty in a justice agency.,2011
26701,CORRECTIONS ,JUS,JUS 12000.,,"Course topics include history of corrections, punishment, community corrections, correctional institutions, correctional administration, issues in corrections, and future trends of corrections.",2011
26704,ISSUES IN LAW AND SOCIETY ,JUS,,,"General treatment of the legal system with special emphasis on its origin, structure and functional consequences on issues and problems in modern society.",2011
26705,SURVEY OF CONTRACTUAL JUSTICE SERVICES ,JUS,JUS 12000.,,"Overview of contractual agencies within the justice system including volunteerism, private policing, quasi-court services, and contractual and cognate correctional agencies.",2011
27095,SPECIAL TOPICS JUSTICE STUDIES ,JUS,,,Intensive analysis of issues significant and current in the field which are not covered in regular courses. Repeatable for a total of 6 hours.,2011
27311,VICTIMOLOGY ,JUS,JUS 12000.,,Patterns of victim-offender relationship and process of victimization. Role of victims in criminal process. Problems of adjustment to victimization and issues in victim compensation.,2011
32200,POLICE AND COMMUNITY ,JUS,JUS 12000 and 22300; and sophomore standing.,,"An examination of the rights of individuals, citizen involvement, the police as members of the community, and the development implementation and evaluation of related programs.",2011
32400,RESEARCH METHODS IN JUSTICE STUDIES ,JUS,JUS 12000 and junior standing.,,Scientific approaches to the study of criminal justice. Survey of methods and designs used in criminal justice research; uses of research in criminal justice. Exercises included.,2011
32500,CRISIS INTERVENTION ,JUS,JUS 12000; and JUS 22300 or 27311; and sophomore standing.,,"Crisis intervention situations in criminal justice are considered. The service role of criminal justice personnel, community resources and skill development are also considered.",2011
33200,CRIMINAL LAW ,JUS,JUS 12000 and junior standing.,,"Developmental backgrounds and principles of criminal law; structure, functions of criminal law; rules of criminal liability and procedural requisites in criminal proof. Case analysis included.",2011
33300,DEVELOPMENT OF JUSTICE IN AMERICA ,JUS,JUS 12000 and sophomore standing.,,Course focuses on the evolution of the criminal justice process from its establishment in the United States to the present.,2011
33400,CRIME AND JUSTICE IN POPULAR CULTURE ,JUS,JUS 12000 and sophomore standing.,,"Crime and criminal justice as they are socially constructed and portrayed in popular culture including television, news and entertainment, popular film and other media of popular culture. Critical analysis of relations between popular culture, media institutions, crime and justice. Role of popular culture media in shaping public opinions about crime and justice, and in turn the relevance of public opinion for understanding criminal justice politics and policy.",2011
34200,CRIMINAL PROCEDURES AND EVIDENCE ,JUS,JUS 12000 or PLST 18000; and junior standing.,,This course focuses on the use of evidence and the legal procedures followed in the processing of criminal cases. Case analysis and writing assignments required.,2011
34311,YOUTH AND THE JUSTICE SYSTEM ,JUS,JUS 12000.,,Analysis of situations involving the legal rights of children and youths which demand intervention by justice institutions or service agencies.,2011
36702,CRIMINOLOGY ,JUS,JUS 12000 and junior standing.,,Examines crime from the legal and social viewpoints; including extent and patterns of criminal behavior. Special emphasis on theoretical explanations of criminal behavior and crime rates.,2011
36703,JUVENILE DELINQUENCY ,JUS,JUS 12000 and 36702; and junior standing.,,Social and personal factors in juvenile delinquency; operation of juvenile justice system; prevention and control of delinquency.,2011
37091,SEMINAR IN CRITICAL ISSUES IN JUSTICE ,JUS,JUS 12000 and sophomore standing.,,Intense analysis of issues significant and current in the justice field which are not covered in regular courses.,2011
37095,SPECIAL TOPICS IN JUSTICE STUDIES ,JUS,junior standing.,,Intensive analysis of issues significant and current in the field which are not covered in regular courses. Repeatable for a told of 6 hours.,2011
37311,MINORITIES IN CRIME AND JUSTICE ,JUS,junior standing.,,"Focus on the role of social and ethnic minorities as victims, offenders and participants in the justice process.",2011
37411,WOMEN IN CRIME AND JUSTICE ,JUS,junior standing.,,Women as a significant group in crime and their role in the development and operation of the criminal justice system.,2011
