22092,PRACTICUM I:DESIGN/TECHNOLOGY ,KBT,Freshman and sophomore standing only.,,Practical experience in theatre production under faculty supervision. Available for lower division students only. Repeatable for a total of 12 hours.,2011
22192,PRACTICUM I:PERFORMANCE,KBT,Freshman and sophomore standing only.,,(repeatable for a total of 12 hours) practical experience in theatre performance under faculty supervision. Available for lower division students only. Repeatable for a total of 12 hours.,2011
41096,INDIVIDUAL STUDY: THEATRE,KBT,Permission.,,(repeatable for a total of 12 hours) selected research topics in theatre.,2011
41992,THEATRE PRODUCTION INTERNSHIP ,KBT,Junior standing and special approval.,,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company. Repeatable for a total of 12 hours.",2011
42092,PRACTICUM II: DESIGN TECHNOLOGY ,KBT,Junior and senior standing only.,,Advanced practical experience in theatre production under faculty supervision. Available for upper division students only. Repeatable for a total of 12 hours.,2011
42192,PRACTICUM II: PERFORMANCE ,KBT,Junior and senior standing.,,Advanced practical experience in theatre performance under faculty supervision. Available for upper division students only. Repeatable for a total of 12 hours.,2011
60199,M.F.A.. THESIS ,KBT,Special approval of adviser. Graduate standing.,,Students must register for course during the semester of their MFA thesis project. Not repeatable.,2011
60992,PROFESSIONAL THEATRE INTERNSHIP I ,KBT,graduate standing and special approval. Cross-listed with THEA 60992. 1.000 OR,,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and performance in the Porthouse Theatre Company. Repeatable once.",2011
61096,INDIVIDUAL INVESTIGATION: THEATRE AND DRAMA ,KBT,Special approval and graduate standing.,,Independent study of an area or problem approved by divisional graduate coordinator in consultation with project director. Repeatable for maximum of 6 credit hours.,2011
61992,PROFESSIONAL THEATRE INTERNSHIP II ,KBT,pecial approval and graduate standing. 1.000 OR,,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company. SU grading, IP permissible.",2011
62092,PRACTICUM: DESIGN/TECHNOLOGY ,KBT,Graduate standing.,,Practical experience for the graduate student in theatre design and technology under faculty supervision.,2011
62192,PRACTICUM: PERFORMANCE ,KBT,pecial approval and graduate standing. Cross-listed with THEA 62192,,"Practical experience for the graduate student in theatre performance under faculty supervision. Repeatable up to 12 hours. SU grading, IP permissible.",2011
62992,THEATRE PRODUCTION INTERNSHIP ,KBT,Special approval of adviser. Graduate standing.,,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company. Repeatable for a maximum of 12 hours.",2011
72992,THEATRE PRODUCTION INTERNSHIP ,KBT,Special approval of adviser and doctoral standing.,,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company. Repeatable for a maximum of 12 hours.",2011
