10050,INTRODUCTION TO PROFESSIONAL NURSING ,NURS,,,Focus on nursing's development as a discipline and profession. The scope of nursing practice and the health care delivery system are discussed.,2011
20010,INTERPERSONAL AND COMMUNICATION SKILLS FOR HEALTH CARE PROFESSIONALS ,NURS,nursing (NURS) major and sophomore standing.,,"A skill-development course, with readings, experiential learning activities and oral and written communication assignments. It is designed to help students enhance their self-confidence in interacting with other people, individually or in groups, and develop their capabilities in writing, leading groups and presenting information. Assertiveness techniques, presentation of self, critical thinking and collaboration skills complement the development of interpersonal and communication competencies. Active learning methods are used to facilitate growth at any level of current student development.",2011
20020,FOUNDATIONS OF ASSESSMENT AND COMMUNICATION IN NURSING ,NURS,Special approval.,,Individuals are assessed as members of families and community members. Communication in nursing is explored.,2011
20030,FOUNDATIONS OF NURSING INTERVENTIONS ,NURS,NURS 20010 and NURS 20020 and NURS 20950 and BSCI 30030 with a grade of C (2.0) or better.,,"Foundations of nursing interventions focuses on selected aspects of nursing care to improve the health of individuals within families and groups. Utilizes principles of the interpersonal process, nursing process and professional nursing.",2011
20160,NURSING PROCESS ,NURS,Sophomore standing and nursing (NURS) major and special approval.,,Concepts of nursing process/process recording are taught with emphasis on those processes as used at Kent State University College of Nursing. Philosophies of nursing are discussed.,2011
20950,HUMAN GROWTH AND DEVELOPMENT FOR HEALTH PROFESSIONALS ,NURS,PSYC 11762 and sophomore standing.,,Examines theoretical principles and concepts of human growth and development throughout the life cycle applicable to personal and professional activities essential to the accurate assessment of human needs and understanding human behaviors.,2011
21095,SPECIAL TOPICS IN NURSING ,NURS,Sophomore standing.,,Scheduled topics of interest to faculty and students.,2011
21096,INDIVIDUAL INVESTIGATION NURS ,NURS,Sophomore standing and special approval.,,Designed for the student interested in exploration and research of material not covered in required nursing courses.,2011
25010,INTRODUCTION TO ACCELERATED NURSING ,NURS,,,"Focus is on nursing‟s development as a discipline and a profession. Students use group process in developing the necessary oral and written communication skills needed for practicing nurses. Provides students the tools to succeed in an accelerated BSN program. Topics covered include time management, study skills, test taking strategies, critical thinking and self care.",2011
25020,INTRODUCTION TO PROFESSIONAL NURSING AND INTERPERSONAL AND COMMUNICATION SKILLS: LPN TRANSITION ,NURS,nursing (NURS) major; and special approval.,,"Required for all LPN transition nursing undergraduate students. Focus is on the development of nursing as a discipline and as a profession. Also a skill development course, with readings, experiential learning activities, and oral and written communication assignments. Designed to help students enhance their self-confidence in interacting with others, groups and presenting information. Assertiveness techniques, presentation of self, critical thinking, and collaboration skills complement the development of interpersonal and communication competencies. Active learning methods are used.",2011
25030,LPN 20020 PREPARATION COURSE-FOUNDATIONS OF NURSING PRACTICE AND COMMUNICATION ,NURS,nursing (NURS) major.,,"Designed to assist the licensed practical nurse who is enrolled in the KSU Baccalaureate Nursing (BSN) Program of study. Reviews the nursing concepts of the professional nurse for LPNs in preparation for taking the CLEP exam before they transition into the BSN nursing curriculum. Content includes therapeutic and interpersonal communication, critical thinking and concept mapping, the nursing process, evidence-based practice, and client education. Offered in a hybrid format with students having in-class, multipurpose lab, as well as web-based assignments. Students have the option of practice in the lab and perform physical assessment skills.",2011
25040,LPN 20030 PREPARATION COURSE-FOUNDATIONS OF NURSING INTERVENTIONS ,NURS,nursing (NURS) major and special approval.,,"Designed to assist the licensed practical nurse enrolled in the KSU Baccalaureate Nursing (BSN) Program of study. The specific content includes: health, wellness, safety and mobility issues; infection control; care of the surgical client; electrolyte and acid-base imbalances; and sensory, sleep and cognition issues. Students have optional practice in the nursing lab and perform selected nursing skills, including physical assessment and medication calculations.",2011
30010,PARENT AND NEWBORN NURSING ,NURS,NURS 20030 and NURS 20950 and BSCI 30030 with minimum C (2.0) grade.,NURS 30020.,"A study of nursing assessment, need identification and evaluation for individuals and families during the child bearing cycle.",2011
30020,HEALTH CARE OF CHILDREN ,NURS,NURS 20020 and NURS 20030 and BSCI 30030 with minimum C (2.0) grade.,NURS 30010.,Nursing process in family-centered care of children including health and developmental promotion and illness and restorative intervention.,2011
30030,NURSING OF ADULTS ,NURS,NURS 20030 and NURS 20950 and BSCI 30030 with minimum C (2.0) grade.,NURS 30040.,Emphasizes health promotion and prevention of episodic illness and maintenance of health status. Utilizes nursing process as foundation to provide nursing care composed of clinical experience in acute care settings.,2011
30040,NURSING OF ADULTS WITH REHAB NEEDS AND/OR GERONTOLOGIC CHANGES ,NURS,NURS 20030 and NURS 20950 and BSCI 30030 with minimum C (2.0) grade.,NURS 30030.,This course encompasses care of persons and families dealing with gerontologic changes and/or rehabilitation needs.,2011
30050,BASIC NURSING INFORMATICS ,NURS,NURS 20020 with a grade of C (2.0) or better.,,"Focuses on the use of nursing informatics for clinical nursing practice, inquiry and communication.",2011
30060,BASIC PHARMACOLOGY FOR NURSING PRACTICE ,NURS,NURS 20020 with minimum C grade; and BSCI 30030 and CHEM 20284.,,"Introduction to general principles of pharmacology. Major classes of pharmacotherapeutic agents, mechanisms of action, pharmacokinetics, dosage and administration; effects and nursing responsibilities.",2011
30063,SPIRITUAL CARE OF PATIENTS ,NURS,NURS 20950.,,Study of the spiritual needs of patients and the nurse's role with regard to these needs.,2011
31095,SPECIAL TOPICS IN NURSING ,NURS,NURS 20950.,,Scheduled topics of interest to faculty and students.,2011
31096,INDIVIDUAL INVESTIGATION ,NURS,pecial approval.,,Designed for the student interested in exploration and research of material not covered in required nursing courses.,2011
35020,TRANSCULTURAL NURSING AND HEALTH CARE ,NURS,junior standing.,,Provides students with the opportunity to explore and understand the role of the transcultural nurse in the care of patients from multiple and diverse cultural groups.,2011
35030,PATHOPHYSIOLOGY: ANALYSIS AND APPLICATION OF THE NURSING PROCESS ,NURS,minimum grade of C (2.0) in NURS 20020 and 20030 and 30030 and 30040 and 30060; nursing (NURS) major; and junior or senior standing.,,"Enhances the understanding of pathophysiologic processes, the management of disease states, and analysis of related concepts of pharmacology, symptomalogy and lab interpretation of data for the purpose of identification of priority nursing diagnosis and formulation of care plans appropriate for individual disease processes.",2011
35040,COMPLEMENTARY AND ALTERNATIVE MEDICINE,NURS,,,"(Repeatable for credit) Explores and critically analyzes complementary and alternative medicines (CAM) primarily being used in the United States through the review of evidenced based research compared to CAM practitioners‟ case studies. Synthesizing the exploration of CAM with traditional Western medicine, students examine a new evolving medicine called Integrative Medicine.",2011
40003,COMPARATIVE HEALTH CARE: NURSING IN NORTHERN IRELAND ,NURS,2.75 cumulative GPA; and special approval.,,"Includes a 2 week intensive study abroad that is conducted in Northern Ireland and includes seminars at the University of Ulster and in select clinical settings. Students examine the cultural, political and economic forces influencing health care and nursing needs; status of nursing education, licensure and practice; and health disparities in Northern Ireland and compare them to the United states. An additional 1 credit hour web-based option is offered the week immediately following the 2 weeks in Northern Ireland for students who choose the 3 credit hour option.",2011
40005,PROFESSIONAL NURSING DEVELOPMENT ,NURS,NURS 20010 and NURS 30010 and NURS 30030 and NURS 30040 and NURS 30050 and NURS 30060 all with a minimum C grade.,,"Course focuses on professional development and the transition from student to graduate nurse, including interviewing techniques and resume preparation. Explores health care economics and policy, political activism, cultural competence, nursing theory, leadership of meetings and managing group dynamics, the future of nursing and health care, nursing practice opportunities, role development, professional nursing organizations, graduate education and specialty certification. Professional skill development continues from NURS 20010. Students have the opportunity to attend a professional nursing organization meeting.",2011
40010,NURSING OF THE CRITICALLY ILL ,NURS,NURS 30010 and NURS 30030 and NURS 30040 and NURS 30050 and NURS 30060 all with minimum C (2.0) grade.,,"Holistic approach to assessing, intervening and evaluating critically ill persons. Nursing practice in critical care settings with diverse populations.",2011
40020,COMMUNITY HEALTH NURSING ,NURS,NURS 30010 and NURS 30020 and NURS 30030 and NURS 30040 and NURS 30050 and NURS 30060 all with minimum C grade.,NURS 40030.,Concepts of community health nursing with emphasis on health promotion and prevention of population-based health problems. Students are responsible for their transportation to field experience.,2011
40030,PSYCHIATRIC NURSING AND MENTAL HEALTH NURSING CARE ,NURS,NURS 30010 and NURS 30020 and NURS 30030 and NURS 30040 and NURS 30050 and NURS 30060 all with minimum C grade.,NURS 40020.,"Focuses on the development of therapeutic relationships with individuals, families and vulnerable populations across the lifespan who have potential and/or identified mental health needs. Students will learn and apply theory about mental health illness.",2011
40045,INTEGRATION OF LEADERSHIP AND MANAGEMENT IN NURSING ,NURS,NURS 30020 and NURS 30030 and NURS 30040 all with minimum C (2.0) grade; and senior standing.,,"Course provides students with the knowledge and skills for a beginning leadership position (team leader, module leader and primary nurse), applicable to the care of patients in a health care environment. Course provides students with opportunities to synthesize their nursing knowledge and collaborate with their clinical preceptor in preparation for their professional nursing role.",2011
40057,CASE MANAGEMENT IN HEALTHCARE AGENCIES ,NURS,Senior standing. 2.000 OR,,"Course describes roles of institutional, community and insurance-based case managers; identifies mechanisms to establish case management systems; and develops communication, clinical evaluation and financial management skills.",2011
40061,PHYSICAL ASSESSMENT ,NURS,Senior standing and nursing (NURS) major.,,"Self-instructional course using AV materials, readings and laboratory practice in the performance of physical assessments. Instructor available weekly. Written and performance tests required.",2011
40062,NURSE EXTERNSHIP IN NURSING PRACTICE ,NURS,Senior standing and nursing (NURS) major.,,Opportunity for professional nursing practice is expanded to a selected population with complex health care needs. Focus is on increasing theoretical knowledge base and using knowledge in complex care situations with patients and their families.,2011
40075,INFORMATION AND PATIENT CARE TECHNOLOGY FOR PROFESSIONAL NURSING PRACTICE ,NURS,nursing (NURS) major.,,"Focuses on the use of information management and information systems, technology and the human/technology interface utilized in professional nursing practice. Students taking this course must be registered nurses.",2011
40085,INQUIRY AND RESEARCH FOR PROFESSIONAL NURSING PRACTICE ,NURS,,MATH 10041 or PSYC 21621; or SOC 32220 and 32221; and nursing (NURS) major.,Introduction to clinical inquiry and research for the professional nurse. Theoretical frameworks appropriate to nursing are used in the development of a nursing research proposal. Pre/corequisite: MATH 10041 or PSYC 21621; or SOC 32220 and 32221; and nursing (NURS) major.,2011
40872,INTRODUCTION TO NURSING RESEARCH ,NURS,,MATH 10041 or PSYC 21621 or SOC 32200.,Scientific approach and methods of research design in clinical nursing. Evaluation of specific nursing studies. Development of a researchable nursing problem analysis and critique of studies of problem and implications for clinical practice. Pre/corequisites: MATH 10041 or PSYC 21621 or SOC 32200.,2011
41000,CONCEPTS AND ISSUES FOR PROFESSIONAL NURSING PRACTICE ,NURS,nursing (NURS) major.,,"Focuses on nursing concepts and theory, nursing process and the history of nursing as it relates to the development of professional nursing and the role of the professional nurse. Students taking this course must be registered nurses.",2011
41095,SPECIAL TOPICS ,NURS,,,Scheduled topics of interest to faculty and students. Topics to be announced when scheduled.,2011
41096,INDIVIDUAL INVESTIGATION ,NURS,NURS 30160 and NURS 30361 and NURS 30462 and NURS 30870.,,Designed for the student interested in exploration and research of material not covered in required nursing courses.,2011
42000,LEADERSHIP AND MANAGEMENT FOR PROFESSIONAL NURSING PRACTICE ,NURS,nursing (NURS) major.,,"Allows the registered nurse (RN) to utilize personal and professional knowledge and experiences in the study of leadership and management. Facilitates discovery of how nursing and leadership theories define and enhance practice. Assists the RN in analyzing the relationship between nursing, the professional nurse's leadership/management roles, and the articulation between nursing research and practice. Students taking the course must be registered nurses.",2011
43000,HEALTH PROMOTION IN PROFESSIONAL NURSING PRACTICE ,NURS,BSCI 20020 and 20021 and CHEM 10050 and 10052 and nursing (NURS) major.,,"Utilizes the nursing process to explore health promotion and disease prevention across the lifespan and health care settings. Theories and models are used to understand health behaviors. Includes role of the nurse; national health objectives (Health People 2010); health literacy, education and counseling; transcultural considerations; factors affecting health promotion; and specific health promotion strategies. Students taking this course must be registered nurses.",2011
44000,POPULATION-BASED NURSING FOR PROFESSIONAL NURSING PRACTICE ,NURS,BSCI 20020 and BSCI 20021 and CHEM 10050 and CHEM 10052 and nursing (NURS) major.,,Focuses on concepts of population-based nursing practice with emphasis on improving the health of communities and populations. Students taking the course must be registered nurses.,2011
45000,HEALTH MAINTENANCE AND RESTORATION FOR PROFESSIONAL NURSING PRACTICE ,NURS,BSCI 20020 and 20021 and CHEM 10050 and 10052 and nursing (NURS) major.,,Focuses on issues related to health maintenance and restoration for individuals and families experiencing illness. Students taking this course must be registered nurses.,2011
45010,HEALTHCARE POLICY AND DELIVERY SYSTEMS ,NURS,,,"Web-based course looks at the organizational and societal context in which health care is delivered in the U.S. An historical perspective is developed early in the semester. Building on this, the course explores existing health care policy and delivery systems, including legislation, the professional disciplines, organizations and health networks, forms of care delivery, consumer needs, and economics and funding. The ability of the current health care system to serve all segments of the U.S. population is examined in depth. Global health needs are examined as a minor theme. Ends with a focus on future forms of delivery that would improve the health care status of the American population as a whole.",2011
