12000,INTRODUCTION TO PLASTICS ,PLCT,,,"Description of various plastics, outline of polymer chemistry, identification tests, polymerization, molecular growth and molecular weight, extrusion, injection molding, thermoforming, compression molding and related topics.",2011
12003,REINFORCED PLASTICS ,PLCT,PLCT 12000.,,Comprehensive review of resin systems and fiber reinforcement for use in production of FRP products. Fabrication procedures. Comparative properties.,2011
12004,PROPERTIES OF PLASTIC MATERIALS ,PLCT,PLCT 12000.,,"Study of the mechanical, electrical, optical and environmental characteristics of various plastics. Making and testing of plastic materials: impact testing, chemical testing, heat stability and electrical testing.",2011
12005,RADIATION POLYMER TECHNOLOGY I ,PLCT,PLCT 12000 and PLCT 12003.,,This course is an introduction to the application of radiation processing technologies on plastic materials. Systems equipment and mechanisms are discussed.,2011
22000,ASSEMBLY AND FINISHING OF PLASTICS ,PLCT,PLCT 12000.,,"Bonding, printing, electroplating, vacuum metalizing, hot stamping, painting, engraving, welding, sanding and machining.",2011
22001,PLASTICS PRODUCT DESIGN ,PLCT,PLCT 12000.,,"Plastics product design case studies from the plastics industry, from the initial concept of function through part design, tooling, production and quality assurance.",2011
22002,PLASTICS TOOL DESIGN ,PLCT,PLCT 12000.,,"Design of molds and tools for plastics processing emphasizing part design, mold design, production aids for after-finishing, quality control.",2011
22005,PLASTICS MANUFACTURING ,PLCT,PLCT 12000.,,Study of plastics processing technologies including molding and extrusion processes. Behavior of plastic materials under heat and pressure will be studied.,2011
22006,RADIATION POLYMER TECHNOLOGY II ,PLCT,PLCT 12005.,,"Comprehensive review of structure, synthesis, transformation, and radiation processing of polymeric materials.",2011
22007,POLYMER IRRADIATION TECHNOLOGY ,PLCT,PLCT 12003 and CHEM 10052.,,Detailed investigation in radiation processing of polymeric materials including actual processing of materials with a 5 MeV accelerator.,2011
