11762,GENERAL PSYCHOLOGY ,PSYC,,,"Introduction to the scientific approach to understanding human behavior and mental processes such as emotions, perceptions and cognitions. Topics may include personality, social and environmental factors, biological aspects of behavior and the experience of emotion and psychological disorders.",2011
20651,CHILD PSYCHOLOGY ,PSYC,PSYC 11762.,,"A review of the data, concepts and theories of psychology that contribute to the understanding of child development from conception to age 14.",2011
21211,PSYCHOLOGY OF ADJUSTMENT ,PSYC,PSYC 11762.,,"A review of theories, concepts and data that contribute to the understanding of human adjustment. Topics may include the following: personality, stress and coping, transitions from adolescence to adulthood, psychological disorders and psychotherapy.",2011
21621,QUANTITATIVE METHODS IN PSYCHOLOGY I ,PSYC,PSYC 11762.,,"Application of quantitative, statistical methods in psychological research. Descriptive and inferential methods (includes ANOVA, t-test and correlation).",2011
22221,MULTICULTURAL PSYCHOLOGY ,PSYC,PSYC 11762.,,"Examination of areas of psychology upon which diversity issues have a bearing and focused study of psychological issues relevant to African-American, Asian- American, Hispanic/Latino American and American Indian groups.",2011
30111,FORENSIC PSYCHOLOGY ,PSYC,PSYC 11762.,,"Surveys major areas of forensic psychology, which focuses on the application of the science and profession of psychology to legal settings. Topics include roles and responsibilities of forensic psychologists, forensic assessment, psychological theories of criminal behavior, law enforcement psychology and eyewitness testimony.",2011
30445,COGNITIVE PSYCHOLOGY ,PSYC,PSYC 11762.,,"Covers the mental processes that underline human thought and behavior, such as attention, memory, comprehension, reasoning, problem-solving and language. Considers established and current theoretical models, research methods and experimental results.",2011
30651,ADOLESCENT PSYCHOLOGY ,PSYC,PSYC 11762.,,"A review of the theories, concepts and data that contribute to our understanding of the physical, intellectual, educational, personality and social development of adolescents in contemporary society.",2011
30652,SOCIAL AND PERSONALITY DEVELOPMENT ,PSYC,PSYC 11762; and PSYC 20651 or HDFS 24012.,,"Processes and findings in social and personality development, with a focus on childhood and adolescence. Will include the examination of individual differences as well as developmental changes in social function and personality.",2011
30655,COGNITIVE DEVELOPMENT ,PSYC,PSYC 11762; and PSYC 20651 or HDFS 24012.,,"Covers the development of cognitive processes over the lifespan, especially during infancy and childhood. Important theoretical claims empirical results and research methods of relevant areas including memory are, critically evaluated.",2011
30656,PSYCHOLOGY OF AGING ,PSYC,PSYC 11762.,,Exploration of basic research and theory on the psychological consequences of aging and psychological factors that affect the behavior of older persons.,2011
30821,PSYCHOLOGY OF MOTIVATION ,PSYC,PSYC 11762.,,"Factors that provide the energy and direction for behaviors, emotions and cognitive processes. Seeks to answer the question ""why"" concerning the things people do, feel and think. A survey approach is used to include both the traditional and newly emerging concepts in motivation.",2011
31043,BASIC LEARNING PROCESSES ,PSYC,PSYC 11762.,,"Examination of basic principles of Pavlovian conditioning, instrumental conditioning, animal learning and memory processes, and animal cognition. Emphasis on major empirical phenomena derived from research with animals with reference to related psychological processes in humans.",2011
31141,PERCEPTION ,PSYC,PSYC 11762.,,"Investigates how humans detect, organize and interpret information from the environment. Considers how both biological and psychological process create and influence our perception of the world.",2011
31498,UNDERGRADUATE RESEARCH ,PSYC,PSYC 11762 and special approval.,,Individual research open to qualified students. Repeatable for a total of 16 hours but see Arts and Sciences and psychology major/minor requirements for applicability limits.,2011
31574,RESEARCH METHODS IN PSYCHOLOGY ,PSYC,PSYC 11762 and PSYC 21621.,,"The rationale, logic and procedures of scientific research in psychology with an emphasis on measurement, causal inference and research design.",2011
31684,QUANTITATIVE METHODS IN PSYCHOLOGY II ,PSYC,PSYC 21621.,,"Small sample theory, analysis of variance, linear regression and nonparametric statistics (e.g. Chi Square). This course may include qualitative analyses and computer based data analyses with SPSS.",2011
31773,INDUSTRIAL PSYCHOLOGY ,PSYC,PSYC 11762.,,"Application of principles, facts and theories of psychology to people at work. Includes motivation and satisfaction at work, personnel selection and placement, training and development, performance appraisal, organizational development, quality of work life, ergonomics and consumer psychology.",2011
40111,ABNORMAL PSYCHOLOGY ,PSYC,PSYC 11762.,,"Survey of the definitions as well as the biological, psychological and sociocultural causes of various psychological disorders. Illustrations of these disorders with cases. Overview of treatment approaches to these disorders may be included.",2011
40231,PSYCHOLOGICAL ASSESSMENT ,PSYC,PSYC 11762 and PSYC 21621.,,Introduction to psychometrics and test theory. Use and basic interpretation of intellectual and personality tests. Skills in using tests at a professional level not given.,2011
40383,PSYCHOLOGICAL INTERVENTIONS ,PSYC,PSYC 11762.,,"Application of psychological principles and techniques to the problems of the individual. This course is designed to introduce the field of clinical psychology, including models of understanding abnormal behavior, treatment of individuals and ethics and professional issues.",2011
40461,PSYCHOLOGY OF LANGUAGE ,PSYC,PSYC 11762 and PSYC 30445.,,"Investigates psychological processes involved in language production, comprehension and development. Within each broad area emphasis is on theories, psychological experiments, key findings and the relationships between theory, method and data.",2011
40625,DEVELOPMENT OF GENDER ROLE AND IDENTITY ,PSYC,PSYC 11762.,,"A life-span, developmental model is used to analyze the changes which occur with age in gender-related role performance and identity formation.",2011
40974,HISTORY OF PSYCHOLOGY ,PSYC,PSYC 11762 and Special Approval.,,"Course examines the historical context, influences and individuals instrumental in the development of psychology. Course organization is designed to compare and contrast systems, theories and fundamental issues with which psychologists have concerned themselves in past and contemporary stages of the science.",2011
41282,PERSONALITY ,PSYC,PSYC 11762.,,"A review of the data, concepts and theories of psychology that contribute to the understanding of personality.",2011
41363,BIOPSYCHOLOGY ,PSYC,PSYC 11762.,,"Covers the relationship between brain and behavior at the physiological, chemical and anatomical levels. Focuses on the association between the central nervous system and various processes and behaviors such as learning, emotions, neurological disorders and psychopathology.",2011
41492,INTERNSHIP IN PSYCHOLOGY ,PSYC,Must have junior standing and 9 credit hours in psychology and 3.0 GPA overall. Open to psychology majors only. Special approval required.,,"Application of psychological knowledge and skills in applied settings. Allows academic credit for participation as an intern at approved internship sites including social service, non-profit agencies, government agencies and hospital settings. Course is repeated for credit.",2011
41495,SPECIAL TOPICS IN PSYCHOLOGY ,PSYC,Junior standing and special approval.,,In-depth examination of particular topics of current interest to faculty and students. Specialized areas of research theory or methodology may be covered. Specific topics announced. Repeated registration permitted.,2011
41498,INDIVIDUAL INVESTIGATION ,PSYC,PSYC 11762 and special approval.,,"Involves participation in empirical research, review of psychological literature and preparation of a paper or annotated bibliography. Repeatable for a total of 16 hours but see Arts and Sciences and psychology major/minor requirements for applicability limits.",2011
41532,SOCIAL PSYCHOLOGY ,PSYC,PSYC 11762.,,"Study of environmental/situational influences on our own and others' thoughts, behaviors and feelings-focus on topics such as aggression, attitudes and behaviors, conformity, helping, personal relationships and social cognition.",2011
41573,LABORATORY EXPERIENCE IN PSYCHOLOGICAL RESEARCH: SOCIAL/CLINICAL ,PSYC,3.20 GPA and PSYC 11762 and PSYC 21621 and PSYC 31574.,,"Intensive experience in the conduct, analysis and reporting of empirical research in social or clinical psychology. Specific content varies with instructor. Repeatable once with instructor, and departmental permission if topic is different.",2011
41574,LABORATORY EXPERIENCE IN PSYCHOLOGICAL RESEARCH: COGNITIVE/LEARNING ,PSYC,3.20 GPA and PSYC 11762 and PSYC 21621 and PSYC 31574 and special approval.,,"Intensive experience in the conduct, analysis and reporting of empirical research in cognitive psychology or human/animal learning. Specific content varies with instructor. Repeatable once with instructor and departmental permission if topic is different.",2011
41581,HEALTH PSYCHOLOGY ,PSYC,PSYC 11762.,,"Role of psychological and social factors in health and illness, typically covering three general areas: (1) psychological factors affecting disease, (2) psychological and social consequences of illness and (3) psychotherapeutic interventions.",2011
41990,WRITING IN PSYCHOLOGY ,PSYC,pecial approval.,,"Writing-intensive course taken in conjunction with a 3-credit-hour, upper-division psychology course (except PSYC 31498, 41498, 41573, 41574 or 41993).",2011
41991,SEMINAR IN PSYCHOLOGY ,PSYC,PSYC 11762 and special approval.,,Seminar on various content areas of psychology. Specific topics announced.,2011
41993,VARIABLE TITLE WORKSHOP IN PSYCHOLOGY ,PSYC,PSYC 11762 and special approval.,,Variable topic offered as need arises. Specific topics will be announced in the schedule of classes.,2011
50974,HISTORY OF PSYCHOLOGY ,PSYC,Graduate standing.,,"Course examines the historical context, influences and individuals instrumental in the development of psychology. Course organization is designed to compare and contrast systems theories and fundamental issues with which psychologists have concerned themselves in past and contemporary states of the science.",2011
51993,VARIABLE TITLE WORKSHOP IN PSYCHOLOGY ,PSYC,Special approval and graduate standing.,,Variable topics offered as need arises to train in specific area of field. Specific topics will be announced in schedule of classes.,2011
60110,INTRODUCTION TO PSYCHOPATHOLOGY: CHILD ,PSYC,Graduate standing in psychology (PSYC).,,Introduction to psychopathology from a developmental perspective. Covers models of classification and specific disorders of childhood.,2011
60170,INTRODUCTION TO PSYCHOPATHOLOGY:ADULT ,PSYC,Graduate status in psychology.,,"An examination of the etiology, symptomalogy and theoretical models of adult psychopathology.",2011
60171,FAMILY INTERACTION AND PSYCHOPATHOLOGY ,PSYC,PSYC 6/70170 and graduate standing in psychology (PSYC).,,"Introduction to the study of family interaction as it relates to the etiology and maintenance of psychopathology. Theory, methodology and research relevant to specific behavioral disorders will be covered.",2011
