32146,INTRODUCTION TO CONTENT AREA READING ,SEED,ADED 32142 and admission to advanced study.,,This course emphasizes the development and adaptation of reading and study strategies applicable to the content areas; techniques for incorporating reading into subject matter instruction. Includes 25 field clinical hours.,2011
32147,"LANGUAGE, LITERACY AND LEARNING ",SEED,ADED 32142 and admission to advanced study.,SEED 42292.,"Issues central to teaching English: language development in adolescents, reading and composing for varied purposes, relationships between language and learning, multicultural perspectives on the curriculum.",2011
32272,TEACHING OF SPEECH ,SEED,Advanced standing and ADED 32142.,,"Methods of teaching speech communication, radio, TV, film and theatre in secondary school curricula. This course includes 55 field clinical hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.",2011
32275,SOCIAL STUDIES EDUCATION AND THE SOCIAL SCIENCES ,SEED,ADED 32142 and advanced standing.,,"Beginning methods course for teaching social studies. Concentrates on instructional strategies techniques and content for teaching the social sciences at the secondary level. This course includes 51 field clinical hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""Department/agency"" before the first day of the semester in which student teaching/ internship will take place.",2011
40093,VARIABLE TITLE WORKSHOP IN SECONDARY EDUCATION ,SEED,Special approval.,,"Various topics designed to respond to issues, trends and specialized needs of secondary Departments.",2011
42157,TEACHING WITH MICROCOMPUTERS:SECONDARY CLASSROOM ,SEED,,,In-depth study of instructional use of microcomputers in all subject areas of the secondary classroom. Use of BASIC and LOGO in developing and modifying instructional software.,2011
42196,INDIVIDUAL PROJECT IN SECONDARY EDUCATION ,SEED,Special approval.,,,2011
42272,TEACHING OF COMPUTER SCIENCE IN THE SECONDARY SCHOOL ,SEED,CS 43001 and 33101 and ADED 32142 and admission to advanced study.,,Methodology and materials for effective teaching of secondary school computer science and computer use.,2011
42275,TEACHING SOCIAL STUDIES IN SECONDARY SCHOOLS ,SEED,SEED 32275 and admission to advanced study.,,Advanced methods course for teaching social studies. Focuses on planning and preparation for the student teaching experience. This course includes 51 field clinical hours.,2011
42292,FIELD WORK PRACTICUM ,SEED,Special approval; junior or senior standing.,,"Designed to meet the individual needs of education students who require additional field clinical experiences prior to student teaching. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""Department/agency"" before the first day of the semester in which student teaching/ internship will take place.",2011
42295,SPECIAL TOPICS IN SECONDARY EDUCATION ,SEED,Special approval.,,,2011
43315,TEACHING LITERATURE IN THE SECONDARY SCHOOLS ,SEED,Advanced standing.,,"Explores the pedagogy of canonical literature, literary theory and approaches to teaching texts in the secondary classroom.",2011
43325,MULTI-MODAL LITERACIES IN THE SECONDARY CLASSROOM ,SEED,Advanced standing.,,Explores the pedagogies of reading and composing with a variety of print and non-print texts. Focuses on the impact of media culture on adolescent learners. Utilizes new literacies to enhance learning in the content area.,2011
43335,TEACHING LANGUAGE AND COMPOSITION ,SEED,Advanced standing; and ADED 32142 and MCED 40007 and SEED 43315 and SEED 43325.,ADED 42292.,Explores linguistic and rhetorical perspectives on the teaching of composition in secondary Departments.,2011
47248,TEACHING CRITICAL THINKING ,SEED,ADED 32142 and senior standing and admission to advanced study.,,"Techniques, procedures and materials for developing skills in application of analysis and thinking process.",2011
50093,VARIABLE TITLE WORKSHOP IN SECONDARY EDUCATION ,SEED,Graduate standing and special approval.,,"Various topics designed to respond to issues, trends and specialized needs of elementary or secondary Departments.",2011
52157,TEACHING WITH MICROCOMPUTERS:SECONDARY CLASSROOM ,SEED,Graduate standing.,,In-depth study of instructional use of microcomputers in all subject areas of the secondary classroom. Use of BASIC and LOGO in developing and modifying instructional software. Students will develop and field test computing materials for their classroom.,2011
52260,METHODS OF TEACHING FOREIGN LANGUAGES ,SEED,Foreign language proficiency level for teaching in public Departments. Graduate standing.,,Introduction to modern techniques and methods of foreign language instruction at the elementary and secondary level.,2011
52277,TEACHING SCIENCE IN THE SECONDARY SCHOOL ,SEED,Graduate standing.,,"Analysis of teaching materials, demonstrations and participation in science classes appropriate for graduate students seeking certification to teach science in the secondary Department.",2011
53315,TEACHING LITERATURE IN THE SECONDARY SCHOOLS ,SEED,Graduate standing.,,"Explores the pedagogy of canonical literature, literary theory and approaches to teaching texts in the secondary classroom.",2011
53325,MULTI-MODAL LITERACIES IN THE SECONDARY CLASSROOM ,SEED,Graduate standing.,,Explores the pedagogies of reading and composing with a variety of print and non-print texts. Focuses on the impact of media culture on adolescent learners. Utilizes new literacies to enhance learning in the content area.,2011
53335,TEACHING LANGUAGE AND COMPOSITION ,SEED,Graduate standing.,,Explores linguistic and rhetorical perspectives on the teaching of composition in secondary Departments.,2011
57248,TEACHING CRITICAL THINKING ,SEED,Graduate standing.,,"Techniques, procedures and materials for developing skills in application of analysis and thinking processes.",2011
60199,THESIS I ,SEED,Graduate standing.,,Thesis students must register each semester until all degree requirements are met.,2011
60299,THESIS II ,SEED,SEED 60199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
62145,PRINCIPLES OF SECONDARY TEACHING ,SEED,Graduate standing.,,"Principles of teaching in the secondary Departments with emphasis on purposes, curriculum roles of the teacher instruction and the adolescent learner in secondary, middle, junior and senior high Departments.",2011
62146,INSTRUCTIONAL STRATEGIES AND CLASSROOM MANAGEMENT ,SEED,,SEED 62145 and graduate standing.,"Enables students to demonstrate proficiency in the selection and application of general strategies for instruction, of appropriate instructional media and materials and in the accommodation of individual needs and cultural diversity within the secondary instructional setting. Pre- or corequisite: SEED 62145 and graduate standing.",2011
62191,SEMINAR IN SECONDARY EDUCATION ,SEED,Graduate standing.,,Study and experience of various theoretical and methodological and practical approaches to special problems.,2011
62192,ADVANCED PRACTICUM AND INTERNSHIP IN SECONDARY EDUCATION ,SEED,graduate standing and special approval.,,"Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""Department/agency"" before the first day of the semester in which student teaching/ internship will take place.",2011
62195,SPECIAL TOPICS IN SECONDARY EDUCATION ,SEED,,,Graduate standing and special approval. 1.000 TO,2011
62196,INDIVIDUAL INVESTIGATION IN SECONDARY EDUCATION ,SEED,Graduate standing and special approval.,,Independent reading and/or research directed by graduate faculty member.,2011
62198,RESEARCH IN SECONDARY EDUCATION ,SEED,Graduate standing and special approval.,,Students pursue an individualized research project under direction of instructor.,2011
67147,TEACHING ADOLESCENTS IN THE SECONDARY SCHOOL CULTURE ,SEED,graduate standing.,,"Providing for motivation, discipline and instruction of adolescents within the culture of the secondary Department.",2011
67148,RESEARCH AND THE CLASSROOM TEACHER ,SEED,graduate standing.,,An examination of the teacher as both a researcher and as a consumer of research.,2011
67231,TRENDS IN SECONDARY EDUCATION ,SEED,Graduate standing.,,"Current trends, issues and problems in secondary Departments. Emphasizes individual student's careful examination of a problem in American secondary Departments.",2011
67232,SECONDARY SCHOOL SOCIAL STUDIES ,SEED,Graduate standing and special approval.,,General focus is on examining current instructional and curricular trends in teaching social studies. Emphasis is placed on strategies of teaching developing student's critical thinking skills role of the computer use of primary sources teaching controversial issues and stimulating active citizenship.,2011
67234,SCIENCE IN SECONDARY EDUCATION ,SEED,Teaching certification in one of the sciences. Graduate standing.,,"Analyzes methods, materials course content and evaluation in secondary school science teaching. Includes lectures discussions field trips demonstrations and laboratory practicum.",2011
70093,VARIABLE TITLE WORKSHOP IN SECONDARY EDUCATION ,SEED,Doctoral standing and special approval.,,"Various topics designed to respond to issues, trends and specialized needs of elementary or secondary Departments.",2011
72191,SEMINAR IN SECONDARY EDUCATION ,SEED,Doctoral standing.,,Study and experience of various theoretical and methodological and practical approaches to special problems.,2011
