10001,INFORMATION TECHNOLOGY ,TECH,,,Introduction to the operation and use of computer systems in technology-related applications. Laboratory assignments include the use of microcomputers for solving technical problems.,2011
11071,WOODS TECHNOLOGY I ,TECH,,,"Provides experience in fundamental hand and machine processes in wood-fabrication. Projects are designed, planned and constructed by the student according to curricular needs and interests.",2011
11083,TECHNICAL DRAWING AND SKETCHING ,TECH,,,"State-of-the-art experiences and fundamentals of sketching, lettering, blueprint reading, orthographic projection, dimensioning, sectioning single and double auxiliaries, isometric, oblique, perspectives and fasteners.",2011
13580,ENGINEERING GRAPHICS I ,TECH,,,"Technique of engineering drawing, lettering, instrument use, freehand drawing, orthogonal projection, sections, single and double auxiliaries, dimensioning, screw threads, charts and graphs.",2011
20001,ENERGY/POWER ,TECH,TECH 21021.,,Study of basic thermodynamic laws and how they apply to the conversion and transfer of heat energy into useful power.,2011
20002,MATERIALS AND PROCESSES ,TECH,,,Study and practice addressing the nature of basic manufacturing materials and the processes by which they are converted into manufactured products. Includes laboratory experience.,2011
20004,FUNDAMENTALS OF ELECTRONIC CIRCUITS ,TECH,MATH 11010 and 11022.,MATH 12002.,"Introduction to electronic circuits consisting of resistors, capacitors and inductors. Calculation of voltages and currents in the circuits for the case of constant and time varying currents.",2011
21021,SURVEY OF ELECTRICITY AND ELECTRONICS ,TECH,,MATH 11022.,"Survey of DC and AC circuits, electronic devices, amplifiers, sensors and transducers, digital circuits, motors generators and controls. Includes laboratory. Not intended for industrial technology (INDT) majors. Corequisite: MATH 11022.",2011
21046,GRAPHIC COMMUNICATIONS TECHNOLOGY I ,TECH,,,"An orientation to layout, composition and press operations as applied to the graphic communications processes of lithography screen and relief printing.",2011
21071,CONSTRUCTION MATERIALS METHODS AND TECHNIQUES ,TECH,,,Covers current construction materials and their applications in commercial and residential construction buildings.,2011
22095,SPECIAL TOPICS IN TECHNOLOGY,TECH,Permission.,,"(repeated registration permitted) various special topics to be announced in the schedule of classes, offering current topics in technology based areas of study.",2011
22100,TRAINING TOPICS IN TECHNOLOGY,TECH,Permission.,,(repeated registration permitted) specialized instruction oriented primarily to the theoretical base and application of current technology developed by experts in the specific technology. This course is repeatable as the specific topics will vary.,2011
22200,CONSTRUCTION DOCUMENT READING ,TECH,,,"An introductory course to construction document reading. Provides a basic working knowledge of construction mathematics, specifications, material submittal process, building codes and material take off.",2011
23200,ELECRONIC CIRCUIT FABRICATION LABORATORY ,TECH,TECH 20004 or 21021.,,"Covers the common methods and items used in electronics to fabricate, repair and test electronic component connections and circuits. Topics include electrical safety, printed circuit board design and fabrication, soldering, wiring characteristics, cabling, wire connectors, splices, wire wrapping, crimping, network cable fabrication, fabrication and repair of fiber optic cables and connectors, and integrated circuit fabrication.",2011
23224,ELECTRICAL CIRCUITS II ,TECH,TECH 20004.,,"Intermediate electric circuit analysis. Reactance, impedance, network theorems and analysis. Resonance in series and parallel circuits. Applications. Includes laboratory.",2011
23581,COMPUTER-AIDED ENGINEERING GRAPHICS ,TECH,TECH 10001 and TECH 13580.,,"Study of working drawings, descriptive geometry, geometrical tolerancing, structural/weldments, cams, gears, piping and considerable time with the Hewlett Packard 900 CAD system.",2011
31000,CULTURAL DYNAMICS OF TECHNOLOGY ,TECH,,,Study of technology and the forces it exerts upon society.,2011
31010,ENGINEERING AND PROFESSIONAL ETHICS ,TECH,,,"Applications of codes of ethics in the engineering and technology professions reflective of social and moral responsibilities to the public, and accountability in engineering practice.",2011
31015,CONSTRUCTION TECHNOLOGY ,TECH,ID 14512 or TECH 13580 or TECH 11083.,,"Laboratory, lecture and field experience which relate to the construction industry and its relationship to our society.",2011
31016,MANUFACTURING TECHNOLOGY ,TECH,TECH 10001 and TECH 13580 and TECH 20002.,,"Classroom, laboratory and field experiences involving the major aspects of a manufacturing enterprise including product design, production financing and marketing.",2011
31020,AUTOMATED MANUFACTURING ,TECH,,,"Theory and operation of computer controlled machine tools, robots and processes.",2011
31023,CONSTRUCTION SURVEYING ,TECH,TECH 22200.,,"Covers the study of surveying including field work with equipment such as transit, level and tape.",2011
31032,POWER TECHNOLOGY ,TECH,TECH 20001 and TECH 20004.,,"Principles of energy conversion and power application. Overview of basic heat engines, machines and transmission devices. Alternative energy systems and conservation techniques.",2011
31043,PRINCIPLES OF CONCRETE CONSTRUCTION ,TECH,TECH 21071.,,An introductory course on the use of concrete in the construction industry. Students will gain a basic understanding of the strength and behavior of reinforced concrete members and simple reinforced concrete structural systems.,2011
