11000,THE ART OF THE THEATRE ,THEA,,,"Using the life-centered nature of theatre as a medium of analysis, this course is designed to develop critically engaged audience members who are aware of the impact, significance and historical relevance of the interconnection between culture and theatre performance.",2011
11303,THE ART OF ACTING ,THEA,Special approval.,,"General introduction to acting: the actor's instrument, sensory awareness, personal and group response, objectives and tactics. Basic scene work.",2011
11522,INTRODUCTORY LIGHTING ,THEA,pecial approval.,,"An introduction to the art of lighting design, historical and technical perspectives. Emphasis on principles of design within a collaborative process. Two lecture hours plus two lab hours per week.",2011
11524,INTRODUCTORY COSTUMING ,THEA,pecial approval.,,"Principles, theories and basic skills of costume design and technology. Emphasis on aesthetics, the design process, fabric, construction techniques and craft materials. Two lecture hours plus two lab hours per week.",2011
11622,INTRODUCTORY SCENERY ,THEA,pecial approval.,,"Principles, theories and basic skills of scenic design and technology. Emphasis on design elements, process of applied construction skills. Two lecture hours plus two lab hours per week.",2011
21016,MAKEUP FOR STAGE AND SCREEN ,THEA,Special approval.,,"Study of stage, TV and photographic makeup techniques and materials. Four lecture demonstration laboratory hours per week; special projects as assigned.",2011
21095,SPECIAL TOPICS IN THEATRE ,THEA,pecial approval.,,Offered irregularly when unusual recourses permit a topic different from existing courses. Topic will be announced when scheduled. Repeated registration permitted.,2011
21111,SCRIPT ANALYSIS ,THEA,THEA 11000.,,"Principles, theories and techniques of play script analysis for theatrical production.",2011
21201,INTRODUCTION TO AMERICAN MUSICAL THEATRE ,THEA,,,"The evolution of the American musical from comic opera, European operetta and African American jazz to today's commercial Broadway stage. Students engage in the traditions, identity, and socio- economic development of the quintessential American art form: Musical Theatre.",2011
21303,ACTING PROCESS ,THEA,special approval.,,"Fundamentals of naturalistic acting and interaction; development of spontaneity, believability and a sense of truth; game playing and basic stage technique.",2011
21306,MUSICAL THEATRE PERFORMANCE I ,THEA,Musical Theatre major.,,Performance-oriented class that will focus on techniques and styles of performance in musical theatre and cabaret from Gilbert and Sullivan to present. Repeatable for up to 12 hours.,2011
21501,SOPHOMORE PORTFOLIO REVIEW ,THEA,pecial approval.,,"Preparation and review of a portfolio of work, judged by the design technology faculty at the beginning of the spring semester. Student must pass to remain in the BFA design technology program.",2011
