20095,SPECIAL TOPICS IN WOMEN'S STUDIES ,WMST,,,"Study of particular contemporary figures, events and social practices or phenomenon as they relate to women's studies. This includes women and war, women and work, and women and interpersonal violence. Repeated registration permitted when topic varies.",2011
20193,VARIABLE TITLE WORKSHOP IN WOMEN'S STUDIES ,WMST,,,Workshop focused on a specific topic within women's studies. Repeated registration permitted.,2011
30000,COLLOQUIUM IN WOMEN'S STUDIES ,WMST,Junior standing.,,"A critical investigation of the position and category of women from a cross-cultural, historical and interdisciplinary perspective with special emphasis on major themes and issues in women's studies. Issues including race, ethnicity and sexuality will be addressed.",2011
30001,FEMINIST THEORY ,WMST,junior standing; and ENG 21002 or ENG 33013 or ENG 33014 or COMM 35912 or WMST 20095 or WMST 30000 or WMST 30095 or WMST 30100 or PHIL 31040 or JUS 37411 or PAS 33110 or PAS 37100 or PAS 37200 or HIST 31075 or GER 41332 or POL 40470 or SOC 42315.,,"An examination of important historical and contemporary works of feminist theory, and their influence on the development of feminist thought and practice in the U.S. and worldwide. Issues including race, ethnicity and sexuality will be addressed.",2011
30095,SPECIAL TOPICS IN WOMEN'S STUDIES II ,WMST,,,"Study of selected topics in women's studies organized around historical and theoretical issues and movements. This includes contemporary feminist theory, suffragist movement and third wave feminism. Repeated registration permitted when topic varies.",2011
30100,HISTORY OF WOMEN IN THE UNITED STATES ,WMST,,,"An exploration of the political, economic, social, intellectual, and cultural forces that have shaped women‟s lives, women‟s thought, perceptions of womanhood, and feminism for 1607 to the present in what is now the United States.",2011
30196,WOMEN STUDIES INDIVIDUAL INVESTIGATION ,WMST,Special approval of faculty member and department.,,"The design and completion of a scholarly research project related to women's studies, and the presentation of findings at the end of the term. Typically a capstone course for those completing the women's studies minor. Arrangements must be made in the semester prior to registration.",2011
40095,SPECIAL TOPICS IN WOMEN'S STUDIES III ,WMST,WMST 30000 or WMST 30001.,,Repeated registration permitted when topic varies. Informed study of critical issues in women's studies from an international or global perspective.,2011
40193,VARIABLE TITLE WORKSHOP IN WOMEN'S STUDIES ,WMST,,,Workshop focused on a specific topic within women's studies. Repeated registration permitted.,2011
40992,PRACTICUM IN WOMEN'S STUDIES ,WMST,Permission.,,"An assignment at a private, public or nonprofit organization that centers on women's issues such as education health and policy making. Arrangements must be made in the semester prior to registration.",2011
