15000,INTRODUCTION TO AERONAUTICS ,AERN,,,"Introduction to aeronautical and aerospace technology including historical development, underlying science and technical applications. The past , present and future social, economic, technical and political impact of aviation are also explored.",2012
15250,FAA ORIENTATION ,AERN,,,"Introduction to the Federal Aviation Administration with particular emphasis on its role and impact on air traffic management and the National Airspace System (NAS). Course addresses the unique aspects and Requirements of federal employment, as well as federal regulations affecting flight operations and the FAA's associated supporting agencies.",2012
15740,ELEMENTS OF FLIGHT THEORY ,AERN,,AERN 15741.,Basic instruction in all areas which gives the student aeronautical knowledge required for a private pilot certificate. Corequisite: AERN 15741.,2012
15741,PRIVATE PILOT FLIGHT ,AERN,AERN 15000 and 2.500 GPA.,AERN 15740.,Flight course designed to fulfill FAA Requirements for private pilot certificate.,2012
15742,PRIVATE PILOT HELICOPTER FLIGHT ,AERN,2.000 cumulative GPA and TECH 15740.,TECH 35101.,Flight course designed to fulfill Federal Aviation Administration (FAA) Requirements for the private pilot helicopter certificate.,2012
15743,PRIVATE PILOT HELICOPTER FLIGHT ADD-ON ,AERN,2.000 cumulative GPA and TECH 15740 and 15741.,TECH 35101.,Flight course designed to fulfill Federal Aviation Administration (FAA) Requirements for the private pilot helicopter certificate.,2012
25250,ELEMENTS OF AVIATION WEATHER ,AERN,AERN 15000.,,Aviation weather provides an up-to-date and expanded course for professional pilots and others whose interest in weather is primarily in its application to flight.,2012
25350,FUNDAMENTALS OF AIR TRAFFIC CONTROL ,AERN,,AERN 25351.,"Introduction to the National Airspace System (NAS) and the orders, manuals and procedures associated with the purposes and directives of the air traffic control environment to include purposes and responsibilities of the ATC system. Corequisite: AERN 25351.",2012
25351,FUNDAMENTALS OF AIR TRAFFIC CONTROL LABORATORY ,AERN,,AERN 25350.,"Introductory laboratory course on air traffic management and the National Airspace System, the orders, manuals and procedures associated with the purposes and directives of the air traffic control environment. To include purposes and responsibilities of the ATC system.",2012
25743,COMMERCIAL PILOT FLIGHT I ,AERN,AERN 15740 and 15741.,,"Advanced flight course providing flight instruction for the commercial pilot. Primary emphasis is on cockpit resource management, advanced navigational practices and basic instrument instruction.",2012
35001,AIRCRAFT FABRICATION ,AERN,AERN 15000 and PHY 13001.,,"The study and laboratory practice of government approved procedures used in the fabrication, repair and testing of certificated aircraft.",2012
35020,AIRCRAFT PROPULSION SYSTEMS ,AERN,AERN 15000 and PHY 13011.,,"A study of basic reciprocating and gas turbine engine theory. Course investigates power plant construction, component function, including propeller and fuel systems, ancillary systems that support aircraft propulsive systems and performance characteristics.",2012
35030,INTRODUCTION TO CORPORATE AVIATION ,AERN,AERN 15000.,,Introduces students to the business and corporate sectors of commercial aviation. Examines business and corporate aviation from the joint perspectives of operations and maintenance management as well as flight operations.,2012
35040,AIRCRAFT SYSTEMS I ,AERN,PHY 23101; or PHY 13011 and 13012; and AERN 15000.,,"In-depth study of various aircraft systems including electrical systems, environmental control systems, and fuel systems as applied to aircraft.",2012
35095,SPECIAL TOPICS IN AERONAUTICS,AERN,Aeronautics (AERN) major and sophomore standing.,,(Repeatable for credit)Specialized offerings of interest in response to emerging or needed curricular needs in aeronautics. Topics will be announced in the schedule of classes.,2012
35101,HELICOPTER THEORY AND OPERATION ,AERN,AERN 15000 and 25250.,,"Study of helicopter flight and operations that includes rotor system dynamics, control functions, major components, operation and performance.",2012
35150,AIRCRAFT STRUCTURES ,AERN,PHY 13011 and 13012; and AERN 15000.,,Aircraft structural design investigations dealing with theory and applications in aviation.,2012
35340,AIRPORT MANAGEMENT ,AERN,AERN 15000 and 15740 and 25250.,,"Introduction to the many functions that are involved in the operation and management of an airport. Includes an analysis of the development of the airport- airway system, airport legislation, airport planning and airport operations.",2012
35341,AIR TRANSPORTATION SYSTEMS ,AERN,AERN 15000.,,Descriptive course in airline operations as seen from the air carrier's business perspective. Emphasis is on business practices and techniques unique to aviation.,2012
35342,TERMINAL OPERATIONS I ,AERN,AERN 15250 and 15740 and 25350 and 25351.,,"Intermediate level terminal operations course. Emphasis on tower operations at the clearance delivery, ground control, and local control positions. Topics covered will include, but not be limited to phraseology, procedures, LOAs, and weather.",2012
35343,EN ROUTE I ,AERN,AERN 25250 and 25350 and 35342.,,"Introduction to en route operations of air traffic control. Focus on the non-RADAR foundations of en route operations. Topics covered include, but are not limited to phraseology, maps, LOAs, rules and procedures in a non-RADAR environment.",2012
35344,EN ROUTE I LABORATORY ,AERN,,,Application of en route operating principles explored in AERN 35343.,2012
35345,TERMINAL OPERATIONS I LABORATORY ,AERN,,AERN 35342.,Application of terminal air traffic control operating principles explored in AERN 35342 Terminal Operations I. Perquisite: none. Corequisite: AERN 35342.,2012
35644,INSTRUMENT FLIGHT THEORY ,AERN,AERN 15740 and TECH 25250.,AERN 35645.,Comprehensive instruction presenting theoretical and practical aspects of instrument and weather flying.,2012
35645,INSTRUMENT PILOT FLIGHT ,AERN,AERN 25250 and 25743.,AERN 35644.,Comprehensive flight course for the professional pilot candidate to meet the Requirements of the FAA instrument rating.,2012
35646,INSTRUMENT HELICOPTER FLIGHT ,AERN,AERN 15742 or 15743; special approval; and minimum cumulative 2.000 GPA.,AERN 35644.,Flight course designed to fulfill FAA Requirements for the Instrument Helicopter Rating.,2012
35647,COMMERCIAL PILOT FLIGHT II ,AERN,AERN 35644 and 35645.,,Comprehensive flight course for the professional pilot candidate with emphasis on commercial flight maneuvers and instrument flight review.,2012
