15001,INTRODUCTION TO THE PROFESSION OF ATHLETIC TRAINING ,ATTR,Athletic training (ATTR) major.,,"An overview of the profession of athletic training; including employment opportunities, academic and clinical preparation; and introduction to basic knowledge and skills utilized in the profession.",2012
15011,INTRODUCTION TO CLINICAL ATHLETIC TRAINING ,ATTR,Athletic training (ATTR) major.,,Basic concepts and skills related to the professional domains of the athletic training profession. Arc certification in first aid and cpr and overview of career opportunities are included.,2012
15092,PRACTICUM IN ATHLETIC TRAINING I ,ATTR,ATTR 15011 and special approval.,,"The study and clinical application of the competencies in athletic training educational domains. Specific emphasis on the introductory cognitive, psychomotor and affective components. Clinical hours and completion of specific competencies are required.",2012
25036,PRINCIPLES OF ATHLETIC TRAINING ,ATTR,,,"Principles of the profession, including injury prevention, basic sports trauma, injury management and specific sports conditions. Practical competency in emergency care and first aid; athletic taping, wrapping and bracing; and equipment fitting.",2012
25037,PHYSICAL ASSESSMENT TECHNIQUES FOR THE LOWER EXTREMITY AND SPINE ,ATTR,ATTR 25036; and ATTR 25057 or EXSC 25057.,,Anatomical and clinical assessment techniques for injuries and illnesses common to the physically active. Emphasis on orthopedic assessment strategies of the upper and lower quarters and spine for proper referral and care.,2012
25038,"PHYSICAL ASSESSMENT TECHNIQUES FOR THE UPPER EXTREMITY, HEAD AND NECK ",ATTR,ATTR 25036 and ATTR 25037; and ATTR 25057 or EXSC 25057.,,"Anatomical and clinical assessment techniques for injuries and illnesses with specific emphasis on orthopedic and neurological assessment strategies for the upper extremity, head and neck. Proper referral and care procedures are also be addressed.",2012
25057,HUMAN ANATOMY AND PHYSIOLOGY I,ATTR,,,"(Equivalent to EXSC 25057) Comprehensive examination of anatomy and physiology related to the organization of the body and basic cell and tissue types. Specific structure and function of the muscular, skeletal, cardiovascular, nervous and respiratory systems are addressed.",2012
25058,HUMAN ANATOMY AND PHYSIOLOGY II,ATTR,ATTR 25057 or EXSC 25057.,,"(Equivalent to EXSC 25058) Comprehensive examination of anatomy and physiology related to the human body under rest and exercise conditions. Specific structure and function of the metabolic, endocrine, lymphatic, digestive, urinary and reproductive systems are addressed. Advanced coverage of neurological, cardiovascular and respiratory systems are also addressed.",2012
25092,PRACTICUM IN ATHLETIC TRAINING II ,ATTR,ATTR 15092.,,"The study and clinical application of the competencies in athletic training educational domains. Specific emphasis on the intermediate cognitive, psychomotor and affective components. Clinical hours and completion of specific competencies are required.",2012
35025,ESSENTIALS OF ATHLETIC INJURY MANAGEMENT ,ATTR,,,"Common injuries related to physical activity and/or athletic participation from the cause, management and care perspectives. American Red Cross sport safety training certification (including adult/child CPR) will be granted. Emphasis on application of skills.",2012
35037,ADVANCED PHYSICAL ASSESSMENT TECHNIQUES ,ATTR,ATTR 25037 and 25038; and ATTR 25058 or EXSC 25058.,,"Anatomical, medical and clinical assessment techniques for injuries and illnesses common to the physically active. Emphasis on neurological and non-orthopedic assessment strategies for proper referral and care.",2012
35039,THERAPEUTIC MODALITIES ,ATTR,ATTR 25036.,,"The study and practical application of physical modalities including physical principles, physiologic effects, indications/contraindications and standard application procedures. Safety and legal issues of modality usage are also addressed.",2012
35040,STRENGTH AND CONDITIONING I ,ATTR,ATTR 25057; and athletic training (ATTR) or physical education-professional (PEP) major.,,"Demonstrate didactic understanding and clinical application of energy systems, anatomy and proper techniques for strength and conditioning exercises for practical applications with athletes.",2012
35045,EMERGENCY MEDICAL TECHNICIAN-BASIC ,ATTR,ATTR 25036.,,"Preparing for Emergency Medical Technician certification including patient assessment, airway and cardiac management, trauma management, medical patient management and clinical experience. Prepares students to challenge the National Registry Examination for the State of Ohio for EMT-Basic. Clinical hours are required for this course through Hudson EMS.",2012
35054,BIOMECHANICS ,ATTR,ATTR 25057 or EXSC 25057; and ATTR 25058 or EXSC 25058.,,"Anatomical and mechanical bases of human movement. Emphasis is placed on tools and techniques for motion analysis, mechanical concepts, forces and performance analysis. Lecture and laboratory.",2012
35092,PRACTICUM IN ATHLETIC TRAINING III ,ATTR,ATTR 25092.,,"The study and clinical application of the competencies in athletic training educational domains. Specific emphasis on the intermediate and advanced cognitive, psychomotor and affective components. Clinical hours and completion of specific competencies are required.",2012
45017,PROFESSIONAL DEVELOPMENT IN ATHLETIC TRAINING ,ATTR,Senior standing; athletic training majors only.,,An investigation of the issues affecting the student athletic trainer as they prepare for an entry-level career in athletic training. Professional development issues and NATABOC exam preparation are included.,2012
45038,ORGANIZATION AND ADMINISTRATION OF ATHLETIC TRAINING ,ATTR,ATTR 25036.,,Investigation into current philosophies and legal aspects of athletic training. Organization and administration of all aspects of athletic training programs.,2012
