10001,INTRODUCTION TO A CAREER IN TEACHING ,CHDS,,,"Students considering teaching as a career will explore all aspects of an educator's role, will evaluate career and personal development as related to the education profession, and will participate in observation experience. This course is a pre professional experience coordinated by ACHVE department.",2012
10002,"INTRODUCTION TO CAREERS IN EDUCATION, HEALTH AND HUMAN SERVICES ",CHDS,,,"Explores roles of educators, health and human service providers in community and school settings. Introduction to work of professionals in such areas as youth organizations; recreation, mental health and child and family services; museums and parks; and health and allied health agencies. Assessment of career interests is conducted.",2012
20092,FIELD EXPERIENCE I: MIDDLE CHILDHOOD,CHDS,,HDFS 24013.,(Repeatable for credit) Course augments from an experiential perspective knowledge of early adolescence period of development. Placement in school settings (30 hrs.).Corequisite: HDFS 24013.,2012
37700,HUMAN RELATIONS IN A WORLD OF DIVERSITY ,CHDS,,,"Emphasizes the study/practice of facilitative human relations in personal and work/career spheres. Topics include, not limited to gender, sexual orientation/multiculturalism/conflict resolution/value clarification/family influence.",2012
37800,SMALL GROUP PROCESS ,CHDS,,,"Students learn to understand the dynamics of problem-solving groups and how to become effective leaders and members. Topics include climate, goals, decision making, communication, leadership, membership. Experience- based learning combined with conceptualizing.",2012
40093,VARIABLE TITLE WORKSHOP IN COUNSELING AND HUMAN DEVELOPMENT SERVICES,CHDS,,,(Repeatable for credit)Topics of special interest to students who desire to increase their knowledge in counseling and related areas. Kent faculty and experts from other institutions and agencies. Topics will be announced in the schedule of classes booklet.,2012
41892,INTERNSHIP IN EDUCATIONAL STUDIES AND HELPING PROFESSIONS,CHDS,Senior standing.,CHDS 41791.,(Repeatable for credit)Placement in a worksite congruent with student's career aspirations. Ten hrs. week for 15 weeks for two semesters or 20 hrs. week for 15 weeks one semester for a total of 300 hours.,2012
44084,BEHAVIORAL SCIENCE IN HEALTH PROFESSIONS,CHDS,Permission.,,(Repeatable for a maximum of 12 hours) behavioral science perspective on individual and social issues affecting medical care delivery. Individually arranged. May include field projects participation in health related investigations and presentations and personal development programs.,2012
50093,VARIABLE TITLE WORKSHOP IN COUNSELING AND HUMAN DEVELOPMENT SERVICES,CHDS,Graduate standing.,,"(Repeatable for credit) Workshops and training laboratories in various aspects of counseling, guidance and personnel services for counselors, supervisors, administrators and paraprofessionals. Prospective enrollees not currently admitted to graduate school may obtain special admission for graduate credit in a workshop. Topics are announced in brochures of college of continuing studies. Limit of 6 hours with adviser's permission toward any degree program.",2012
60199,THESIS I ,CHDS,Graduate standing and special approval.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2012
