15101,ELEMENTARY CHINESE I ,CHIN,,,An introduction to Mandarin Chinese in the context of modern Chinese-speaking cultures.,2012
15102,ELEMENTARY CHINESE II ,CHIN,CHIN 15101.,,A continuation of the introduction to Mandarin Chinese in the context of modern Chinese-speaking cultures.,2012
25201,INTERMEDIATE CHINESE I ,CHIN,CHIN 15102.,,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials.",2012
25202,INTERMEDIATE CHINESE II ,CHIN,CHIN 25201.,,Continuation of CHIN 25201.,2012
30095,SPECIAL TOPICS,CHIN,Permission.,,(Repeatable for credit) Topic to be announced in schedule of classes.,2012
35201,ADVANCED INTERMEDIATE CHINESE I ,CHIN,CHIN 25202.,,"Continuation of Intermediate Chinese II. Emphasis is on building active vocabulary for comprehension, reading authentic texts, writing of connected discourse and the development of conversational proficiency.",2012
35202,ADVANCED INTERMEDIATE CHINESE II ,CHIN,CHIN 35201,,"Continuation of Advanced Intermediate Chinese I. Emphasis is on building active vocabulary for comprehension, reading authentic texts, writing of connected discourse and the development of conversational proficiency.",2012
45096,INDIVIDUAL INVESTIGATION,CHIN,CHIN 25201.,,(Repeatable for a total of 6 credit hours) Individual study supervised by a faculty member on an approved topic dealing with Chinese language and-or culture.,2012
45201,ADVANCED CHINESE I ,CHIN,CHIN 35202.,,"Continuation of Advanced Intermediate Chinese II. Emphasis is on building active vocabulary for comprehension, reading authentic texts, writing of connected discourse and the development of higher levels of conversational proficiency.",2012
45202,ADVANCED CHINESE II ,CHIN,CHIN 45201.,,Continuation of Advanced Chinese I.,2012
45301,CHINESE CULTURE ,CHIN,,,"Survey of Chinese culture including ethnic, religious, and linguistic diversity and the roots of China's current socio-cultural context.",2012
45302,BUSINESS CHINESE ,CHIN,CHIN 35202.,,"Study of the business protocol, language functions, texts and vocabulary associated with travel and business in the Chinese-speaking world.",2012
