40093,VARIABLE TITLE WORKSHOP IN CURRICULUM AND INSTRUCTION,CI,Permission.,,"(Repeatable for credit) Variable topic workshop designed to respond to curriculum trends and issues, and specialized needs.",2012
47095,SPECIAL TOPICS IN CURRICULUM AND INSTRUCTION,CI,pecial approval.,,(Repeatable for credit),2012
47096,INDIVIDUAL INVESTIGATION IN CURRICULUM AND INSTRUCTION,CI,pecial approval.,,(Repeatable for credit),2012
47195,SPECIAL TOPICS IN CURRICULUM AND INSTRUCTION ,CI,pecial approval.,,Student teaching.,2012
47330,READING AND WRITING IN ADOLESCENCE/ADULTHOOD ,CI,Admission to advanced study.,,"Understanding of literacy learning in adolescence and adulthood (ages 12-21) with an emphasis on strategies for text learning, literacy in electronic environments and teaching students who struggle as readers and writers.",2012
47501,TEACHING MATHEMATICS IN EARLY AND MIDDLE GRADES ,CI,"Advanced standing, minimum C (2.000) in MATH 14001 or 14002.",,"Addresses pedagogical content knowledge for the teaching and learning of mathematics in grades K-9, based on the national content and process standards.",2012
47502,SCIENCE TEACHING IN EARLY AND MIDDLE GRADES ,CI,Admission to advanced study.,,Addresses pedagogical content knowledge for the teaching and learning of science in grades K-9. In addition students examine how to best align science practice to state and national standards.,2012
47503,TEACHING SOCIAL STUDIES IN EARLY AND MIDDLE GRADES ,CI,Admission to advanced study.,,"Addresses pedagogical content knowledge for the teaching and learning of social studies in grades k-9, based on the national content and process standards.",2012
47504,TEACHING READING AND WRITING IN MIDDLE GRADES ,CI,Admission to advanced study.,,"Addresses pedagogical content knowledge for the teaching and learning of reading and writing in grades 4-9, based on the national content and process standards.",2012
50093,VARIABLE TITLE WORKSHOP IN CURRICULUM AND INSTRUCTION,CI,Graduate standing and special approval.,,"(Repeatable for credit) Variable topic workshop designed to respond to curriculum trends and issues, and specialized needs.",2012
50095,SPECIAL TOPICS: SEMINAR/WORKSHOP IN CURRICULUM AND INSTRUCTION ,CI,Graduate standing.,,"Special topic: seminar workshop for international baccalaureate program,",2012
53093,"VARIABLE TITLE WORKSHOP IN EXERCISE, LEISURE AND SPORT",CI,Graduate standing.,,"(Repeatable for credit)Workshop in exercise, leisure and sport studies topics vary. Maximum 4 hours may be applied to degree.",2012
55015,PSYCHOLOGY OF COACHING ,CI,Graduate standing.,,"Factors affecting athletic performance emphasizing skill, motivation, personality and practice conditions.",2012
55020,CONTEMPORARY ATHLETIC COACHING ,CI,Graduate standing.,,"A focus on the philosophy, skills, strategies and tactics of coaching within contemporary society.",2012
55051,ELEMENTARY SCHOOL PHYSICAL EDUCATION METHODS ,CI,Special approval and graduate standing.,,Approaches to teaching in elementary school physical education. Focusing on sequential curriculum development and on learning outcomes in three domains. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ¿school/agency¿ before the first day of the semester in which student teaching/ internship will take place.,2012
55053,ELEMENTARY SCHOOL PHYSICAL EDUCATION CONTENT ,CI,Special approval and graduate standing.,,Physical education content for the elementary school child with emphasis on developmentally appropriate learning in three domains. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school/agency before the first day of the semester in which student teaching/ internship will take place.,2012
55058,SECONDARY SCHOOL PHYSICAL EDUCATION METHODS ,CI,Special approval and graduate standing.,,Approaches to teaching in secondary school physical education. Focus on sequential curriculum development and on learning outcomes in three domains. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school/agency before the first day of the semester in which student teaching/ internship will take place.,2012
55059,SECONDARY SCHOOL PHYSICAL EDUCATION CONTENT ,CI,Special approval and graduate standing.,,"Introduction and development of content, management and organizational skills related to sports and activities utilized in secondary school physical education. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school/agency before the first day of the semester in which student teaching/ internship will take place.",2012
57330,READING AND WRITING IN ADOLESCENCE/ADULTHOOD ,CI,Graduate standing.,,"Understanding of literacy learning in adolescence and adulthood (ages 12-21) with an emphasis on strategies for text learning, literacy in electronic environments, and teaching students who struggle as readers and writers.",2012
57501,TEACHING MATHEMATICS IN EARLY AND MIDDLE GRADES ,CI,Graduate standing.,,"This course addresses pedagogical content knowledge for the teaching and learning of mathematics in grades K-9, based on the national content and process standards.",2012
57502,SCIENCE TEACHING IN EARLY AND MIDDLE GRADES ,CI,Graduate standing.,,This course addresses pedagogical content knowledge for the teaching and learning of science in grades K-9. In addition students will examine how to best align science practice to state and national standards.,2012
57503,TEACHING SOCIAL STUDIES IN EARLY AND MIDDLE GRADES ,CI,Graduate standing.,,"This course addresses pedagogical content knowledge for the teaching and learning of social studies in grades K-9, based on the national content and process standards.",2012
57504,TEACHING READING AND WRITING IN MIDDLE GRADES ,CI,Graduate standing.,,"Addresses pedagogical content knowledge for the teaching and learning of reading and writing in grades K-9, based on the national content and process standards.",2012
60199,THESIS I ,CI,Graduate standing and special approval.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2012
60299,THESIS II ,CI,CI 60199 and graduate standing.,,Thesis students must continue registration each semester until all degree Requirements are met.,2012
61125,ISSUES AND TRENDS IN SOCIAL STUDIES EDUCATION ,CI,Graduate standing.,,This course will provide an overview of historical trends and contemporary issues in social studies education.,2012
61126,RESEARCH IN SOCIAL STUDIES TEACHING AND LEARNING ,CI,Graduate standing.,,"During this course students will examine, discuss and study research in the teaching and learning of social studies as well as develop their own study of social studies teaching and learning.",2012
61127,TECHNOLOGY AND SOCIAL STUDIES ,CI,Graduate standing.,,"Course provides experiences with and study of various uses of technology in social studies teaching and learning. During the course we will examine implications and effects of technology on student learning, teaching and society as a whole.",2012
