10001,COMPUTER LITERACY ,CS,,,"Introduction to history, language, procedures, applications, abuses and impact of computers. Hands-on experience with microcomputers. Not open to students with previous experience.",2012
10051,INTRODUCTION TO COMPUTER SCIENCE ,CS,,,"An introductory, broad and hands-on coverage of aspects of computer science, including algorithms, problem solving, operating systems concepts, computer architecture, programming languages and modern applications. Three-credit lecture with one-credit lab.",2012
10061,INTRODUCTION TO COMPUTER PROGRAMMING ,CS,MATH 11009 or 11010; or minimum SAT 480/ACT 20 and Compass Algebra score of 55; or minimum SAT 620/ACT 26 and Compass Algebra score of 36.,,"Emphasizes programming in a high-level language, includes structured programming, program design, expressions, data control, arrays, records, strings and functions.",2012
13001,COMPUTER SCIENCE I-PROGRAMMING AND PROBLEM SOLVING ,CS,C (2.000) or better in MATH 11009 or 11010.,,"Computer science concepts including algorithm development and problem solving strategies focused on procedural abstraction. High-level programming concepts including data types, expressions, program structures, functions, parameter passing, scope, extent, arrays, introduction to recursion and an introduction to object oriented-concepts. Course is three hours lecture and one hour lab.",2012
13401,USER LEVEL COMPUTER SECURITY ,CS,,,"Introduction to computer and network safety; detection and removal of viruses, detection and defense against spyware and rootkits, firewall description and use, protection mechanisms against computer system hacking, spam, identity theft and phishing, protecting wireless networks, safe computing. Includes many in-lecture tutorials.",2012
19995,SPECIAL TOPICS IN COMPUTER SCIENCE,CS,Permission.,,(Repeatable for credit) Special topics from all areas of computer science.,2012
23001,COMPUTER SCIENCE II-DATA STRUCTURES AND ABSTRACTION ,CS,Minimum grade of C (2.000) in CS 13001.,CS 23022.,"Computer science concepts and problem solving focusing on data structure and abstraction. Object-oriented concepts and programming including encapsulation, information hiding, object design, generics, polymorphism and an introduction to inheritance. Dynamic memory structures including dynamic arrays, pointers, linked-lists and the use of recursion for problem solving. Abstract data types including stacks, queues, lists, trees and graphs.",2012
23022,DISCRETE STRUCTURES FOR COMPUTER SCIENCE ,CS,and minimum grade of C (2.000) in MATH 11009 or 11010.,,"Discrete structures for computer scientists with a focus on: mathematical reasoning, combinatorial analysis, discrete structures, algorithmic thinking, applications and modeling. Specific topics include logic, sets, functions, relations, algorithms, proof techniques, counting, graphs, trees, Boolean algebra, grammars and languages.",2012
27101,INTRODUCTION TO WEB INTERFACE DESIGN ,CS,,,"Introduction to principles for the design and implementation of user-centered website interfaces, website interface evaluation, human computer interaction, effective data organization and manipulation and tools for website creation.",2012
29995,SPECIAL TOPICS IN COMPUTER SCIENCE,CS,Permission.,,(Repeatable for credit)Special topics from all areas of computer science.,2012
31045,FORMAL LOGIC ,CS,,,Study of first order predicate calculus with identity and function symbols.,2012
33006,SOCIAL AND ETHICAL ISSUES IN COMPUTING ,CS,C (2.000) or better in CS 23021.,,"Social issues, including historical and social context, professional responsibilities, risks and liabilities and intellectual property.",2012
33007,INTRODUCTION TO DATABASE SYSTEM DESIGN ,CS,minimum grade of C (2.000) in CS 23001.,,"An introduction to the basic theoretical aspects of database systems, file organization, search methodologies, language design and performance evaluation techniques, initial modeling concepts and their use in hierarchical, network, relational and object-oriented database designs.",2012
33011,SPEED PROGRAMMING TECHNIQUES ,CS,CS 33001.,,Discussion and practice of pertinent aspects related to programming under time constraints.,2012
33101,STRUCTURE OF PROGRAMMING LANGUAGES ,CS,C (2.000) or better in CS 33001.,,"Introduction to syntax, semantics, behavior and implementation issues in imperative, functional, logic and object-oriented languages; type theory, concurrency, data dependency, no determinism and internet languages.",2012
33192,INTERNSHIP IN COMPUTER SCIENCE,CS,CS 33006 and special approval.,,(Repeatable for credit)Supervised work experience in computer science. Since this work will be outside the department a report and final presentation will be required; a site visit might also be necessary.,2012
