12060,PERSONAL FINANCE ,ECON,,,"Examines economic issues and problems of everyday life. Goal is to enable individuals to analyze their personal finances in order to learn how to get the most out of their income, increase income through a better understanding of possible investments, and protect what they have through selecting appropriate insurance. Topics covered include budgeting and financial planning, federal income taxes, insurance, borrowing, and investment principles and strategies.",2012
22060,PRINCIPLES OF MICROECONOMICS ,ECON,MATH 10007 or one course from MATH 10023-49999; or ALEKS math upper-level minimum score of 30; or ALEKS math single assessment score of 45.,,"Principles and policies affecting prices, including factor incomes, under alternative market structures. Tools developed to examine social problems, including poverty, crime, pollution and international relations.",2012
22061,PRINCIPLES OF MACROECONOMICS ,ECON,ECON 22060.,,"Principles and policies affecting aggregate production, consumption, investment and government expenditures. Includes role of money, the banking system, inflation, unemployment and economic growth.",2012
32025,"MONEY, CREDIT AND BANKING ",ECON,ECON 22060 and 22061.,,"Organization of our money, credit and banking system principles and problems of monetary policy. Not open to students who have completed ECON 32030.",2012
32040,INTERMEDIATE MICROECONOMIC THEORY AND APPLICATIONS ,ECON,ECON 22060 and 22061.,,"The study of individual choices under conditions of relative scarcity, and their consequences for prices and the allocation of resources in the economic system. Develops the analytical and theoretical tools pertinent in determining how scarce resources are allocated among competing wants and demonstrates how these tools are used in real world applications.",2012
32041,INTERMEDIATE MACROECONOMIC THEORY AND POLICY ,ECON,ECON 22060 and 22061.,,"Analysis of how an economy such as the United States operates from an aggregate perspective. The determination for the level of income, employment, inflation, international trade and economic growth is analyzed. Discussion of monetary and fiscal policies.",2012
32050,APPLIED ECONOMETRICS ,ECON,MATH 11012 or MATH 12002; and ECON 22060 and 22061 and MIS 24056.,,Application of econometric methods such as regression analysis to a variety of economics questions.,2012
32070,LABOR PROBLEMS ,ECON,ECON 22060 and 22061.,,"Surveys of the major institutions, features and functioning of the labor market as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072.",2012
32075,INTRODUCTION TO INTERNATIONAL TRADE ,ECON,ECON 22061.,,"Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program.",2012
32082,INTRODUCTION TO MANAGERIAL ECONOMICS ,ECON,ECON 22060.,,"Combines economic theory and quantitative analysis to develop resource-allocation decision-making skills which enable managers to evaluate problems, identify possible solutions and finally implement and monitor the best alternative to accomplish their stated objectives. Covers such topics as supply and demand, consumer theory, production, costs, contracts, game theory, principal-agent problems, and the basic economic models of perfect competition, oligopoly, monopolistic, competition and monopoly. Cannot be taken by economics majors. Not open to students who have completed ECON 32040.",2012
32083,THE ECONOMICS OF POVERTY ,ECON,ECON 22060.,,Nature and causes of poverty in United States. Analysis of impact of poverty upon economy and study of measures both real and potential for alleviating it.,2012
32084,ECONOMICS OF THE ENVIRONMENT ,ECON,ECON 22060.,,"Examines economic theory of environmental and resource economics in a fashion that is understandable by students with varied backgrounds in economics. Emphasis on microeconomic theory and its application to environmental issues. Topics covered include ""market failure"" and its impact on the environment; cost benefit analysis; and input-output analysis. Designed for those interested in the environment or who may be planning careers in environmental or natural sciences.",2012
42065,PROBLEMS OF MONETARY AND FISCAL POLICY ,ECON,ECON 32041.,,"Analysis of objectives, techniques and economic effects of monetary and fiscal policies.",2012
42068,INDUSTRIAL ORGANIZATION AND PUBLIC POLICY ,ECON,ECON 32040.,,"Theoretical, empirical and critical examination of structure, operation and performance of industrial markets in American economy.",2012
42072,ECONOMICS OF LABOR MARKETS ,ECON,ECON 32040.,,"The economic analysis of the decisions of workers and firms in determination of wages and employment. Topics include labor supply decisions, marginal productivity theory, discrimination, demand for education, effects of trade unions, immigration and growing wage inequality.",2012
42075,INTERNATIONAL ECONOMIC RELATIONS ,ECON,ECON 22060 and 22061.,,"Principles, problems and policies of international economic relations with extensive references to the United States, Western Europe, Latin America and former communist countries. Covers international aspects of interdependency, cooperation and multinational institutions.",2012
42076,ECONOMIC DEVELOPMENT ,ECON,ECON 22060 and 22061.,,Analysis of nature of significance of barriers to and future potential for economic development of a nation. Special emphasis on theories and strategic factors pertaining to economic growth.,2012
