40093,VARIABLE TITLE WORKSHOP IN EDAD,EDAD,,,(Repeatable for credit),2012
50093,VARIABLE TITLE WORKSHOP IN EDUCATIONAL ADMINISTRATION,EDAD,Graduate standing.,,(Repeatable for credit)Variable title workshop in educational administration.,2012
60199,THESIS I ,EDAD,Graduate standing.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2012
60299,THESIS II ,EDAD,EDAD 60199. Graduate standing.,,Thesis students must continue registration each semester until all degree Requirements are met.,2012
66492,INTERNSHIP IN EDUCATIONAL ADMINISTRATION,EDAD,Graduate standing.,,(Repeatable for credit) A field-based internship requiring a separate project as designated by the program area faculty. Specific topics are outlined and shared at meetings prior to beginning internship. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school/agency before the first day of the semester in which student teaching/ internship will take place.,2012
66515,FACILITIES PLANNING AND ADMINISTRATION ,EDAD,Graduate standing.,,"Overview of facilities planning and administration, including architectural/ construction management, the educational program, restoration and maintenance.",2012
66517,ADMINISTRATION AND SUPERVISION OF SPECIAL EDUCATION ,EDAD,Graduate standing.,,"Administration of educational programs for exceptional children: improvement of teacher competencies; function of special education supervisors; and special education operations at a local, state and national level.",2012
66518,LAW AND SPECIAL EDUCATION ,EDAD,Graduate standing.,,"Constitutional, statutory and case law involving handicapped infants and students; special education teachers and administrators and parents are studied.",2012
66520,SCHOOL LAW FOR TEACHERS AND PRINCIPALS ,EDAD,Graduate standing.,,"Selected principles of constitutional, statutory case and common law affecting the administration of schools generally and Ohio schools specifically.",2012
66522,PUBLIC SCHOOL FINANCE AND ECONOMICS ,EDAD,EDAD 66526 and graduate standing.,,"Analysis of national, state and local problems of collection custody and expenditure of public school funds.",2012
66525,THE EDUCATIONAL PRINCIPALSHIP ,EDAD,EDAD 6/76526; 16 hrs of Ed Admin; graduate standing.,,"Organizing and administering elementary, middle level and secondary schools.",2012
66526,FUNDAMENTALS OF EDUCATIONAL ADMINISTRATION ,EDAD,Graduate standing.,,Examines theory and practice essential for administration. Skills and understanding are developed in theory goal setting staff development.,2012
66527,SCHOOL FINANCE FOR BUILDING ADMINISTRATORS ,EDAD,"Major in Educational Administration K-12 Leadership (EAKL), Higher Education and Student Personnel (EAHE) or Educational Administration-Higher Education (EDHE) and graduate standing.",,"Identification of the responsibilities of the school building administrator related to all financial operations in the school building; included are the budget process and development, student accounts, the purchase order process and fund raising and school groups. This course is a Requirement for the principal license and an elective course in EDAD.",2012
66528,THE SCHOOL BUSINESS MANAGER AND SCHOOL TREASURER ,EDAD,Graduate standing.,,"Identification and description of the roles, responsibilities and activities of the school Business Manager and the school Treasurer overview of the interface in school district operations.",2012
66529,LEADING FOR SOCIAL JUSTICE ,EDAD,graduate standing.,,"Centers on investigating a broad research agenda on leading for social justice within educational leadership. Provides a context for candidates to establish strong connections between what it means to lead and the primary concerns for learning and equity, which are associated with increased performance and effectiveness for American education. Candidates engage in concepts such as equity audits, border culture, hegemony, moral transformation and other concepts aligned with leading 21st century schools. Such concepts encourage school leaders to reconsider the influence of wider social, political, cultural and economic contexts in creating transformative and revolutionary schools.",2012
66531,INSTRUCTIONAL LEADERSHIP ,EDAD,graduate standing.,,"Focuses on the administrative role pertaining to the leadership, management, and evaluation of quality and effective school classroom instruction. Building administrators are responsible for providing the resource for effective instruction, which result in student learning. The key to effective instruction at any level requires a solid grounding in curriculum theory and design. Designed to provide the tools that administrators need to oversee the development, production, monitoring and evaluation of instructional methods and strategies.",2012
66533,CENTRAL OFFICE ADMINISTRATION: CURRICULUM AND PUPIL SERVICES ,EDAD,graduate standing.,,"Analyzes roles and responsibilities of central office personnel with an emphasis on curriculum, pupil, and support services as impacted by current educational policy, and practice and focused on impacting the achievement of all students.",2012
66534,THE SUPERINTENDENCY ,EDAD,EDAD 6/ 76526. Graduate standing.,,Focuses on major responsibilities of board of education and superintendent.,2012
66536,THE ADMINISTRATOR'S ROLE IN CURRICULUM DEVELOPMENT ,EDAD,"major in Educational Administration -K-12 Leadership (EAKL), Higher Education and Student Personnel (EAHE) or Educational Administration-Higher Education (EDHE) and graduate standing.",,"Focusing on the administrative role pertaining to the development, management and evaluation of a quality and effective district school classroom curriculum.",2012
66537,THE PRINCIPAL AS EDUCATIONAL LEADER ,EDAD,EDAD6/76526. Graduate standing.,,Focus on the role of the principal as a leader for understanding the societal and cultural context of education; teaching and learning processes; ethical and moral issues for administrators; and stakeholder empowerment for school improvement.,2012
66538,"ADMINISTRATION OF SCHOOL CULTURE, POLITICS AND REFORMS ",EDAD,graduate standing.,,"Focuses on administrative roles in assessing, leading, developing and reforming school culture. Centers on building and district administrators, who are responsible for providing the cultural frameworks and context of school culture through politics and reform efforts. The key to effective school reform requires a solid understanding of micropolitics as well as policy and practice at a state and national level. Designed to provide educational leaders with tools to assess school and district-wide cultural practices and norms as well as the skill sets to disrupt and change them.",2012
66540,WOMEN IN LEADERSHIP ,EDAD,Graduate standing.,,An interactive study of women's development and its effect on their dispositions toward leadership. Provides theoretical contract to traditional management theory.,2012
66542,PRINCIPLES AND TECHNIQUES OF SUPERVISION ,EDAD,Graduate standing.,,"Principles and techniques needed by administrative specialists and supervisors and given. Research findings include changing human relations, group processes, communications, observations and conferencing skills.",2012
66543,SCHOOL ADMINISTRATION IN URBAN SETTINGS ,EDAD,Graduate standing.,,"This course is designed to provide students with opportunities to discuss and investigate the unique challenges of leading inner-city schools. Issues of focus include transportation, staffing, extracurricular support for students and more.",2012
66544,COMMUNITY RELATIONS AND COMMUNICATION SKILLS ,EDAD,graduate standing.,,"Centers on encouraging school leaders to consider the way in which children’s learning is influenced by behaviors and perspectives of family members, school personnel and members of the larger community. Educators and school leaders have much to gain by deepening their understanding of how students learn from their family and cultural backgrounds, which fosters more inclusive school practices. Candidates investigate the influence of such collaborations and their role in upholding the ethical responsibility to promote children’s welfare.",2012
66591,SEMINAR IN EDUCATIONAL ADMINISTRATION,EDAD,Graduate standing.,,(Repeatable for credit)Seminar in educational administration.,2012
