10010,FASHION FUNDAMENTALS ,FDM,"fashion design (FD), fashion merchandising (FM) or pre-fashion design and merchandising (PFDM) major.",,"Introduction to the global fashion industry. Analysis of the business of fashion how it is conceived marketed and sold. Overview of important resources, companies and personnel who impact the industry.",2012
10020,FASHION VISUALS ,FDM,fashion design (FD) or fashion merchandising (FM) major.,,"The study of fashion information, research sources, color theory, two-and three-dimensional design and visual presentation formats as they apply to the fashion industry.",2012
10030,FASHION FABRICS I ,FDM,fashion design or fashion merchandising major.,,"Study of fabrics, focusing on differentiating between fibers, fabric construction and fabric names. The student will study fabric properties and how they relate to fabric end usage.",2012
10050,INTRODUCTION TO FASHION TECHNOLOGY ,FDM,fashion design (FD) or fashion merchandising (FM) major.,,"Introduces students to the fundamental concepts, procedures and techniques used in digital imaging software and information database software. A survey of current and emerging technologies used in fashion design, merchandising and production contexts is presented, discussed and applied.",2012
10140,FOUNDATIONS OF FASHION DRAWING ,FDM,Fashion design major.,,"Introduction to fashion drawing. Concentration on communicating through drawing the fashion figures and technical flats, accurate garment proportion and construction.",2012
15043,WORKROOM TECHNIQUES I ,FDM,Fashion design or fashion merchandising major. Prerequisite: fashion design (FD) major.,,Introduction to basic construction skills using apparel workroom methods and industrial sewing equipment.,2012
15044,WORKROOM TECHNIQUES II ,FDM,minimum grade of C (2.000) in FDM 15043.,,Continued study of basic construction skills using apparel workroom methods and industrial sewing equipment. Introduction to garment fit and alterations.,2012
15055,BASICS OF APPAREL CONSTRUCTION ,FDM,fashion design (FD) major.,,Introduction to sewing techniques and application processes using industrial sewing machines and other related equipment in basic garment construction. Development of fundamental patternmaking skills.,2012
20013,HISTORY OF COSTUME ,FDM,HIST 11050 or HIST 11051 or ARTH 22006 or ARTH 22007.,,"Chronological study and research of historic costume from the origin of clothing through the French revolutionary era, 19th and 20th century designers, and the influence on contemporary fashion.",2012
20020,FASHION MERCHANDISING PRESENTATIONS ,FDM,minimum grade of C (2.000) in FDM 10010 and fashion merchandising major.,,"Study of fashion information, research sources and visual presentation formats used in the fashion industry.",2012
20030,FASHION APPAREL ANALYSIS ,FDM,minimum grade of C (2.000) in FDM 10030 and fashion merchandising (FM) major.,,Analysis and evaluation of fashion apparel; quality standards of ready-to-wear apparel and factors that influence the aesthetic and functional performance of the end product.,2012
20040,FASHION FABRICS II ,FDM,minimum grade of C (2.000) in FDM 10030 and fashion design (FD) major.,,"Continued study of fabrics, focusing on analyzing fabrics in detail. Also included will be the study of laces, trims, high performance fabrics and current events in the textile industry, including legislation.",2012
20050,FASHION TECHNOLOGY APPLICATIONS ,FDM,minimum grade of C (2.000) in FDM 10050.,,"A continuation of content related to technology within the fashion industry. Pattern manipulation, basic technical packages, garment measuring specs, print design and computerized fashion illustration is addressed with the use of industry-specific and off-the-shelf software packages.",2012
20121,FASHION DRAWING I ,FDM,minimum grade of C (2.000) in FDM 10020 and FDM 10140.,FDM 20141.,Advanced study of design illustration techniques as applied to the fashion figure through the use of live model drawing. Concentration on fabric rendering and drape as illustrated on the fashion figure. Introduction to technical flats used for illustrating garment construction.,2012
