11040,EARTH DYNAMICS ,GEOL,,,"Application of basic concepts and theories of Earth science to the interpretation of Earth materials and dynamic processes (erosion, sedimentation, volcanism, continental drift).",2012
11041,EARTH DYNAMICS LABORATORY ,GEOL,,GEOL 11040.,"Laboratory study of minerals, rocks, aerial photos, topographic maps and geologic maps. Pre- or corequisite: GEOL 11040.",2012
11042,EARTH HISTORY ,GEOL,,,"Application of basic concepts and theories of Earth science to the interpretation of the origin and evolution of the solar system, the Earth, the structures of the crust and life.",2012
11043,EARTH HISTORY LABORATORY ,GEOL,,GEOL 11042.,"Laboratory study of fossils, sedimentary rocks and geologic maps in the framework of interpreting Earth history. Pre- or corequisite: GEOL 11042.",2012
21062,ENVIRONMENTAL GEOLOGY ,GEOL,,,"Application of geology to environmental problems, including natural resource extraction, water supply, pollution, waste disposal, landslides, floods and land use planning. Field trips. Lecture three hours weekly.",2012
21080,OCEANOGRAPHY ,GEOL,,,"Introduction to geological, physical, chemical and biological nature of the oceans.",2012
22000,INTRODUCTORY GEOLOGY SEMINAR ,GEOL,,,"Provides new Geology and Earth Science majors with an overview of career paths and opportunities within these majors. Components of the course include a journal club, informational presentations by geoscientists in industry, government, and academia, and skills training needed for the major. Required overnight field trip.",2012
23063,EARTH MATERIALS I ,GEOL,GEOL 11040 and GEOL 11041; and pre- or corequisite CHEM 10060.,CHEM 10060.,"Occurrence, associations, characteristics, crystallography and crystal chemistry of common minerals. Laboratory identification emphasizing physical properties. Lecture three hours, lab two hours weekly. Required field trip.",2012
31070,EARTH MATERIALS II ,GEOL,GEOL 23063.,,"Occurrence and origin of igneous, sedimentary and metamorphic rocks. Laboratory identification, description and classification of hand specimens. Lecture three hours, lab two hours weekly. Required field trip.",2012
31080,STRUCTURAL GEOLOGY ,GEOL,,,Mechanical principles of rock deformation. Structures in sedimentary igneous and metamorphic rocks. Lecture three hours lab two hours weekly. Required field trip.,2012
32066,GEOMORPHOLOGY ,GEOL,GEOL 11040 and GEOL 11041.,,"Earth's surface features as functions of geological structures, processes and time. Landform analysis using topographic maps and some stereographic aerial photos. Lecture three hours, lab two hours weekly. Trigonometry recommended.",2012
34061,INVERTEBRATE PALEONTOLOGY ,GEOL,GEOL 11042 and GEOL 11043; and either BSCI 10002 or 10110.,,"Concepts applied to study of commonly preserved invertebrate organisms; identification of common North American fossils. Lecture three hours, lab two hours weekly. Required field trip.",2012
40095,SELECTED TOPICS IN GEOLOGY,GEOL,20 hours of geology courses.,,(Repeatable for credit) Selected topics presented by visiting professors or one-time offerings presented by regular faculty.,2012
40096,INDIVIDUAL INVESTIGATION IN GEOLOGY,GEOL,Special approval.,,"(Repeatable for credit) Directed field, laboratory and/or library research. Written report required. Open on special approval of faculty member directing work. Only 3 hours will be applied toward baccalaureate degree. Does not count toward geology major.",2012
41025,GENERAL GEOPHYSICS ,GEOL,GEOL 31070 and GEOL 31080 and MATH 12002; and PHY 13001 or PHY 23101.,,"Physics of Earth, seismology, geomagnetism, heat flow, radioactivity, geochronology, geotectonic models. Required field trip.",2012
41073,GEOLOGY OF OHIO ,GEOL,Junior standing.,,"Minerals, rocks, fossils, structural geology, physiography, environmental geology and geologic resources. Required field trips. Does not satisfy Requirements of geology major.",2012
41077,GEOLOGY OF THE NATIONAL PARKS ,GEOL,Junior standing.,,"Introduction to the geology of selected major national parks, emphasizing basic geological principles and the processes which have produced the spectacular scenery, rocks and fossils in each park. Not counted toward Requirements for a major in geology.",2012
41079,ALL ABOUT DINOSAURS ,GEOL,,,"Dinosaurs (and some relatives) and their world, emphasizing how to interpret evidence concerning their history, biology and evolutionary relationships. Does not satisfy Requirements of geology major.",2012
41080,TECTONICS AND OROGENY ,GEOL,GEOL 31080.,,Introduces advanced concepts of plate tectonics and mountain building with emphasis on Western United States and Appalachians. Required field trip to New England.,2012
41082,ADVANCED STRUCTURAL GEOLOGY ,GEOL,GEOL 31080.,,"Theoretical and applied studies in structural geology, including mechanical, mathematical, model and field investigations. Required field trip.",2012
41092,SUMMER FIELD CAMP ,GEOL,GEOL 31070 and GEOL 31080.,,"Five weeks devoted to geologic mapping and solving structural and stratigraphic problems in Black Hills, S.D. Special fee on actual cost basis.",2012
42030,REMOTE SENSING ,GEOL,,,Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are emphasized.,2012
42035,SCIENTIFIC METHODS IN GEOLOGY ,GEOL,,,"Applying scientific methods to geologic data in the field and lab; models and sampling procedures. Collecting and analyzing data. Formulating and testing hypotheses. Provides background necessary for upper-level geology courses for majors. Lecture two hours, lab two hours weekly.",2012
42067,INTRODUCTORY HYDROGEOLOGY ,GEOL,MATH 12002; and GEOL 31070 and GEOL 32066.,,Occurrence of ground water in geologic materials; emphasizing utilization conservation and management of ground water resources. Lecture two hours lab two hours weekly.,2012
42068,CONTAMINANT HYDROLOGY AND HYDROGEOLOGY ,GEOL,GEOL 42067 and CHEM 10060 and CHEM 10061 and CHEM 10062 and CHEM 10063.,,An introduction to the basic principles of chemical and physical behavior of contaminants introduced by humans into the environment. Students are expected to understand concepts and work practical quantitative problems.,2012
42069,HYDROGEOCHEMISTRY ,GEOL,10 hours of chemistry.,,Processes and evolution of the chemical composition of water in the natural hydrologic cycle. Methods of hydrochemical interpretation applied to ground water and pollution problems. Lecture three hours weekly.,2012
42074,ENVIRONMENTAL CORE AND WELL LOGGING ,GEOL,GEOL 31070.,,"Examination of subsurface processes and the distribution of stratigraphic layers using core and well logging techniques based on analysis of physical properties of sediment, rock and pore fluids. Applications to paleoclimate, hydrogeology, engineering geology, oil and gas exploration and environmental remediation.",2012
42078,ENGINEERING GEOLOGY ,GEOL,Geology (GEOL) or Earth Science (ESCI) major with junior standing.,,"Engineering properties of soils and rocks. Site evaluation for building foundations, dams, tunnels, and highways. Slope stability. Lecture three hours and lab two hours weekly.",2012
43040,PRINCIPLES OF GEOCHEMISTRY ,GEOL,GEOL 31070; and MATH 12002; and CHEM 10060 and CHEM 10061.,,Introduction to chemical thermodynamics and its applications in solving geochemical problems. Distributions of elements and isotopes in the earth and laws governing these distributions.,2012
43042,ENVIRONMENTAL GEOCHEMISTRY ,GEOL,CHEM 10060 and CHEM 10061.,,"Explores chemical processes that influence the natural environment, including anthropogenic impacts. Topics include atmospheric chemistry and air pollution, energy and climate change, toxic organic compounds, water chemistry and water pollution, metals, soils, sediments and waste disposal. Environmental problem solving using steady state and non-steady state box models, thermodynamics and energy transfer, and chemical reactions and equilibria is emphasized. Required half-day field trip.",2012
43044,ENVIRONMENTAL ISOTOPES ,GEOL,CHEM 10060 and CHEM 10061.,,"Deals with the fundamentals of isotope geochemistry and the application of primarily light stable isotopes (H, O, C, N) to earth system processes (involving the hydrosphere, biosphere, and upper geosphere).",2012
43066,OPTICAL PETROGRAPHY ,GEOL,GEOL 31070.,,"Theory of optical crystallography and the microscopic examination and identification of igneous, sedimentary and metamorphic rocks in thin section. Lecture two hours, lab two hours weekly.",2012
44052,GLACIERS AND GLACIATION ,GEOL,GEOG 21062 or GEOL 11040.,,"Examination of how glacial ice masses change the shape of the earth's surface, how they are integral to climate and sea level change, and how they pose high risk hazards.",2012
44070,SEDIMENTOLOGY AND STRATIGRAPHY ,GEOL,GEOL 31070 and GEOL 34061.,,Students are introduced to the principles regarding the systematics of sedimentary rocks and the relationships between geologic formations at various spatial and temporal scales. Lectures are integrated with readings from the open literature and required labs and field trips.,2012
44074,PALEOCEANOGRAPHY ,GEOL,,,"A broad spectrum of geological approaches, including paleontology, geochemistry and stratigraphy is employed to interpret the history of earth's oceans.",2012
50095,SELECTED TOPICS IN GEOLOGY,GEOL,Graduate standing.,,(Repeatable for credit)Selected topics presented by visiting professors or one-time offerings presented by regular faculty.,2012
51025,GENERAL GEOPHYSICS ,GEOL,graduate standing.,,"Physics of Earth. Seismology, geomagnetism; heat flow, radioactivity, geochronology, gravity and isostasy, geotectonic models. Lecture 3 hours weekly. Required field trip.",2012
51073,GEOLOGY OF OHIO ,GEOL,Graduate standing.,,"Minerals, rocks, fossils, structural geology, physiography, environmental geology, geologic resources. Required field trips. Does not satisfy Requirements for major in geology.",2012
51077,GEOLOGY OF THE NATIONAL PARKS ,GEOL,Graduate standing.,,"Introduction to the geology of selected major national parks, emphasizing basic geological principles and the processes which have produced the spectacular scenery, rocks and fossils in each park. Not counted toward Requirements for a major in geology.",2012
51079,ALL ABOUT DINOSAURS ,GEOL,Graduate standing.,,"Dinosaurs (and some relatives) and their world, emphasizing how to interpret evidence concerning their history, biology and evolutionary relationships. Does not satisfy Requirements of geology major.",2012
51080,TECTONICS AND OROGENY ,GEOL,graduate standing.,,Introduces advanced concepts of plate tectonics and mountain building with emphasis on Western United States and Appalachians. Required field trip to New England.,2012
51082,ADVANCED STRUCTURAL GEOLOGY ,GEOL,graduate standing.,,"Theoretical and applied studies in structural geology, including mechanical, mathematical, model and field investigations.",2012
51092,SUMMER FIELD CAMP,GEOL,graduate standing.,,"(Repeatable for credit) Five weeks devoted to geologic mapping and solving structural and stratigraphic problems in Black Hills, S.D. Special fee on actual cost basis.",2012
52030,REMOTE SENSING ,GEOL,graduate standing.,,Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are emphasized.,2012
