15201,ELEMENTARY ITALIAN I ,ITAL,,,An introduction to the Italian language in the context of Italian culture.,2012
35331,EARLY ITALIAN LITERATURE ,ITAL,ITAL 35211.,,A survey of Italian literature from its medieval origins to the Baroque period.,2012
35332,RECENT ITALIAN LITERATURE ,ITAL,ITAL 35211.,,This course surveys the major movements and authors from the Baroque period through the 20th century.,2012
35597,COLLOQUIUM,ITAL,Permission.,,(Repeatable for credit) Variable topic course deals with single literary theme in Italian literature or a single author. May be offered in Italian or in English translation.,2012
45096,INDIVIDUAL INVESTIGATION,ITAL,ITAL 25202 and junior standing and special approval.,,"(Repeatable for a total of 6 credit hours)Allows the advanced, serious student to carry out research study project on Italian literature, language or culture. Prior approval of supervising faculty member department required.",2012
15202,ELEMENTARY ITALIAN II ,ITAL,ITAL 15201.,,A continuation of the introduction to the Italian language in the context of Italian culture.,2012
15204,BASIC CONVERSATIONAL ITALIAN I ,ITAL,pecial approval.,,Exposure to basic grammar and to current Italian useful to travelers. Not applicable to fulfillment of foreign language Requirement.,2012
15205,BASIC CONVERSATIONAL ITALIAN II ,ITAL,ITAL 15204.,,Continuation of ITAL 15204.,2012
25201,INTERMEDIATE ITALIAN I ,ITAL,ITAL 15202.,,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials.",2012
25202,INTERMEDIATE ITALIAN II ,ITAL,ITAL 25201.,,Continuation of ITAL 25201.,2012
35211,ITALIAN COMPOSITION AND CONVERSATION I ,ITAL,ITAL 25202.,,Study and practice of written and oral Italian with emphasis on acquisition of written and oral proficiency in the language.,2012
