19525,EDUCATIONAL TECHNOLOGY ,ITEC,CULT 29535.,,"Develops skills associated with identifying, designing, utilizing, and evaluating educational technologies as instructional resources in the classroom, to enhance both teaching and learning.",2012
40093,VARIABLE TITLE WORKSHOP IN EDUCATIONAL MEDIA,ITEC,Permission.,,(Repeatable for credit)Variable topic workshop designed to respond to curriculum trends and issues and specialized needs. S u graded.,2012
47411,DESIGNING VISUALS FOR INSTRUCTION ,ITEC,,,"Investigation of historical, cultural, aesthetic dimensions of instructional visual design. Focus on design of instructional visuals across media including print, video, computer-based technology. Presentations lab activities.",2012
47413,DIGITAL VIDEO IN EDUCATION ,ITEC,,,"Design/production of instructional TV programming. Planning and scripting techniques. Hands-on experience with TV equipment. Students will digitize video footage, learn nonlinear editing techniques, export productions to tape/CD.",2012
47427,TECHNOLOGY AND LEARNING ,ITEC,,,Overview of technology used in education. Focuses on implementing and facilitating learner- centered curriculum with computer technology. Students develop web-based instructional materials.,2012
47430,COMPUTER APPLICATIONS IN EDUCATION ,ITEC,,,Preparation for use of computers effectively in variety of educational settings. Students should have some expertise with computers. Focus on advanced applications in education. Macintosh and Windows.,2012
47496,INDIVIDUAL INVESTIGATION IN EDUCATIONAL MEDIA,ITEC,,,(Repeatable for credit)Directed independent reading and/or research of special interest or need in student's program. Planned with and directed by a faculty member. 1.000 to,2012
50093,VARIABLE TITLE WORKSHOP IN EDUCATIONAL MEDIA,ITEC,Grading standing and special approval.,,(Repeatable for credit),2012
57400,SELECTION AND UTILIZATION OF EDUCATIONAL MEDIA ,ITEC,Graduate standing.,,Discusses principles and techniques in the selection and utilization of media for instructional purposes.,2012
57402,ORGANIZATION AND ADMINISTRATION OF EDUCATIONAL MEDIA PROGRAMS AND CENTERS ,ITEC,Graduate standing.,,"Examines the planning, organizing, administering and evaluating of educational media programs and centers.",2012
57411,DESIGNING VISUALS FOR INSTRUCTION ,ITEC,Graduate standing.,,"Investigation of historical, cultural, aesthetic dimensions of instructional visual design. Focus on design of instructional visuals across media, including print, video, computer-based technology. Presentations, lab activities.",2012
57413,DIGITAL VIDEO IN EDUCATION ,ITEC,Graduate standing.,,"Design/production of instructional TV programming. Planning and scripting techniques. Hands-on experience with TV equipment. Students will digitize video footage, learn nonlinear editing techniques, export productions to tape/cd.",2012
57427,TECHNOLOGY AND LEARNING ,ITEC,Graduate standing.,,Overview of technology used in education. Focuses on implementing and facilitating learner- centered curriculum with computer technology. Students develop web-based instructional materials.,2012
57430,COMPUTER APPLICATIONS IN EDUCATION ,ITEC,Graduate standing.,,Preparation for use of computers effectively in variety of educational settings. Students should have some expertise with computers. Focus on advanced applications in education. Macintosh and Windows.,2012
60199,THESIS I,ITEC,Grading standing and special approval.,,(Repeatable for credit) Master of Arts students must register for at least one semester of Thesis I under the supervision of an adviser.,2012
60299,THESIS II,ITEC,ITEC 60199 and graduate standing.,,"(Repeatable for credit) If 6 credits of Thesis I have been completed, M.A. students must continue to register each semester under Thesis II until all degree Requirements are met.",2012
67403,INSTRUCTIONAL DESIGN ,ITEC,graduate standing.,,Enables students to design and develop instructional systems and materials using a systematic and research- and theory-based instructional design model.,2012
67410,SIMULATION-GAMES IN EDUCATION ,ITEC,Graduate standing and special approval.,,Provides students with opportunities to explore simulation and games as a strategy for learning. Experiences in both group role-playing simulations and computer simulations will be included.,2012
67412,INSTRUCTIONAL TECHNOLOGY IN SECONDARY SCHOOLS ,ITEC,Graduate standing.,,This course provides activities appropriate to develop the skills necessary for using educational technology in the secondary school setting. Students will develop an understanding of how technology is used to solve a variety of problems in secondary school teaching.,2012
67417,ADVANCED INSTRUCTIONAL DESIGN ,ITEC,graduate standing.,,Compares selected models of instructional design and discusses their advantages and disadvantages for designing instruction.,2012
67420,RESEARCHING CURRENT ISSUES IN INSTRUCTIONAL TECHNOLOGY ,ITEC,Graduate standing.,,"Exploration of significant current issues in the field of instructional technology , including latest research findings, use of newest technologies, instructional design issues, present state of the field and future directions.",2012
67425,MANAGING TECHNOLOGICAL CHANGE ,ITEC,Graduate standing.,,"Analysis and evaluation of change process are explored, particularly as they relate to use of instructional technology. Management role for facilitating planned change as studied through communication and management models.",2012
67426,NETWORKING BASIC FOR EDUCATORS ,ITEC,graduate standing.,,"Provides an overview of networking, including client hardware and software typically found in school settings. Topics include networking design, protocols, software and hardware, wireless networking, security and acceptable use, management strategies, desktop client and server configurations, and professional issues for network administers. Intended for those seeking licensure as K-12 computer/technology coordinators.",2012
67432,DESIGNING MULTIMEDIA FOR INSTRUCTION ,ITEC,Graduate standing.,,"Focuses on the design, production and evaluation of computer-assisted instructional materials. Instructional design and research are applied to the development of software.",2012
67434,EMERGING TECHNOLOGIES ,ITEC,Graduate standing.,,"Focus on theoretical foundations, design and development of instructional delivery systems employing leading-edge or emergent technologies. Specific technologies include multimedia, interactive Web-based instruction. Presentations, lab.",2012
