18000,INTRODUCTION TO PARALEGAL STUDIES ,LEGT,,,"An overview of the legal system and the role of a paralegal professional. Includes legal terminology, types of laws, research, litigation, interviewing and office management. Course offered at the East Liverpool campus only.",2012
18001,LEGAL RESEARCH AND WRITING ,LEGT,LEGT 18000.,,In-depth analysis of the legal research process and development of legal writing skills; opportunities to utilize research and writing skills are integrated into the course. Course offered at the East Liverpool campus only.,2012
18002,CORPORATE LAW ,LEGT,LEGT 18001.,,Introduction to corporation law and its application to client variations in practice. Course offered at the East Liverpool campus only.,2012
18003,FAMILY LAW AND PROCEDURE ,LEGT,LEGT 18000.,,"Designed to acquaint the student with family law substance and practice. Included: definitions, terminology, topical areas and the philosophy underlying family law practice.",2012
18004,TORT CLAIMS FOR PARALEGALS ,LEGT,LEGT 18000.,,"Focus on tort claims management for paralegals. Topics include injuries to person and property, negligence, strict and products liability, defenses, processing insurance claims and settlements.",2012
18005,EMPLOYMENT REGULATIONS ,LEGT,LEGT 18000.,,"Introduction to the employment environment and various regulations pertaining to the workplace. Wage and hour statutes, wrongful discharge statutes, ERISA, Title VII, COBRS. Course offered at the East Liverpool campus only.",2012
21092,INTERNSHIP,LEGT,LEGT 28006 and special approval.,LEGT 28008.,(Repeatable for credit)Supervised field experience. This experience requires a minimum of 14 hours per week for unpaid work experiences or 20 hours per week for employment with pay. Course offered at the East Liverpool campus only.,2012
27091,SPECIAL TOPICS IN PARALEGAL STUDIES,LEGT,LEGT 18000. 2.000 or,,(Repeatable for a maximum of 6 credit hours)Intensive analysis of issues significant and current in the field which are not covered in regular courses.,2012
28004,PRINCIPLES AND PRACTICE OF LITIGATION ,LEGT,LEGT 18000.,,"Introduction to the rules of civil procedure, statutes of limitation and discovery. Includes the role of the legal assistant in preparing for litigation.",2012
28005,CIVIL LITIGATION ,LEGT,LEGT 28004.,,"Role of paralegals in preparation for motions, trials and appeals. Specialized practices such as personal injury, medical malpractice, product and environmental liability.",2012
28006,ADVANCED LEGAL RESEARCH AND WRITING ,LEGT,LEGT 18001.,,"Introduction to case analysis and preparation of argumentative memorandum. Including writing of factual memorandum, file summaries and advocacy letters. Course offered at the East Liverpool campus only.",2012
28007,ESTATE AND PROBATE ADMINISTRATION ,LEGT,LEGT 28006.,,"A study of legal principles applicable to wills, organization and jurisdiction of probate court, estate administration in probate, and tax considerations in estate administration. Course offered at the East Liverpool campus only.",2012
28008,PROFESSIONAL DEVELOPMENT FOR PARALEGALS ,LEGT,LEGT 18001 and permission.,,Exploration and discussion of the paralegal field. Employment opportunities and responsibilities. Professional organizations and business etiquette.,2012
