24053,INTRODUCTION TO COMPUTER APPLICATIONS,MIS,,,"(Equivalent to COMT 11000) Develop competency in the operation of contemporary software and hardware applications. To develop an appreciation for the contribution of computers, software and the Internet to society.",2012
24056,FUNDAMENTALS OF BUSINESS STATISTICS,MIS,MATH 11010 or MATH 11012 or MATH 12002.,,(Equivalent to BMRT 21004) Introduction to concepts in statistical methods and their applications to real world problems. Examines both the theoretical and practical side of the different methods.,2012
24065,WEB PROGRAMMING ,MIS,MIS 24053.,,Principles of visual design as applied to Web site interface development. The course exposes students to the basics of programming and relational database and how to develop a Web-based database driven interactive information system.,2012
24093,VARIABLE TITLE WORKSHOP IN MANAGEMENT AND INFORMATION SYSTEMS,MIS,Permission.,,(Repeatable for credit)Special workshop in management and information systems. Credits depend on scope of project.,2012
24163,PRINCIPLES OF MANAGEMENT,MIS,minimum sophomore standing.,,"(Equivalent to BMRT 11009) Introductory course in management and organizational design. The leading contributions in the area are reviewed and practical implications are developed. The course covers the principles that most management professors have come to expect in an introductory course: planning, organizing, leading, and controlling. In addition, the students need to be aware of critical issues managers must be aware of to succeed: diversity, globalization, ethics, technology, among them. The course serves as an introduction to many upper level business courses.",2012
34032,DATA AND FILE TECHNOLOGY ,MIS,MIS 24060.,,An introduction to file architecture and data base management systems. The application of these technologies is detailed.,2012
34036,ENTERPRISE SYSTEMS ,MIS,minimum cumulative 2.500 GPA; and MIS 24053 with a minimum C (2.000) grade; and MIS 24065.,,"Introduction to the structure and use of Enterprise Computer Systems. Course topics include Networking, Telephony and VoIP, Mainframe and ClientServer, Virtualization, Database, Security, Collaboration and Social Networking and Datacenter Operations.",2012
34045,SMALL SYSTEMS TECHNOLOGY ,MIS,MIS 24060.,,An examination of the role of small computer systems within an organization's information systems environment.,2012
34053,DATA INTEGRATION ,MIS,MIS 24060; not open to computer information systems (CIS) majors.,,This course mixes concepts of data and information with hands-on applications with popular business software and the migration of the information to the Internet as well as Intranets. This course is only open to CIS minors. CIS majors will not receive credit.,2012
34054,USING INFORMATION SYSTEMS FOR SOLVING BUSINESS PROBLEMS ,MIS,Cumulative 2.500 GPA; and MIS 24053 or COMT 11000. Course not open to computer information systems (CIS) majors.,,Examine key concepts about information systems that are relevant for business managers. The focus will be on promoting an understanding of the use of IS in solving business problems. There will also be hands-on assignments.,2012
34055,COMPUTER DECISION MODELING ,MIS,Cumulative 2.500 GPA; and MIS 24053 or COMT 11000; and MIS 24056 or MATH 10041 or BMRT 21004. Course not open to computer information systems (CIS) majors.,,"Introduces students to the scientific decision-making tools of operations research and management science, and also to the use of spreadsheet modeling for problem formulation and solution without the need for mathematics. The concepts of modeling and better decision making are stressed along with illustrations from the various functional areas of business.",2012
34059,SERVICE OPERATIONS MANAGEMENT ,MIS,Cumulative 2.500 GPA and MIS 34060.,,"Provide students with the concepts and tools necessary to effectively manage service operations and to prepare students for management opportunities in service firms that represent the fastest-growing sector of the economy. The service management will be presented from an integrated viewpoint with a focus on customer satisfaction. The course materials are organized around four modules (1) understanding services (2) designing the service enterprise, (3) managing service operations and (4) toward world class-service.",2012
34060,OPERATIONS MANAGEMENT ,MIS,MIS 24053 or COMT 11000; and MIS 24056 or MATH 10041 or BMRT 21004.,,"A survey course in operations management that covers the managerial concepts and the quantitative tools used in the design, planning operation and control of operations systems.",2012
34064,MANUFACTURING RESOURCE PLANNING ,MIS,Cumulative 2.500 GPA; and MIS 34060.,,"Introduce students to the basic tools operations managers use to inform their decisions on a daily basis. The course involves hands-on coverage of manufacturing resource planning tools, including forecasting and master production schedules, bill of materials structuring, order entry and purchasing, capacity Requirements planning, routing, costing, customer service, shipping, invoicing and using an enterprise resource planning (ERP) software.",2012
34065,QUALITY ASSURANCE ,MIS,Cumulative 2.500 GPA; and MIS 34060.,,"Introduction to importance of quality assurance and tools used to accomplish better quality in goods and services. Topics TQM, Six Sigma, quality philosophies, sampling plans and statistical process control, ISO, quality competition and awards.",2012
34068,SYSTEMS ANALYSIS AND DESIGN ,MIS,minimum cumulative 2.500 GPA; and MIS 24053 with a minimum grade of C (2.000); and MIS 24065.,,"This is an introductory course in Systems Analysis and Design. Students will be presented with the concepts, techniques, and methodologies that are required for the successful development of information systems. Application of methods and concepts to real-world problems will be emphasized.",2012
34070,PROGRAMMING THEORY AND APPLICATIONS ,MIS,minimum cumulative 2.500 GPA; and MIS 24053 with a minimum C (2.000) grade; and MIS 24065.,,Programming in a strongly-typed language environment with an emphasis on problem-solving.,2012
34080,COMPUTER PROGRAMMING FOR BUSINESS I ,MIS,MIS 34070.,,"Introduces a programming language currently used in business and industry for data processing, decision making and other information systems applications.",2012
34092,PRACTICUM IN CAREER DEVELOPMENT ,MIS,minimum 2.500 cumulative GPA; and junior standing.,,"In-depth training and development course designed to prepare students for resume presentation, job search, interviewing, participation in the internship and career launching.",2012
34161,MANAGERIAL AND TECHNOLOGICAL ASPECTS OF HEALTHCARE SYSTEMS MANAGEMENT ,MIS,,,"Introduce the main components of health care information technology, with emphasis on the components that distinguish the health care delivery system from other business enterprises. Pepares students as clinical managers and consultants who must rely upon or manage information technology to accomplish their objectives.",2012
34162,MANAGING HEALTHCARE SYSTEMS OPERATIONS ,MIS,,,"Operational process management, cost-control and productivity is critical to cost-effective healthcare. Covers topics in improving operations such as patient flow, quality (concepts and mechanics) and process improvement. Students become familiar with methods and resources for implementing change in a health care setting, such as a hospital or outpatient clinic. Provides skills to assess current hospital operations and to identify the appropriate tools to address various functional areas, useful for managers, consultants, clinical providers and others. Process improvement methods such as lean thinking, six sigma, statistical tools, flowcharting, queuing models and other tools are covered. Health care settings beyond the hospital, such as outpatient clinics, are included.",2012
34163,INTRODUCTION TO HEALTHCARE SYSTEMS MANAGEMENT ,MIS,,,"Provides an overview of the management, economic and policy issues facing the healthcare, pharmaceutical, biotechnology and medical device industries. The course perspective is global, with emphasis on the U.S. as the largest and most profitable market.",2012
34165,DYNAMICS OF LEADERSHIP ,MIS,MIS 24163 or BMRT 11009.,,"This course discusses management and leadership concepts and does so by blending theory and practice. Cases studies, practical application approaches, personal assessment and opportunities to develop individual and group leadership skills are possible. In addition, many organizational behavior concepts are blended throughout the course. Students that have already passed MIS 34175 will not receive graduation credit for MIS 34165.",2012
34175,LEARNING TO LEAD ,MIS,pecial approval.,,"This is a hands-on learning and leadership course. Classroom time occurs over 4 days at a residential camp before the semester begins. Students learn about leadership from professors, experts in the field, and each other through interactive discussions and activities. During the semester students continue their leadership development working with a personal mentor, and practice their skills through community service projects. Students that have already passed MIS 34165 will not receive graduation credit for MIS 34175.",2012
34180,HUMAN RESOURCE MANAGEMENT ,MIS,Cumulative 2.500 GPA; and MIS 24163 or BMRT 11009.,,"Focuses on the importance of the management of human resources for any organization, its employees, customers, shareholders, and the community where it is located. The topic helps students understand the important issues that derive from managing people at work and the changing environment organizations face. Students will learn the integral role human resources management plays to the success or failure of an organization. Both practical and theoretical perspectives are presented.",2012
