11110,MUSIC FUNDAMENTALS ,MUS,,,"Introduction to the pitch and rhythmic aspects of music. Emphasis on aural skills and music notation. Prepares students for MUS11111, Music Rudiments. No credit toward graduation for music majors or minors.",2012
11111,MUSIC RUDIMENTS ,MUS,"Music Theory Placement Test, score of 01.",,Introduction to the pitch and rhythmic aspects of music. Emphasis on aural/oral skills and music notation. No credit toward graduation for music majors or minors.,2012
11121,THEORY ,MUS,"Music Theory Placement Test, score of 02.",,"Basic elements of music--harmonic, melodic, rhythmic--studied through analysis, composition, keyboard and ear training. Diatonic materials emphasized.",2012
11122,THEORY ,MUS,MUS 11121 with a grade of C- (1.700) or better.,,"Continuation of basic elements of music--harmonic, melodic, rhythmic-- studied through analysis, composition, keyboard, singing and ear training. Chromatic materials emphasized.",2012
17011,PIANO CLASS FOR NONMUSIC STUDENTS ,MUS,,,"Development of basic skills required in playing piano, including familiarity with the keyboard and music notation.",2012
17012,PIANO CLASS FOR NONMUSIC STUDENTS ,MUS,MUS 17011.,,"Development of basic skills required in playing piano, including familiarity with the keyboard and music notation.",2012
17111,PIANO CLASS ,MUS,Special approval.,,"Preparatory piano. Credit not acceptable on music major sequences. Piano literature and functional elements of sight-reading, transposition, harmonization and improvisation.",2012
17112,PIANO CLASS ,MUS,MUS 17111 with a grade of C- (1.700) or better.,,"Preparatory piano. Credit not acceptable on music major sequences. Piano literature and functional elements of sight-reading, transposition, harmonization and improvisation.",2012
18611,SINGER'S DICTION I ,MUS,Music (MUS) or music education (MUED) major.,,"Foundational training and performance practice in phonetics and singing diction for the English, American, Ecclesiastical Latin and Italian vocal repertoire.",2012
18612,SINGER'S DICTION II ,MUS,Music (MUS) major and MUS 18611 with a grade of C- (1.700) or better.,,"Foundational training and performance practice in phonetics and singing diction for the vocal repertoire of French, German and selected other languages.",2012
20295,SPECIAL TOPICS IN MUSIC,MUS,Music (MUS) major.,,(Repeatable for credit)Academic study in areas not offered adequately in the music curriculum. Topic areas are of special interest to the faculty member.,2012
21113,MUSIC PRODUCTION I ,MUS,,,"A practical introduction to digital audio production, study of basic computer assisted recording, editing and music production.",2012
21114,MUSIC PRODUCTION II ,MUS,MUS 21113 and 21221 with minimum C- (1.700) grade.,,"A practical study of computer assisted composition and arranging covering MIDI, sequencing, synthesis, sampling and video synchronization.",2012
21121,MUSIC THEORY TO 1750 ,MUS,MUS 11122 with a grade of C- (1.700) or better.,,"Study of Western musical style from Gregorian chant through the Baroque period. Emphasis on aural, compositional, written and keyboard approaches as appropriate to medieval, Renaissance and Baroque music.",2012
21122,MUSIC THEORY FROM 1750 TO 1900 ,MUS,MUS 21121with a grade of C- (1.700) or better.,,"Study of Western musical style from the early classical to the late Romantic period. Emphasis on aural, compositional, written and keyboard approaches as appropriate to classical and Romantic music.",2012
21221,AUDIO RECORDING I ,MUS,minimum grade of C- (1.700) in MUS 21113.,,"A study of basic live and studio recording fundamentals and techniques, including signal flow, microphones and recording equipment.",2012
21222,AUDIO RECORDING II ,MUS,MUS 21221 with minimum C- (1.700) grade.,,"A study of multi-track making and recording techniques, session setup and management, and elements required for the reference mix.",2012
21341,COMMERCIAL MUSIC THEORY AND COMPOSITION ,MUS,Minimum grade of C- (1.700) in MUS 11121 and 11122.,,"Application of the knowledge gained from Music Theory (MUS 11121 and 11122) to the study of popular music through practical applications, particularly with regard to composition and improvisation.",2012
22111,THE UNDERSTANDING OF MUSIC ,MUS,,,"A listening approach for the understanding of Western art music, folk and jazz. Particular attention is paid to musical styles forms and compositional techniques as related to music history.",2012
22121,MUSIC AS A WORLD PHENOMENON ,MUS,,,"An introduction to music as a world phenomenon. Study of selected art, folk and popular music from world cultures through live performances, tapes, films, video tapes and readings.",2012
22131,SURVEY OF ROCK MUSIC HISTORY ,MUS,,,"A survey of Rock Music History from the 1950s through the twentieth century to today. Emphasis is on recognizing music literature, prominent artists and music styles, as well as related cultural events. Modern media, especially the Internet, is an integral component of the course.",2012
23241,MUSIC TEACHING AS A PROFESSION ,MUS,Music (MUS) or music education (MUED) major.,,"Basic teaching strategies and techniques; an overview of music teaching as a career; diversity, integration, curriculum technology, classroom management, legal issues, personal skills and portfolio. Twenty (20) field hours required.",2012
25011,UNIVERSITY CHORUS,MUS,Special approval.,,(Repeatable for credit) Choral ensemble which studies and performs sacred and secular music for mixed voices. Activities include performance on and off campus.,2012
25225,UNIVERSITY BAND,MUS,,,(Repeatable for credit) Study and performance of music literature for wind band appropriate for music majors and non-majors.,2012
25231,JAZZ ENSEMBLE,MUS,,,(Repeatable for credit) Study and performance of music literature for jazz ensemble appropriate for music majors and non-majors.,2012
25311,CHAMBER MUSIC,MUS,Permission.,,(Repeatable for credit) The study and performance of music for small ensembles.,2012
