10001,INTRODUCTION TO POLITICAL SCIENCE ,POL,,,"This course introduces the history and structure of political science, including its relationship to neighboring disciplines. This course thus asks what does it mean to study politics? What does it mean to study politics scientifically? What are the consequences of different conceptions of politics?",2012
10004,COMPARATIVE POLITICS ,POL,,,"This course introduces the different institutional structures of governance (e.g., parliamentary versus presidential systems) in a range of different states for different types of regimes (e.g. democratic and authoritarian) and at the international level.",2012
10100,AMERICAN POLITICS ,POL,,,"This course covers the basic elements of politics at the national level in the United States: structures, processes, behaviors, institutions, policies. Special emphasis is given to conflicting theories of power as they apply to different economic, sexual and racial groups.",2012
10300,PUBLIC POLICY ,POL,,,This course provides a survey of basic public policy concepts and processes within an historical context. It incorporates applied work to bridge conceptual understanding and empirical cases.,2012
10301,DIVERSITY IN AMERICAN PUBLIC POLICY ,POL,,,"This course focuses on the electoral and institutional aspects of sex, race, age and social class as those classifications function as both causes and effects of voting behavior and public law.",2012
10500,WORLD POLITICS ,POL,,,"A practical, theoretical introduction to a study of systematic patterns in international relations. Includes analysis of rules, instruments, processes, decision- making factors, conflict resolution.",2012
20001,POLITICAL METHODS ,POL,,,"This course is designed to bring students to a basic level of ""statistical literacy"" by introducing the fundamentals of research design and interpretation; as well as to basic descriptive and inferential statistics.",2012
20002,POLITICAL THOUGHT ,POL,,,This course is designed to introduce the student to basic methodological and substantive concerns in the tradition of western political thought.,2012
20003,POLITICAL ECONOMY ,POL,,,"This course is designed to introduce students to the fundamental questions surrounding the relationship between the public and private sectors, considered from the perspective of the state and its major political institutions. Of central concern is the growing internationalization of capital and its consequences for both domestic and international politics.",2012
30100,AMERICAN POLITICAL THEORY ,POL,POL 10100.,,Major political ideas and controversies associated with the development of American political thought.,2012
30110,THE CONGRESS ,POL,POL 10100.,,"This course deals with the powers of Congress, its organization, leadership of the two houses, role of the parties, relationships with the chief executive and the executive agencies and recent reforms enacted by the House and Senate.",2012
30120,PRESIDENCY AND EXECUTIVE BUREAUCRACY ,POL,POL 10100.,,"Intensive study of the American Presidency, focusing on personality, organization of the office, use and misuse of power and policy making.",2012
30130,COURTS ,POL,POL 10100.,,Intensive study of the judicial process in United States and the relationship between the judicial system and the larger American social system.,2012
