10000,INTRODUCTION TO PHYSICAL THERAPIST ASSISTANT ,PTST,,,Orientation to the field of physical therapy history. Functions and responsibilities. Legal and ethical accountability. Patient rights. Safety. Health care delivery system.,2012
10001,PRINCIPLES OF PATIENT CARE IN PHYSICAL THERAPY ,PTST,physical therapist assistant technology (PTST) major.,,Underlying principles of physical therapy procedures. Equipment. Fundamentals of patient care relative to the role of the physical therapist assistant.,2012
10002,ANALYSIS OF MOVEMENT ,PTST,BSCI 11001.,PTST 10003 and PTST 10004 and PTST 10005.,Function of the human body with emphasis on the musculoskeletal system. Gross body measurements.,2012
10003,CLINICAL CONDITIONS I ,PTST,PTST 10001.,PTST 10002 and PTST 10004 and PTST 10005.,"Introduction to medical conditions commonly encountered in the practice of physical therapy which affect the integumentary, digestive and endocrine systems. Will include general medical testing procedures and psychological disorders.",2012
10004,PHYSICAL THERAPY PROCEDURES I ,PTST,PTST 10001.,PTST 10002 and PTST 10003 and PTST 10005.,Theory and techniques of treatment procedures with emphasis on modalities. Maintenance of equipment and supplies.,2012
10005,DIRECTED PRACTICE IN PHYSICAL THERAPY I ,PTST,PTST 10001.,PTST 10002 and PTST 10003 and PTST 10004.,Introduction to the practice of physical therapy procedures in the clinical setting under the supervision of a licensed physical therapist.,2012
10009,MEDICAL TERMINOLOGY ,PTST,,,"Terminology utilized by the medical profession. Emphasis is on definition, spelling, pronunciation and correct usage of terms.",2012
10010,TRANSITIONS IN PHYSICAL THERAPY ,PTST,physical therapist assistant technology (PTST) major and special approval.,,"Validates prior learning, builds knowledge necessary for the transition to the physical therapist assistant technology (PTST) program and prepares students for advance placement in PTST. Students registering for this course must have successfully completed an approved allied health program and been admitted to PTST. Students successfully completing this course with a grade of C (2.000) or better will receive credit for the following courses: PTST 10002, PTST 10004, PTST 20003, PTST 20004 and PHY 12111.",2012
11005,PHYSICAL THERAPY PRACTICE ,PTST,pecial approval.,,"Introduces clinical education and the essential elements of safe, ethical and legal physical therapy practice in a clinical setting.",2012
11092,CLINICAL EDUCATION I ,PTST,PTST 11005 and special approval.,,Observes and participate in providing selected physical therapy services under the direct supervision of a licensed PT or PTA.,2012
