11000,INTRODUCTION TO RESPIRATORY THERAPY ,RTT,pecial approval.,RTT 11003 and 11006.,"Establishes a foundation of the respiratory care profession; health promotion, patient education, management of services and disasters; introduction to radiology and pharmacology.",2012
11001,RESPIRATORY CARE PHARMACOLOGY ,RTT,RTT 11000 and 11003 and 11006; PTST 10009 or HED 14020; BSCI 11010 and BSCI 11020 or BSCI 20020; minimum C grade.,RTT 11002 and RTT 11004 and RTT 11008 and BSCI 20021,"Basic principles in pharmacology, specific to respiratory care, covering the pharmacokinetic action of drugs, administration, calculations, and effects on the body systems.",2012
11002,CARDIOPULMONARY DISEASES ,RTT,"RTT 11000 and RTT 11003 and RTT 11006; BSCI 11010 and BSCI 11020 or BSCI 20020, PTST 10009 or HED 14020.",RTT 11001 and RTT 11004 and RTT 11008 and BSCI 20021.,"A study of diseases and disorders affecting the cardiopulmonary system; etiology, pathophysiology, clinical manifestations, analyzing and interpreting data, constructing respiratory care plans and the role of the respiratory therapist in treatment.",2012
11003,APPLICATION AND MECHANISMS OF CARDIOPULMONARY ANATOMY AND PHYSIOLOGY ,RTT,special approval.,RTT 11000 and RTT 11006; BSCI 20020 or BSCI 11010.,Provides a solid foundation in cardiopulmonary anatomy and physiology with relevant applied physiology as it relates to the profession of respiratory care.,2012
11004,THERAPEUTICS ,RTT,"RTT 11000, 11003, 11006; BSCI 11010 and BSCI 11020 or BSCI 20020; CHEM 10050; PHY 12111 or PHY 13001.","RTT 11001, 11002, 11008.","Introduction to inhaled medication administration, hyperinflation therapy, bronchopulmonary hygiene, and airway management. There is a laboratory and clinical component.",2012
11006,INTRODUCTION TO CLINICAL RESPIRATORY CARE ,RTT,pecial approval.,RTT 11000 and 11003 and 11006; BSCI 11010 or 20020.,"Introduction to patient assessment and monitoring, communication, infection control, medical records, medical gas and humidity therapy, and the clinical environment. There is a laboratory component.",2012
11008,BLOOD GAS ANALYSIS ,RTT,"RTT 11000, 11003, and 11006; BSCI 11010 and BSCI 11020 or BSCI 20020.","RTT 11001, 11002 and 11004","A study of the methods and procedures for obtaining arterial blood, the principles and standards of analysis and applications of the physiological data.",2012
21000,CRITICAL CARE ,RTT,RTT 21001 and 21003 and 21004; BSCI 20021.,,"An advanced-level course that provides a foundation for managing patients in critical care utilizing mechanical ventilation, pharmacology, and hemodynamic monitoring systems. Students perform, interpret and apply data, and learn advanced life support. There is a clinical component.",2012
21001,MECHANICAL VENTILATION ,RTT,"RTT 11001, RTT 11002, RTT 11004 and RTT 11008.",RTT 21003 and RTT 21004.,"Establishes a foundation of mechanical ventilation and associated equipment; assessment, monitoring and modifying parameters. There is a laboratory and clinical component.",2012
21003,PERINATAL AND PEDIATRIC RESPIRATORY THERAPY ,RTT,"RTT 11000, RTT 11001, RTT 11002, RTT 11003, RTT 11004, RTT 11006 and RTT 11008.",RTT 21001 and RTT 21004.,"Development of the fetus; assessment, treatment, and evaluation of perinatal and pediatric patients requiring respiratory therapy intervention; perinatal and pediatric cardiopulmonary diseases; management of mechanical ventilation.",2012
21004,ADVANCED DIAGNOSTICS ,RTT,"RTT 11001, RTT 11002, RTT 11004 and RTT 11008.",RTT 21001 and 21003.,"Provides knowledge and skills necessary to work effectively in a pulmonary function laboratory. Topics include: pulmonary function tests, testing standards and techniques, equipment set up and utilization, analyzing test results and applying them in clinical situations is emphasized. Quality assurance for equipment and testing data.",2012
21005,PULMONARY REHABILITATION AND CONTINUING CARE ,RTT,RTT 21000.,RTT 21010 and 21012.,Roles and functions of respiratory therapists in cardiopulmonary rehabilitation and home care.,2012
21010,RESPIRATORY THERAPY CAPSTONE COURSE ,RTT,RTT 21004 and respiratory therapy technology (RTT) major.,RTT 21005.,Contemporary issues and trends in respiratory care; preparation for the CRT and RRT credentialing examinations; obtaining employment after graduation. There is a laboratory and clinical component.,2012
21012,BASIC RESEARCH DEVELOPMENT AND ANALYSIS ,RTT,RTT 21000.,RTT 21005 and 21010.,"Survey of research problems, methods, and designs utilized in respiratory care with a focus on developing analytical and critiquing skills.",2012
21095,SPECIAL TOPICS IN RESPIRATORY THERAPY,RTT,RTT 11000.,,(Repeatable for credit)Scheduled topics of interest to students and faculty.,2012
21096,INDIVIDUAL INVESTIGATION IN RESPIRATORY THERAPY,RTT,respiratory therapy technology (RTT) majors.,,(Repeatable for a maximum of 6 credit hours)Readings and/or investigation of respiratory therapy topics supervised by respiratory therapy faculty.,2012
