10002,INTRODUCTION TO COMMUNICATION DISORDERS AND DIFFERENCES ,SPA,,,"An introduction to communication disorders and differences using a) case studies via film and video review and critique, b) lecture, and c) class discussions. Covers speech, language, swallowing and hearing disorders and cultural and linguistic differences in communication.",2012
33101,HEARING SCIENCE ,SPA,,,"Acoustics, psychoacoustics, bioacoustics, anatomy and physiology of the ear.",2012
34102,APPLIED PHONETICS ,SPA,,,Basic principles of speech production and phonetic transcriptions of English with the international phonetic alphabet; emphasis on general American dialect.,2012
34103,ANATOMY AND PHYSIOLOGY OF SPEECH ,SPA,,,"Functional anatomy and physiology of the respiratory, phonatory, articulatory and neural systems as they are used in speech production by talkers with normal and abnormal speech.",2012
34104,SPEECH AND LANGUAGE DEVELOPMENT ,SPA,SPA 34102 or ENG 31001; and special approval.,,"Normal development and linguistic analysis of language systems including phonology, morphology syntax semantics and pragmatics.",2012
34105,PHONEMIC BASES OF SPEECH AND LANGUAGE ,SPA,,,"Fundamental processes related to production and perception of spoken language, with parallels to writing and reading particular application to normal and hearing impaired children and adolescents. For non-majors only.",2012
34107,LANGUAGE DISORDERS IN CHILDREN AND ADOLESCENTS ,SPA,SPA 34104.,,Introduction to assessment and intervention procedures associated with language disorders in children and adolescents.,2012
43402,AUDIOMETRY ,SPA,SPA 33101 with minimum C (2.000) grade and special approval.,,Measurement of human hearing by pure-tone and speech audiometry; evaluation of middle ear function by immittance audiometry; screening techniques; pathologies of the conductive and sensorineural systems.,2012
43404,AURAL REHABILITATION ,SPA,SPA 33101 and 34102 and 43402 (Speech Pathology and Audiology majors) or 43600 (Education of Hearing Impaired majors).,,"Basic principles, variables and techniques for understanding, evaluating and improving receptive communication of hearing impaired individuals.",2012
43492,CLINICAL PREPARATION IN AUDIOLOGY,SPA,Special approval.,SPA 43402.,"(Repeatable for credit)Lab exercises and practical experiences in audiometric procedures, test interpretation, counseling and management of the hearing impaired.",2012
43600,FUNDAMENTALS OF EDUCATIONAL AUDIOLOGY ,SPA,Junior standing.,,Auditory development and function/dysfunction; auditory assessment and family counseling; selection and fitting of personal and classroom amplification; care and maintenance of amplification systems; collaboration of professionals in audiology and education; communication approaches according to varying levels of hearing loss; classroom environments conducive to auditory and academic learning.,2012
44096,INDEPENDENT STUDY: SPEECH PATHOLOGY AND AUDIOLOGY,SPA,Senior standing and speech pathology and audiology (SPA) major and special approval.,,(Repeatable for credit)Readings and/or research on problems approved by chairman of department in consultation with student's adviser and project director.,2012
44110,SPEECH SCIENCE ,SPA,SPA 34102 and SPA 34106.,,Consideration of physiological and acoustic characteristics of normal speech production and perception with implications for speech and hearing disorders.,2012
44111,NEURAL PROCESSES ,SPA,SPA 34103 or special approval of the instructor.,,"Anatomy and physiology of the nervous system underlying human neuromotor movements. Topics include: definition and fundamental concepts, afferent and effort systems, cortical anatomy and function, cranial nerves theories of brain function and neural maturation and learning.",2012
44112,AGE-RELATED CHANGES IN COMMUNICATION ,SPA,,,"Nonpathological age-related changes in speech, language and voice. Topics include structural changes in orofacial, laryngeal and respiratory mechanism; sequelae for speech, language and voice in the elderly; effects of age on swallowing; facilitating conversational interactions with elderly individuals.",2012
44130,COMMUNICATION DISORDERS OF THE AGING ,SPA,Senior standing.,,"Hearing, speech and language disorders in geriatric population. Symptoms, causes and treatment: normal changes in hearing, language and speech accompanying aging process.",2012
44310,CLINICAL PROCEDURES ,SPA,SPA 34103 or 34106.,,Examination of evaluative and therapeutic procedures used with communicatively-impaired children and adults.,2012
44492,CLINICAL PREPARATION IN SPEECH-LANGUAGE PATHOLOGY,SPA,,SPA 44310.,"(Repeatable for credit)Fundamental evaluation and management procedures of individuals with communication disorders, including supervised observation. Corequisite: SPA 44310.",2012
53402,AUDIOMETRY ,SPA,SPA 33101with a grade of C (2.000) or better. Graduate standing.,,Measurement of human hearing by pure-tone and speech audiometry; evaluation of middle ear function by immittance audiometry; screening techniques; pathologies of the conductive and sensorineural systems.,2012
53404,AURAL REHABILITATION ,SPA,Education of Hearing Impaired majors: SPA 43600; Speech Pathology and Audiology majors: SPA 33101 and SPA 34102 and SPA 43402. Graduate standing.,,"Basic principles, variables and techniques for understanding, evaluating and improving receptive communication of hearing impaired individuals.",2012
54096,INDEPENDENT STUDY: SPEECH PATHOLOGY AND AUDIOLOGY,SPA,Special approval and graduate standing.,,(Repeatable for credit) Readings and/or research on problems approved by chair of department in consultation with student's adviser and project director.,2012
54110,SPEECH SCIENCE ,SPA,SPA 34102 and 34106. Graduate standing.,,Consideration of physiological and acoustic characteristics of normal speech production and perception with implications for speech and hearing disorders.,2012
54111,NEURAL PROCESSES IN SPEECH AND LANGUAGE ,SPA,SPA 34103 or special approval of the instructor. Graduate standing.,,"Anatomy and physiology of the nervous system underlying speech and language. Topics include: definition and fundamental concepts, afferent and efferent systems, cortical anatomy and function, cranial nerves, theories of brain function and neural maturation and learning.",2012
54112,AGE-RELATED CHANGES IN COMMUNICATION ,SPA,Graduate standing.,,"Nonpathological age-related changes in speech, language and voice. Topics include: structural changes in orofacial, laryngeal and respiratory mechanisms; sequelae for speech, language and voice in the elderly; effects of age on swallowing; facilitating conversational interactions with elderly individuals.",2012
54130,COMMUNICATION DISORDERS OF THE AGING ,SPA,Graduate standing.,,"Hearing, speech and language disorders in geriatric population. Symptoms, causes and treatment: normal changes in hearing, language and speech accompanying aging process.",2012
54310,CLINICAL PROCEDURES ,SPA,SPA 34103 or SPA 34106 and graduate standing.,,An examination of evaluative and therapeutic procedures used with communicatively impaired children and adults.,2012
64096,INDIVIDUAL INVESTIGATION: SPEECH PATHOLOGY AND AUDIOLOGY,SPA,Graduate standing and special approval.,,(Repeatable for a maximum of 12 credit hours) Independent study of topics to be selected in consultation with graduate faculty.,2012
64098,RESEARCH,SPA,Graduate standing and special approval.,,(Repeatable for credit)Research or individual investigation for master's level graduate students.,2012
64199,THESIS I ,SPA,Graduate standing and special approval.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2012
64299,THESIS II ,SPA,SPA 64199 and graduate standing and special approval.,,Thesis students must continue registration each semester until all degree Requirements are met.,2012
64301,APHASIA AND APRAXIA ,SPA,Graduate standing.,,"Neuro-anatomy, etiologies, symptomatologies, evaluation procedures and treatment techniques relating to aphasia and apraxia of speech in adults.",2012
64302,LANGUAGE ASSESSMENT AND INTERVENTION IN EARLY CHILDHOOD ,SPA,graduate standing.,,"Methods of language assessment and intervention for infants, toddlers and preschoolers who are either at risk or diagnosed as presenting language delays or disabilities.",2012
64303,DISORDERS OF ARTICULATION AND PHONOLOGY ,SPA,Graduate standing.,,Diagnosis and remediation of children's articulation and phonological disorders.,2012
64304,COGNITIVE-COMMUNICATIVE DISORDERS ,SPA,Graduate standing.,,"Neuro-anatomy, etiologies, symptomatologies, evaluation procedures and treatment techniques relating to cognitive-communicative disorders in adults subsequent to right brain damage, head trauma and dementia.",2012
64305,FLUENCY DISORDERS ,SPA,peech language pathology (SLP) major and graduate standing.,,"Nature, theories and their derived therapeutic approaches to the treatment of fluency disorders.",2012
64306,VOICE DISORDERS ,SPA,Graduate standing.,,"Normal aspects of voice production, etiology and symptomatology of voice disorders, diagnostic procedures and management techniques.",2012
64307,DYSARTHRIA ,SPA,Graduate standing.,,"Neuro-anatomy, etiologies, symptomatologies, evaluation procedures and treatment techniques relating to dysarthria in adults.",2012
64308,LANGUAGE ASSESSMENT AND INTERVENTION WITH SCHOOL-AGE POPULATIONS ,SPA,SPA 34107. Graduate standing.,,Theoretical background knowledge and practical assessment and intervention techniques for school-age children who demonstrate language disorders.,2012
64309,AUTISM SPECTRUM DISORDERS: THEORY AND DIAGNOSIS ,SPA,graduate standing.,,"Provides an examination of the medical, developmental, social, cognitive, and communicative aspects of disorders on the Autism Spectrum. Assessment and intervention models are explored as they relate to various theoretical models for understanding the presentation of ASD.",2012
64310,AUTISM SPECTRUM DISORDERS: LIFESPAN INTERVENTIONS ,SPA,graduate study.,,"Provides students with a review of the significant aspects related to educational, social, vocational transitions for children, adolescents, and young adults with ASD. Students learn skills necessary to evaluate and develop programs designed to meet the changing and long term needs of individuals with ASD.",2012
64354,MAXILLOFACIAL ANOMALIES ,SPA,Graduate standing.,,Nature and rehabilitative procedures for individuals with congenital and acquired maxillofacial anomalies and resonance disorders.,2012
64356,DYSPHAGIA ,SPA,Graduate standing.,,"Anatomy, etiologies, symptomatologies, evaluation procedures and treatment techniques relating to swallowing disorders in adults and children.",2012
64391,SEMINAR: SEMINAR: ARTICULATION AND PHONOLOGY,SPA,Graduate standing.,,(Repeatable for a maximum of 9 credit hours) Critical review and application of systems and methods for assessment and remediation of articulation and phonological disorders.,2012
64491,SEMINAR: ORGANIC SPEECH DISORDERS,SPA,Graduate standing.,,(Repeatable for credit) A revolving topics seminar on theoretical and/or clinical issues related to neurogenic/organic speech and/or language disorders.,2012
64492,CLINICAL PRACTICE IN SPEECH PATHOLOGY AND AUDIOLOGY,SPA,Special approval and graduate standing.,,"(Repeatable for credit) Supervised clinical practice with patients who have speech, hearing or language problems.",2012
64500,LANGUAGE SCIENCE ,SPA,graduate standing.,,Detailed discussion of current theoretical issues in first language acquisition from the prelinguistic period to the development of complex linguistic and communicative abilities.,2012
64504,EXPERIMENTAL PHONETICS ,SPA,SPA 4/54110. Graduate standing.,,Consideration of experimental bases of normal speech production and perception; survey of literature with implications for speech and hearing disorders.,2012
64525,PUBLIC SCHOOL TECHNIQUES IN COMMUNICATION DISORDERS: INQUIRY INTO PROFESSIONAL PRACTICE ,SPA,Special approval.,SPA 64528.,"Inquiry into speech pathology and audiology as practiced in the school setting; emphasis on speech language pathologist or audiologist as disciplined investigator. Combination of themes including organizational procedures, therapy techniques, collaboration, ethics and research.",2012
64528,STUDENT TEACHING IN SPEECH-LANGUAGE PATHOLOGY AND AUDIOLOGY ,SPA,Special approval.,SPA 64525.,"Inquiry into speech pathology and audiology as practiced in the school setting; emphasis on speech language pathologist or audiologist as disciplined investigator. Combination of themes including organization, procedures, therapy techniques, collaboration, ethics and research. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school/agency"" before the first day of the semester in which student teaching/ internship will take place.",2012
64600,RESEARCH METHODS IN SPEECH-LANGUAGE PATHOLOGY AND AUDIOLOGY ,SPA,Graduate standing.,,"Methodologies for collecting, analyzing and interpreting data for clinical and research purposes in speech language pathology and audiology.",2012
64891,SEMINAR: COMMUNICATION MODALITIES AND ASSISTIVE TECHNOLOGY,SPA,SPA 64500 and SPA 64302; and graduate standing.,,"(Repeatable for credit)Nature, etiologies and correlates of speech/language communication disorders and differences that may indicate a need for a multi-modal communication approach. Includes an emphasis on assistive technology for communication, language, learning and literacy.",2012
