19201,AMERICAN SIGN LANGUAGE I ,SPED,,,An introduction to American Sign Language and deaf culture. Development of beginning visual receptive ASL skills and introductory expressive skills.,2012
19202,AMERICAN SIGN LANGUAGE II ,SPED,ASL 19201 or SPED 19201.,,A continuation of the introduction to American Sign Language and deaf culture. Continued development of basic visual receptive ASL skills and expressive skills.,2012
23000,INTRODUCTION TO EXCEPTIONALITIES ,SPED,,,"Introduction to student exceptionalities, service delivery/placement options and multidisciplinary team process. Focus on identification of characteristics definition and identification procedures of students with exceptionalities. 15 clinical hours.",2012
29201,AMERICAN SIGN LANGUAGE III ,SPED,ASL 19202 or SPED 19202.,,"Development of ASL fluency in expressive and receptive mode to intermediate level. Continue to increase awareness of deaf cultural values, customs and conversational habits.",2012
29202,AMERICAN SIGN LANGUAGE IV ,SPED,ASL 29201 or SPED 29201.,,"Development of ASL fluency in expressive and receptive mode to beginning advanced. Continue to increase awareness of deaf cultural values, customs and conversational habits.",2012
39201,AMERICAN SIGN LANGUAGE V ,SPED,ASL 29202 or SPED 29202; and admission to advanced study.,,"Development of ASL fluency in expressive/receptive modes to advanced levels to enable communication at conversational speed with unfamiliar deaf individuals. Focus on differences in sign according to gender and age. Increased awareness of deaf cultural, values, customs, conversational habits.",2012
39202,AMERICAN SIGN LANGUAGE VI ASL,SPED,ASL 39201 or SPED 39201; and admission to advanced standing.,,"fluency expressive and receptive modes to advanced levels; enable fluent communication with unfamiliar deaf individuals using culturally, situationally, gender and register-specific conversational repair strategies when needed. Increased awareness of deaf cultural values.",2012
40093,WORKSHOP IN SPECIAL EDUCATION,SPED,,,(Repeatable for credit)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State University faculty and other institutions. Offered irregularly.,2012
43010,FAMILY AND PROFESSIONAL COLLABORATION ,SPED,SPED 23000 and admission to advanced study.,,"This course provides knowledge and strategies for working with family members of exceptional individuals and members of related professions which provide services to them. Use of collaborative, interdisciplinary and interagency models in special education. 20 clinical and 10 field hours.",2012
43020,ASSESSMENT IN SPECIAL EDUCATION ,SPED,Prerequisite: CI 47501 and 47504.,SPED 43992 or 43392 or 44092 or 44192.,"Use/interpretation normed, criterion-referenced and informal curriculum-based assessments for students with mild/moderate disabilities. Standards-based alternative assessments for student with intensive needs. 10 field and 20 clinical hours.",2012
