10500,MOLECULAR PRINCIPLES IN GRAPE AND WINE ,VIN,,,"Covers the basic chemistry involved in the wine and winemaking process. Includes basic understanding of the chemistry involved in the fermentation process, flavor, aroma and color of wine.",2012
11100,INTRODUCTION TO VITICULTURE AND VINEYARD ESTABLISHMENT ,VIN,,,"Introduces students to current practices for establishing a commercial vineyard and maintaining its health and productivity once established. Topics covered include varietal selection, site preparation, equipment, site selection, first season establishment, vine growth development and training, trellis systems, vine propagation, weed control and vine disease control. Field practicum sessions consisting of 16 hours of hands-on experience is scheduled in area vineyards.",2012
11392,WINTER VITICULTURE PRACTICUM,VIN,VIN 11100.,,"(Repeatable for credit) Provides students initiated in the field of viticulture practical experience in winter vineyard operations. Students are required to partner with an approved vineyard to participate in the required field experience portion of the course, which serves as work experience for those seeking employment in commercial viticulture.",2012
11492,SPRING VITICULTURE PRACTICUM,VIN,VIN 11100.,,(Repeatable for credit) Designed to provide students initiated in the field of viticulture practical experience in spring vineyard operations. Students are required to partner with an approved vineyard to participate in the required field experience portion of the course.,2012
11592,SUMMER/FALL VITICULTURE PRACTICUM,VIN,VIN 11100.,,"(Repeatable for credit)Provides viticulture students practical experience in summer and fall vineyard operations. Students are required to partner with an approved vineyard to participate in the required field experience portion of the course, which serves as work experience for those seeking employment in commercial viticulture.",2012
14600,INTRODUCTION TO ENOLOGY ,VIN,pecial approval.,,"Targets people who became interested in home winemaking with possibilities to grow into the small business opportunity, as well as cellar employees interested in winemaking career. During this course, students build proper basic understanding of winemaking which alleviates common home winemaker’s errors.",2012
14800,WINERY SANITATION ,VIN,VIN 14600.,,"The basic science and technology of winery sanitation that includes an introduction to wine microbiology. Covers all methods used for winery sanitation including premises, tanks, pumps, filters, oak barrels and sampling equipment, including but not limited to chemical agents, reagents and thermal treatments leading to sterile bottling. Environmental issues and compliance are also addressed.",2012
16000,WINERY EQUIPMENT OPERATION ,VIN,VIN 14600.,,"Covers process technologies and process systems used in modern commercial wineries. Includes lectures, demonstrations and a two-day workshop. Overview of winemaking systems, including work place safety, cleaning and sanitation procedures, winemaking equipment and materials, tanks, barrels and barrel alternatives, filtration systems and bottling equipment. Also touches upon on chillers and electrical needs.",2012
20095,SPECIAL TOPICS IN VITICULTURE AND ENOLOGY,VIN,,,"(Repeatable for a maximum of 9 credit hours) Various special topics to be announced in the Schedule of Classes, offering current topics in viticulture and enology.",2012
21000,INTRODUCTION TO WINE MICROORGANISMS ,VIN,VIN 14600.,,"Introduction to the basic principles of wine microbiology and the variety of microorganisms frequently encountered in the wine making process. Yeasts, bacteria and molds play vital roles in the production of wine, both beneficial and harmful. Students become familiar with the morphology, reproduction and sensory attributes of wine microorganisms in order to understand their influence on winemaking and to be able to manage them effectively.",2012
21100,INTEGRATED PEST MANAGEMENT ,VIN,,,"Effective grape production depends on the grower developing a system of grape management that is appropriate for each vineyard. Decisions need to be made for how to manage all of the normal cultural practices such as planting, fertility, harvesting and pruning, as well as managing the insect, disease and weed problems that occur either regularly or sporadically. Course addresses management issues related to common, expected pest problems, as well as the occasional appearance of minor pest problems.",2012
21300,REGIONAL VINEYARD MANAGEMENT ,VIN,VIN 11100.,,A general study of vineyard management applicable to the Mid-America region. Covers management of the mature vineyard and builds on the topics.,2012
24600,INTERMEDIATE ENOLOGY ,VIN,VIN 14600.,,"Built on the fundamentals of science and technology of winemaking practices taught in VIN 14600. Students understand how the winemaking process works and learn the scientific background for major decisions made during the process of winemaking. At course completion, students understand winemaking calculations necessary for accurate, precise and safe additions to the wine.",2012
25792,FALL WINE PRODUCTION INTERNSHIP,VIN,VIN 14600 and 14800 and 16000 and 24600.,,"(Repeatable for credit)Principles of grape juice and wine analysis and the reasons for use of each analysis. Analyses of a practical and useful nature are chosen for the laboratory exercises demonstrating various chemical, physical and biochemical methods. Students participate in workshops and hands-on experiences at participating wineries.",2012
25992,CELLAR OPERATIONS INTERNSHIP,VIN,VIN 25792.,,(Repeatable for credit)Provide students initiated in the field of enology with actual and practical exposure to the technology of wine making as is performed during the passive vineyard periods associated with winter. Students are expected to improve their understanding of the methods and science involved by on-site participation in each of the various activities associated with finished wine production. Course serves as actual practical exposure and may qualify as experience for those seeking employment in commercial enology.,2012
26600,SENSORY EVALUATION ,VIN,VIN 14600.,,"Intended for those individuals who need to develop an understanding of the principles of sensory evaluation used in commercial wine making. It also benefits wine enthusiasts interested in reaching advanced levels of appreciation, as well wine producers, wine merchants and enologists, who by the nature of their profession need to discern flavors and establish tasting benchmarks. Students practice sensory analysis at home and in workshops to further their sensory evaluation skills and techniques.",2012
26800,WINE AND MUST ANALYSIS ,VIN,VIN 14600.,,"Principles of grape juice and wine analysis and the reasons for use of each analysis. Analyses of a practical and useful nature are chosen for the laboratory exercises demonstrating various chemical, physical and biochemical methods. Students participate in workshops and hands-on experiences at participating wineries.",2012
29300,SOILS FOR VITICULTURE ,VIN,,,"Explores soil properties and behavior and their influence on wines. Focuses not only on growth and production, but on the long-term effects of viticulture on soil quality and the wider environment.",2012
