23020,INTRODUCTION TO FINANCIAL ACCOUNTING,ACCT,,,(Equivalent to ACTT 11000) Introduction to principles of accounting as they relate to financial accounting and the preparation of financial statements.,2013
23021,INTRODUCTION TO MANAGERIAL ACCOUNTING,ACCT,ACCT 23020.,,"(Equivalent to ACTT 11001) Introduction to principles of accounting as they relate to managerial accounting, including cost relationships.",2013
33000,FUNDAMENTAL TAX PROCEDURES ,ACCT,Cumulative 2.500 GPA; and ACCT 23020 or ACTT 11000; and ACCT 23021 or ACTT 11001; not open to accounting (ACCT) majors.,,Nontechnical presentation of federal income tax laws and regulations as they relate to individuals.,2013
33001,CORPORATE ACCOUNTING I ,ACCT,"Cumulative 2.500 GPA; and ACCT 23021 or ACTT 11001 with B- minimum and ACCT 23020 or ACTT 11000 with B- minimum; and minimum C (2.000) in ENG 21011, COMM 15000 and MATH 11010; and accounting (ACCT) major or minor.",,"The review of the accounting cycle; financial statement preparation, accounting for sales, receivables, inventory, current liabilities and fixed assets. Written communication and professional accounting research skills are emphasized.",2013
33004,INTRODUCTION TO ACCOUNTING SYSTEMS ,ACCT,"cumulative 2.500 GPA; and ACCT 23021 or ACTT 11001 with B- (2.700) minimum; and ACCT 23020 or ACTT 11000 with B- (2.700) minimum; and minimum C (2.000) in ENG 21011, COMM 15000 and MATH 11010; and accounting (ACCT) major or minor.",,Provides an overview of accounting information systems with emphasis on systems design and internal controls. Interpersonal skills and computer applications are emphasized.,2013
33010,COST ACCOUNTING ,ACCT,cumulative 2.500 GPA; and accounting (ACCT) major or minor; and ACCT 33001 and ACCT 33004 both with a minimum grade of C (2.000) .,,"Cost accounting for manufacturing and service organizations including cost determination, cost analysis and reporting costs for decision making planning and control. Ethical decision making and computer applications are emphasized.",2013
33012,CORPORATE ACCOUNTING II ,ACCT,cumulative 2.500 GPA; and accounting (ACCT) major and minor; and ACCT 33001 and ACCT 33004 both with a minimum grade of C (2.000) .,,"Accounting for long-term liabilities, debt and equity investments leases pensions and other post retirement benefits income tax allocation and owners' equity statement of cash flows. Verbal communication and professional accounting research skills are emphasized.",2013
33061,FINANCIAL REPORTING ISSUES AND ANALYSIS I,ACCT,cumulative 2.500 GPA; and ACCT 23021 or ACTT 11001; not open to accounting (ACCT) majors.,,"Issues relative to the balance sheet, income statement and cash flow statement. Topics include assets, liabilities, owner's equity, revenue recognition, EPS, deferred taxes and pensions. Cannot be counted towards accounting major.",2013
33063,COST CONTROL AND ANALYSIS FOR MANAGEMENT ,ACCT,cumulative 2.500 GPA; and ACCT 23021 or ACTT 11001; not open to accounting (ACCT) majors.,,Cost accounting concepts and procedures; analysis of revenue cost and income variances. Open only to nonaccounting majors; cannot count towards accounting major.,2013
43010,PRINCIPLES OF AUDITING AND CONTROL I,ACCT,cumulative 2.500 GPA; and senior standing; and accounting (ACCT) major; and ACCT 33010 and ACCT 33012 both with a minimum grade of C (2.000) .,,Integration of concepts and practical aspects of auditing. The importance of strong controls is stressed. Ethical decision making and written communication skills are emphasized.,2013
