10123,EXPLORING BUSINESS,BUS,,,(Equivalent to BMRT 11000) An introduction to the basic areas of business with an integrated perspective on how the various areas work together. Technological competencies and communicative skills will be developed. Team building opportunities will be announced. This course is open to any major. This course should be taken sometime during student's first 30 semester hours.,2013
10195,SPECIAL TOPICS,BUS,Permission.,,(Repeatable for credit) Special topics course that will be offered on a semester basis with different topics and different faculty.,2013
20192,INTERNSHIP IN BUSINESS,BUS,Permission.,,(Repeatable for credit) Preparation of research report concurrent with on-the-job experience with cooperating business or other organization.,2013
20195,SPECIAL TOPICS,BUS,Permission.,,(Repeatable for credit) Special topics course that will be offered on a semester basis with different topics and different faculty.,2013
20293,VARIABLE TITLE WORKSHOP IN BUSINESS,BUS,,,(Repeatable for credit) Variable topics.,2013
30123,PROFESSIONAL BUSINESS PRACTICES ,BUS,"BUS 10123, ENG 11011 and COMM 15000.",,"The first of three components of this course includes the ""complete business professional"" where students will learn how to present themselves as business professionals. As part of this component, students will learn about organizational hierarchies, culture and politics. The writing component of the course will address how to use business writing tools properly. Students will learn that concise writing is the standard form of writing for business. The oral communication component will give students practise speaking in a professional style with attention to mode and style of delivery, in addition to content.",2013
30195,SPECIAL TOPICS,BUS,Permission.,,(Repeatable for credit) Special topics course that will be offered on a semester basis with different topics and different faculty.,2013
30234,INTERNATIONAL BUSINESS ,BUS,"ACCT 23020, ECON 22060, ECON 22061, FIN 36053 and MKTG 25010.",,"Learn how international business is affected by the forces of globalization: opportunities, threats and challenges that ensue from hypercompetition, and the institutional checks and balances necessary to prevent complexity deteriorating into chaos.",2013
40192,INTERNSHIP IN BUSINESS,BUS,Permission.,,(Repeatable for credit) Preparation of research report concurrent with on-the-job experience with cooperating business or other organization.,2013
40195,SPECIAL TOPICS,BUS,Permission.,,(Repeatable for credit) Special topics course that will be offered on a semester basis with different topics and different faculty.,2013
