11001,INTRODUCTION TO CONFLICT MANAGEMENT I,CACM,,,"Introduces key elements of conflict management theory and practice such as active listening, assertion, collaborative problem solving, principled negotiation, mediation and nonviolent conflict intervention. These are essential ""life skills"" useful in personal, social and professional contexts. Includes conflict communication skills development and practice.",2013
21002,"GENDER, POWER AND CONFLICT ",CACM,CACM 11001.,,"Examines gender roles and power imbalances in interpersonal relationships and the violence that often results, considering some of the ways in which these imbalances are developed, maintained and addressed.",2013
21010,CROSS-CULTURAL CONFLICT MANAGEMENT ,CACM,,,"Examines cultural components of conflict in diverse settings with special emphasis on the nature and sources of cross-cultural conflict, conflict escalation and de-escalation, and power disparity. Conflict resolution techniques in tune with the cultural values of the parties in conflict are focused upon. Students examine their own cultural assumptions in order to better understand the effect of culture on conflict.",2013
22020,INTERNATIONAL CONFLICT RESOLUTION ,CACM,,,"Provides a wide view of the main theories on causes, expressions and consequences of international conflicts, and explores differing mechanisms for their prevention, resolution and management. Students learn how and why international conflicts appear and progress and learn recent developments on early warning methods, negotiation techniques and peacekeeping and peacebuilding practices. Conflicts covered include international and civil wars as well as topics such as international terrorism.",2013
30000,MAY 4 1970 AND ITS AFTERMATH ,CACM,,,"Study of the events of the 1960s in the US leading up to May 4, 1970 when the Ohio National Guard killed and wounded KSU students protesting the US war in Vietnam and Cambodia. Topics are considered within their cultural, historical, social and political contexts. Also examines the aftermath of May 4th, including the controversy over constructing the Gym Annex on the May 4th site, the legal trials, the role of commemorations and memorials and the politics of remembering May 4, 1970.",2013
31003,NONVIOLENCE: THEORY AND PRACTICE ,CACM,,,Social conflicts can be intensified and waged in a constructive manner through nonviolent action. Examines how nonviolent action methods bring about social and political change. Explores the theory and philosophy underlying strategies of nonviolent action. Utilizes a wide variety of historical and contemporary case examples of nonviolent struggles from across the globe.,2013
31010,CONFLICT THEORY ,CACM,CACM 11001.,,"Explores the theoretical foundations of conflict and conflict management to provide a greater understanding of the nature, sources and dynamics of various types of conflict, the special challenges faced in addressing those conflicts, and the theory underlying various approaches to conflict management and resolution.",2013
32010,EXPLORING CAREERS IN CONFLICT MANAGEMENT ,CACM,,,"Explores various careers that utilize skills in conflict management, strategic planning, negotiation, mediation and nonviolent change. Students examine ways to find jobs in conflict management and social change, and discover how one can create one’s own opportunities for work in the field. Students also develop strategies on how to sell their conflict management training and skills to better compete for positions, and how to expand their skills and marketability through their choice of internships, volunteer work and additional education. Students learn by doing self-assessments, researching possible career choices, interviewing people in a career of interest, reading, interacting with guest speakers in various fields, attending Career Services presentations and doing a variety of activities.",2013
32020,STRATEGIC PLANNING ,CACM,junior standing.,,"Provides training in the principles and tactics of strategic planning for individuals, organizations, agencies and institutions. Students learn to apply the principles of conflict management to strategic planning, including assessing the current environment, developing goals and objectives and establishing a timeline for acting on a strategic plan.",2013
33030,CONFLICT IN THE WORKPLACE ,CACM,CACM 11001.,,"Explores the causes, impact and dynamics of conflict in the workplace. Issues explored include personality conflict, incivility, ethics, teams, management style, diversity, legal issues, alternative dispute resolution, union environments and workplace violence.",2013
