10001,INTRODUCTION TO CONSTRUCTION MANAGEMENT ,CMGT,,,"Serves to introduce the basic terms, concepts, procedures and current trends in the construction industry.",2013
11044,CONSTRUCTION SAFETY ,CMGT,,,"The theories and principles of construction safety and health applied to real-world setting. Upon completion of course materials and required attendance hours, students receive their OSHA 30 certification.",2013
11071,CONSTRUCTION MATERIALS AND METHODS I ,CMGT,,,An introduction to principles of building construction including preparation for the structures and environmental control sequences. Includes a more detailed and systematic look at wood light frame construction.,2013
21071,CONSTRUCTION MATERIALS AND METHODS II ,CMGT,CMGT 11071.,,Ties together steel and concrete structural systems and the integration of building service systems with a focus on the construction and detailing of building enclosure systems.,2013
22200,CONSTRUCTION DOCUMENT READING ,CMGT,,,The reading and understanding of the drawings that are used to communicate information about commercial and residential buildings.,2013
31023,CONSTRUCTION SURVEYING ,CMGT,CMGT 22200.,,The study of surveying including fieldwork using state of the art equipment and its relationship to the construction documents.,2013
31033,MECHANICAL SYSTEMS ,CMGT,,,An overview of mechanical systems in commercial and residential buildings.,2013
31040,ELECTRICAL SYSTEMS FOR CONSTRUCTION MANAGERS ,CMGT,TECH 21021.,,An overview of electrical systems in commercial and residential buildings.,2013
41040,CONSTRUCTION ESTIMATING I I,CMGT,CMGT 22200.,,Introduction to estimating and the quantity takeoff process needed to complete accurate estimates for all types of construction projects.,2013
41041,CONSTRUCTION ESTIMATING II ,CMGT,CMGT 41040.,,"Putting costs to the project, finalizing the bid, incorporating the estimate into the schedule, buying out the project, bidding ethics and using computer spreadsheets including Excel to automate estimating functions.",2013
42105,CONSTRUCTION CONTRACTS AND LAW ,CMGT,,,"The fundamentals of construction contracts and law, the impact of information technology on contracts and contracting, and the effect of contracts and law on the management, administration and the costs of construction work.",2013
42107,CONSTRUCTION SCHEDULING ,CMGT,,,"The traditional theory of planning, scheduling and controlling construction projects. Current industry standard computer applications for scheduling is utilized.",2013
42110,CONSTRUCTION MANAGEMENT CAPSTONE ,CMGT,enior standing.,,The application of all previous construction management courses and experiences to ensure all major learning objectives have been obtained and that these learning objectives can be applied to performance similar to industry practices.,2013
