10120,INTRODUCTION TO EARLY CHILDHOOD SERVICES ,ECED,,,Orientation to the field of early childhood education: historical and present day programs and services for young children 0-8.,2013
20163,UNDERSTANDING YOUNG CHILDREN: TYPICAL AND ATYPICAL PATHWAYS ,ECED,ECED 10120; and special approval.,ECED 30134 and 30164 and 40145 and SPED 23000; and admission to advanced study.,Growth and development of young children from birth to age eight as it occurs along both typical and atypical pathways.,2013
30123,LANGUAGE AND LITERACY FOR THE PRESCHOOL CHILD,ECED,admission to advanced study.,ECED 30142 and ECED 30147 and ECED 40165 and ECED 40192 (ECED Block II) .,(Equivalent to ECET 22130) An examination of the process of language and literacy development in preschool children. The course focuses on how preschool teachers integrate knowledge of development with early school and family literacy learning.,2013
30134,INTEGRATED EXPRESSIVE ARTS AND SOCIAL STUDIES IN PRESCHOOL ,ECED,admission to advanced study.,ECED 20163 and ECED 30164 and ECED 40145 (ECED Block I) .,"Young children's development in the expressive arts and social studies; implications for development of the environment, integrated curriculum and teaching methods for preschool children.",2013
30142,PARTNERSHIPS AND GUIDANCE FOR PRESCHOOL CHILDREN,ECED,admission to advanced study.,ECED 30123 and ECED 30147 and ECED 40165 and ECED 40192 (ECED Block II) .,"(Equivalent to ECET 21005) Appropriate guidance strategies set the foundation for positive experiences our youngest children in school; patterns learned early often set a foundation for primary school entry. This course addresses the concerns of guidance family partnerships and inclusive schooling with preschool children and their educators. It takes a proactive stance, helping teachers develop a constructive guidance approach.",2013
30144,INTEGRATED CURRICULUM FOR SOCIAL STUDIES ,ECED,ECED 30134 and admission to advanced study.,ECED 40114 and 40126 and 40127 and 40128 and 40147 (Block IV) .,"Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field.",2013
30147,EARLY EXPERIENCES IN MATHEMATICS AND SCIENCE I,ECED,C (2.000) or better in MATH 14001 and 14002 and admission to advanced study.,ECED 30123 and ECED 30142 and ECED 40165 and ECED 40192.,Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development.,2013
30164,PRESCHOOL EDUCATION I,ECED,admission to advanced standing.,ECED 20163 and ECED 30134 and ECED 40145 (ECED Block I) .,Integrated curriculum utilizing principles of developmentally appropriate practice in settings for children under five. Field experience two mornings a week. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school or agency before the first day of the semester.,2013
40093,VARIABLE TITLE WORKSHOP IN EARLY CHILDHOOD EDUCATION,ECED,Permission.,,(Repeatable for credit) (Cross-listed with ECED 50093 and ECED 70093) Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent early childhood faculty members and may include experts from outside agencies and other institutions. S u/graded.,2013
40105,APPROPRIATE PHONICS INSTRUCTION FOR KINDERGARTEN AND PRIMARY CHILDREN,ECED,admission to advanced study.,ECED 40107 and 40123 and 40142 (Block III) .,"(Cross-listed with ECED 50105) An examination of phonics in early reading and writing development, effective strategies for teaching and assessing phonics appropriate for kindergarten and primary grade children.",2013
