10160,INTRODUCTION TO GEOGRAPHY ,GEOG,,,"Emphasizes processes that generate diverse global human and environmental patterns. Interaction of geographical elements as expressed in spatial organization of cities, land use and cultural and political regions.",2013
16001,SOIL AND HORTICULTURAL MANAGEMENT ,GEOG,,,"To provide students with an understanding of the relationship of soil, nutrients and fertilizers, and to understand how to properly plant trees, shrubs and flowers. Offered at Salem campus only.",2013
17063,WORLD GEOGRAPHY ,GEOG,,,Examination and comparison of geographic conditions in different regions of the world. Stresses inter-relationships between people and resources within and between regions and countries.,2013
17064,GEOGRAPHY OF THE UNITED STATES AND CANADA ,GEOG,,,A Analysis of the spatial patterns of significant human and physical characteristics and interpretation of the major regions within the two nations.,2013
20195,SPECIAL TOPICS IN GEOGRAPHY,GEOG,,,(Repeatable for credit) Explores emerging topics in geography not covered in other existing courses. Variable content course.,2013
21062,PHYSICAL GEOGRAPHY I,GEOG,,,"Introduction to the study of the spatial characteristics of the Earth's physical environment, including how humans interact with it. Topics include weather and climate, vegetation, soils, ecosystems, landforms and land-formation processes, human impacts on Earth systems and human societal adaptations to the physical environment.",2013
21063,PHYSICAL GEOGRAPHY LABORATORY ,GEOG,,GEOG 21062.,"Practical experience examining physical geographic processes, including the study and manipulation of map projections, Earth-sun relationships and experiments relating to the atmosphere, biosphere, lithosphere and hydrosphere. Corequisite: GEOG 21062.",2013
22040,INTRODUCTION TO GLOBAL TOURISM,GEOG,,,"(Cross-listed with RPTM 26060) Introduction to travel and tourism around the world, including tourism technologies, cultural and natural environments as attractions, benefits of travel, travel ethics, and sustainable development.",2013
22061,HUMAN GEOGRAPHY I,GEOG,,,"Introduction to the field of human geography. Topics include population migration, folk and popular culture, language, religion, ethnicity, political geography, development, agriculture, industry, services, urban patterns and resource problems. Emphasis is placed on historic and current spatial patterns and reasons for their change.",2013
29160,MAPPING OUR WORLD I,GEOG,,,"Introduction to maps and their uses, stressing their importance as a vehicle for understanding and communicating information about our world and its spatial characteristics.",2013
31062,FUNDAMENTALS OF METEOROLOGY ,GEOG,,,"Analysis of weather elements emphasizing energy exchanges and controls, and atmospheric circulation. Methods of weather prediction and man's modification of weather are highlighted.",2013
31064,PRINCIPLES OF CLIMATOLOGY ,GEOG,GEOG 31062.,,"A study of the physical processes causing the distribution of world climates. Focus on local and urban climates, climatic change and societal impacts of climate.",2013
31070,POPULATION AND THE ENVIRONMENT ,GEOG,,,"This course examines the interrelations of population growth, resource depletion and the environment from a geographic perspective including the principal themes of space and place.",2013
31080,GEOGRAPHY OF WINE ,GEOG,,,"Examines the physical environment of viticulture including climate, soil and farm practices; the cultural tradition of wine making, consumption and trade; and regional production styles.",2013
32080,POLITICS AND PLACE ,GEOG,,,"Spatial aspects of political behavior as manifested in boundary changes, the sizes of states, interstate relations and spatial organization.",2013
34070,ECONOMIC GEOGRAPHY ,GEOG,,,"Study of worldwide variations in economic activities, emphasizing both the reasons for and the significance of these variations.",2013
35065,GEOGRAPHY OF TRANSPORTATION AND SPATIAL INTERACTION ,GEOG,,,"Spatial interaction. Study of flows, networks and integrated systems at different spatial scales. Transport and economic development. Models and methods of analysis.",2013
36065,CITIES AND URBANIZATION ,GEOG,,,"Course examines what is a city, how it has evolved over time under changing economic conditions, what is its internal structure and how this has been influenced by transportation developments. Special attention is paid to the causes and consequences of social diversity within the city and how cities differ throughout the world.",2013
37010,GEOGRAPHY OF OHIO ,GEOG,junior standing.,,"Study of Ohio as a distinctive region, its environment and the varied characteristics of its population, its historical geographic development and contemporary patterns and problems.",2013
37040,GEOGRAPHY OF AFRICA ,GEOG,,,"A This course deals with the complex geographical and cultural elements in Africa. It demonstrates how the interaction of these elements has affected Africa's linkages to other continents especially North America. Furthermore it, discusses how this diversity has affected Africa's economic development and political evolution.",2013
37050,GEOGRAPHY OF RUSSIA AND THE COMMONWEALTH OF INDEPENDENT STATES ,GEOG,,,"Study of the physical, economical, political and cultural geography of Russia, Ukraine, Central Asia and other components of the former Soviet Union.",2013
37066,GEOGRAPHY OF EUROPE ,GEOG,,,"Examination of the cultural, economic, political and physical geography of Western and Eastern Europe (excluding the former USSR) .",2013
37070,GEOGRAPHY OF EAST AND SOUTHEAST ASIA ,GEOG,,,"A Analysis of the physical and cultural geography of East and Southeast Asia, extending from Japan and China to Burma and Indonesia.",2013
37079,GEOGRAPHY OF SOUTH ASIA ,GEOG,,,"A Physical and cultural geography of South Asian region including India, Pakistan, Bangladesh, Nepal, Bhutan and the Maldive Islands.",2013
37084,GEOGRAPHY OF SOUTH AMERICA ,GEOG,,,"A Overview of region and survey of each country emphasizes systematic similarities and differences in physical environment, culture, economic development, population, land use, politics and history.",2013
37085,GEOGRAPHY OF CENTRAL AMERICA AND MEXICO ,GEOG,,,"Geographic analysis and interpretation of major regions of Central America, Mexico and the Caribbean. Evaluation of physical environments and development problems.",2013
