11201,ELEMENTARY GERMAN I ,GER,,,An introduction to the German language in the context of the cultures of German-speaking lands.,2013
11202,ELEMENTARY GERMAN II ,GER,GER 11201.,,A continuation of the introduction to the German language in the context of the cultures of German-speaking lands.,2013
21201,INTERMEDIATE GERMAN I ,GER,GER 11202.,,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials.",2013
21202,INTERMEDIATE GERMAN II ,GER,GER 21201.,,Continuation of GER 21201.,2013
31095,SPECIAL TOPICS,GER,Junior standing.,,(Repeatable for credit) Topic announced in schedule of classes.,2013
31201,INTENSIVE GERMAN GRAMMAR ,GER,GER 21202.,,A systematic approach to German grammar and syntax.,2013
31211,GERMAN COMPOSITION AND CONVERSATION ,GER,GER 21202 and special approval.,,Grammar review and practice in writing and speaking German.,2013
31215,GERMAN PHONETICS AND DICTION ,GER,GER 21202.,,Study of the German sound system with emphasis on pronunciation and intonation. Reading and performance of a series of skits and short plays.,2013
31231,TRANSLATION PRACTICE: GERMAN ,GER,,TRST 30230.,Translation practice with German texts using principles and techniques learned in the lecture class. Corequisite: TRST 30230.,2013
31240,CONVERSATION FOR BUSINESS AND SPECIAL PURPOSES: GERMAN I,GER,GER 31211.,,Introduction to the special vocabulary of business and other special subject areas; introduces the concept of language for special purposes and emphasizes the use of special vocabulary in conversations in business and other settings.,2013
31303,INTRODUCTION TO GERMAN LITERATURE I,GER,GER 21202 and GER 31201.,,Introduction to German literature and textual analysis.,2013
31421,GERMAN CIVILIZATION ,GER,Six hours upper division German courses.,,A survey of German history and intellectual life to 1918; taught in German.,2013
41095,SPECIAL TOPICS,GER,Senior standing.,,(Repeatable for credit) (Cross-listed with GER 51095) Topic announced in schedule of classes.,2013
41096,INDIVIDUAL INVESTIGATION,GER,6 hours of upper division German and special approval of the department chairperson.,,(Repeatable for credit) (Cross-listed with GER 51096) Independent investigation of problems in German language or literature.,2013
41211,ADVANCED GERMAN COMPOSITION AND CONVERSATION ,GER,GER 31211.,,Advanced practice in speaking and writing German.,2013
41216,CONTEMPORARY GERMAN CULTURE,GER,Six hours of upper division German courses.,,"(Cross-listed with GER 51216) A study of selected sociological, political, cultural and economic issues in contemporary German- speaking countries using readings, films and legal documents as the basis for discussions. Taught in German.",2013
41230,ADVANCED TRANSLATION PRACTICE: GERMAN ,GER,GER 31231.,,"Theory and practice course that discusses translation theory and emphasizes German-to-English translation of selected texts in business, technology, medicine and law.",2013
41240,BUSINESS AND SPECIAL TEXTS: GERMAN ,GER,GER 31211.,,"Survey of the typical text types of business in the German culture and language. Practice sessions focus on reading and understanding specialized texts, and on the translation and composition of selected special texts in German.",2013
