11570,PERSONAL HEALTH ,HED,,,This course examines the leading causes of death and disability in the United States with an emphasis on the application of knowledge and skills to reduce risk and enhance the quality of life.,2013
11590,COMMUNITY HEALTH EDUCATION I,HED,,,"Identification of community health problems and measures for control. Emphasizes principles, objectives and methods of community health education.",2013
13510,WINNING COMBINATION: HEALTH AND ATHLETES ,HED,Special approval.,,An exploration of strategies for promoting healthy lifestyles for athletes. The course is reserved for varsity athletes.,2013
14020,MEDICAL TERMINOLOGY I,HED,,,"Identification of the meaning of various roots and terms and combining forms that are components of medical words, including anatomical physiological and pathological therapeutic terminology and implications for health literacy.",2013
20000,HEALTH EDUCATION FOR EARLY CHILDHOOD EDUCATORS I,HED,,,"Investigate current health issues relevant to children in preschool environments/primary grades, and identify educational strategies to increase student health knowledge, foster positive health attitudes and promote healthy behaviors.",2013
21030,INTRODUCTION TO HEALTH EDUCATION ,HED,,,This course introduces the student to the health education profession. Roles and responsibilities of health educators in a variety of occupational settings are described.,2013
21050,HEALTH EDUCATION THEORIES ,HED,,,Application of various attitude and behavior models to health and illness behavior in order to develop a framework for educational intervention.,2013
32530,DRUG USE AND MISUSE I,HED,,,Introduction to the study of drug/alcohol abuse. Basic pharmacology of drug actions is reviewed. Common myths misconceptions about drug alcohol use are examined. Current drug problems and related prevention treatment issues are analyzed.,2013
32542,METHODS AND APPLICATIONS OF HEALTH EDUCATION ,HED,HED 11570 and HED 11590.,,"Analysis observation, demonstration and experience in the teaching-learning process utilizing methods, materials and resources appropriate to the preparation of professional health educators. This course includes 50 field/clinical hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned school/agency before the first day of the semester in which student teaching/ internship will take place.",2013
32544,HUMAN SEXUALITY ,HED,,,A study of the role and meaning of human sexuality throughout the life cycle for self and society.,2013
32565,MARKETING IN HEALTH EDUCATION ,HED,,,"Examines the basic elements of marketing processes as they relate to promoting health in communities. Emphasis on application of marketing planning, concepts and practices for service providers involved with health education.",2013
32575,CONSUMER HEALTH ,HED,,,"An overview of the health marketplace including health products, services, financing, promotional practices and consumer protection laws.",2013
34050,PROGRAM PLANNING AND EVALUATION IN HEALTH EDUCATION ,HED,HED 11590 and HED 32542.,,"Provides students with the knowledge and skills to assess health resources and needs, develop health programs to meet specific needs in particular populations and determine appropriate measures to evaluate the effectiveness of health programs.",2013
