12005,APPLICATIONS IN COMPUTER-AIDED DESIGN ,IERT,,,"Course for training on the use of a popular, computer-aided drafting and design software. Practice with the advanced features of the software applicable to modern design in the graphics, mechanical, industrial and electronics fields.",2013
21096,INDIVIDUAL INVESTIGATION IN SYSTEMS/INDUSTRIAL ENGINEERING TECHNOLOGY,IERT,Permission.,,"(Repeatable for credit) Independent, in depth research of a systems industrial engineering technology topic supervised and coordinated by an engineering technology faculty member.",2013
22000,STATISTICAL PROCESS CONTROL ,IERT,Special approval.,,"Process variability, process monitoring, statistical methods using control charts for variables and attributes; acceptance sampling plans; process capability, process adjustment, process improvement.",2013
22001,MOTION AND TIME STUDY ,IERT,,,"Motion economics, SPC, activity charts, methods improvement, use of standard data method of making studies, computerized line balancing.",2013
22003,SUPERVISION AND LABOR RELATIONS ,IERT,,,"Practical methods and techniques for improving supervision and labor relations in industry. Personnel and performance evaluation, implementing policy, labor contracts, collective bargaining, wage and salary administration.",2013
22004,FACILITIES ENGINEERING ,IERT,,,"Principles of facilities engineering to meet production needs. Applications of material-handling devices, plant layout drawings, templates, models and FMS systems.",2013
22005,PRODUCTION AND INVENTORY CONTROL ,IERT,Sophomore standing.,,"Basic principles, objectives and influencing factors of production control in industrial organizations of various kinds and their effects on costs. Applied planning and scheduling.",2013
22006,ECONOMIC DECISION ANALYSIS ,IERT,,,"Economic decision making for industrial engineering technology with applications emphasis, estimating economic elements, interest and economic equivalence, methods of comparing alternatives and evaluating replacement alternatives.",2013
22010,COMPUTER INTEGRATED MANUFACTURING ,IERT,,,"Planning, developing and implementing a strategy to control and coordinate all the engineering production and business operations within a manufacturing enterprise.",2013
22095,SPECIAL TOPICS,IERT,Permission.,,(Repeatable for credit) Special topics in systems/industrial engineering technology.,2013
42095,TRAINING TOPICS IN ENGINEERING TECHNOLOGY,IERT,pecial approval.,,(Repeatable for credit) Specialized advanced instruction oriented primarily to the theoretical base and application of current technology developed by experts in the specific engineering technology discipline. This course requires substantial base knowledge.,2013
43096,INDIVIDUAL INVESTIGATION IN ENGINEERING TECHNOLOGY,IERT,junior standing and special approval.,,(Repeatable for a maximum of 6 credit hours) Work study of an individual nature on a topic in a field of engineering technology.,2013
