12001,ELEMENTARY PHOTOGRAPHY I,JMC,,,Introduction to fundamentals and techniques of still and motion picture photography. Terminal course for students who do not have photography requirements.,2013
20001,"MEDIA, POWER AND CULTURE ",JMC,Not open to journalism and mass communication premajors or majors.,,"Fosters critical understanding of mass media in their historical, ideological, economic and cultural contexts. Examines what forces influence media and how media influence consumers.",2013
20003,INTRODUCTION TO MASS COMMUNICATION I,JMC,Journalism and mass communication (JMC) major.,,Introduction to various fields of mass communication with a particular emphasis on evolution of new media technologies. History of technological and cultural change leading to the present media forms and consideration of new media.,2013
20004,MEDIA WRITING I,JMC,,JMC major or minor.,Introduces students to variety of writing skills used in various media professions and demonstrates how writing types vary by audience. Incorporates grammar skills as part of the writing process. Pre/corequisite: JMC major or minor.,2013
20005,FUNDAMENTALS OF MEDIA MESSAGES ,JMC,Communication studies (COMM) major or fashion merchandising (FM) or community health education (CHED) major.,,"Working with messages for print, broadcast, electronic and new media outlets. Course may not be taken for credit nor applied toward any requirements by a journalism and mass communication (JMC) major.",2013
20006,MULTIMEDIA TECHNIQUES I,JMC,JMC major.,,"Introduction to basic elements of multimedia journalistic storytelling, including the creation of audio, video, slideshows and multimedia packages for distribution via the Internet.",2013
20008,AUDIENCE ANALYSIS AND RESEARCH ,JMC,2.750 cumulative GPA; minimum grade of C- (1.700) JMC 20001 or JMC 20003; and minimum grade of C- (1.700) JMC 20004; and a journalism and mass communication (JMC) major or minor.,,"An overview of the principles used to understand, interpret and design audience research. This includes terminology methodologies of syndicated research, audience ratings analysis and psychographic lifestyle data.",2013
21001,PRINCIPLES OF ADVERTISING ,JMC,,,"Advertising history, purposes, techniques, media and research; analysis of functions of advertising organizations.",2013
21005,ADVERTISING MESSAGING I,JMC,2.750 cumulative GPA; minimum grade of C- (1.700) in JMC 20001 or JMC 20003; and minimum grade of C- (1.700) in JMC 20004 and JMC 21001; and advertising (ADV) major or minor.,,"Introduces students to the history and development of 19th- to 21st-century advertising practices, along with a strong emphasis on college level writing skills.",2013
21008,SOCIAL MEDIA STRATEGIES,JMC,,,"(Cross-listed with COMM 21008) Designed to help students understand and use social media in critical and strategic ways that will improve their lives and careers. Helps students harness the power and potential of the social Web, including strategies used to position and market organizations as well as individuals. Exposes students to the latest social-media applications and to critical views of social media's impact on business, society and culture. Students are also introduced to interaction perspectives of social media, which are embedded within both the communication studies and the journalism and mass communication curriculum. Students emerge from the class with a strategic plan designed to enhance their lives and their careers.",2013
22000,PHOTOGRAPHY BASICS ,JMC,"2.750 overall GPA; integrated language arts (INLA) , electronic media (ELMD) or news (NEWS) major.",,Fundamentals of b/w and color photography and digital manipulation software. Introduction of basic themes of journalistic photography including flash photography. Student furnishes 35mm or APS camera with flash. Disposable cameras not acceptable.,2013
22001,PHOTOGRAPHY ,JMC,art education (ARTE) or visual journalism (VJNL) major.,,Basic camera and digital techniques to provide a better understanding of photography as a creative and journalistic skill.,2013
22002,VIDEOGRAPHY BASICS I,JMC,class. Prerequisites: journalism and mass communication (JMC) or integrated language arts (INLA) or visual communication and design (VCD) major.,,Instruction in basic camcorder videographyvideo editing techniques to provide understanding of processes as creativejournalistic skills and as practical application of knowledge acquired in the,2013
22003,VIDEOGRAPHY BASICS II ,JMC,journalism and mass communication (JMC) major or minor. Pre- or,JMC 22002 with a grade of C- (1.700) or better.,Emphasis on video editing for broadcast news and electronic media production applications using computer video editing skills.,2013
22004,VISUAL STORYTELLING ,JMC,2.750 cumulative GPA; JMC 22001 or VCD 28000; and journalism and mass communication (JMC) or visual communication design (VCD) major.,,"Technical and digital skills needed to produce photos that communicate. Course will stress narrative work, detailed caption information and reporting.",2013
23030,BASIC VIDEO PRODUCTION ,JMC,2.750 overall GPA; and minimum grade of C- (1.700) in JMC 20001 or JMC 20003; and minimum grade of C- (1.700) in JMC 20004 and JMC 22002; and journalism and mass communication (JMC) major.,,Theoretical and practical application of program production for video.,2013
23031,BASIC AUDIO PRODUCTION ,JMC,2.750 overall GPA; and a grade of C- (1.700) or better in JMC 20001 or JMC 20003; and a grade of C- (1.700) or better in JMC 20004 and 22002; and journalism and mass communication (JMC) major or minor.,,Theoretical and practical application of program production for audio production.,2013
26001,MULTIMEDIA NEWSWRITING ,JMC,major or minor in journalism and mass communication (JMC) or major in integrated language arts (INLA) . Pre-/or corequisite: JMC 20001 or 20003.,JMC 20001 or 20003.,Theory and practice in writing basic print and electronic news and feature stories.,2013
26005,MULTIMEDIA STORYTELLING ,JMC,"2.750 cumulative GPA; and a grade of C- (1.700) in COMM 21000 and JMC 26001; and journalism (JNL) , news (NEWS) , public relations (PR) or visual journalism (VJNL) major.",,"Multimedia as story telling tools. Developing the multimedia mindset. Using different delivery platforms and understanding deadlines of various media forms. Formatting stories for webmobile delivery. Learning different multimedia formats. Using multimedia in breaking news situations. Creating multimedia features and packages. Stand alone vs. complementary stories. Learning more about capturing and using video, audio and still photos. Ethical and legal issues surrounding online news reporting and presentation.",2013
26007,PRINT BEAT REPORTING ,JMC,2.750 overall GPA; and JMC 26001 and JMC 26005 and COMM 21000 with a grade of C- (1.700) or better; and journalism and mass communication (JMC) major.,,"Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines. Includes campus reporting for Daily Kent Stater.",2013
26008,BROADCAST BEAT REPORTING ,JMC,2.750 overall GPA; and JMC 20006 and 26001 and COMM 21000 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major.,,"Writing news, developing sources and beats, meeting deadlines as they relate to electronic media. Includes reporting campus news for daily broadcasts.",2013
28001,PRINCIPLES OF PUBLIC RELATIONS ,JMC,,,"Explores strategic role and function of public relations in business, nonprofit public institutions and society. Covers public relations practice from development to present.",2013
30004,WRITING FOR ELECTRONIC MEDIA ,JMC,2.750 overall GPA; and a grade of C- (1.700) or better in JMC 20004; and journalism and mass communication (JMC) major.,,"A Application of standard writing styles and formats in the electronic media. Writing practice in commercials, continuity, promotions and introductory scriptwriting techniques.",2013
30034,PROGRAMMING FOR ELECTRONIC MEDIA ,JMC,2.750 overall GPA; and a grade of C- (1.700) or better in JMC 20004; and journalism and mass communication (JMC) major.,,"A Background analysis of radio, TV, cable and Internet programming and the relationship to audience needs, interests, expectations and audience measurement procedures.",2013
31002,ADVERTISING COPYWRITING ,JMC,2.750 cumulative GPA; minimum grade of C- (1.700) in JMC 20004 and 21001 and 31011; and a journalism and mass communication (JMC) major.,,Examination and practice in various forms of advertising copywriting and their applications.,2013
31003,ADVERTISING MEDIA PLANNING ,JMC,2.750 cumulative GPA; minimum grade of C- (1.700) in JMC 20004 and 20008 and 21001; and a journalism and mass communication (JMC) major.,,"Analysis, selection and scheduling of advertising media. Examination of advertising research, technique and application.",2013
31011,CREATIVE ADVERTISING STRATEGIES ,JMC,2.750 overall GPA; and a grade of C- (1.700) or better in JMC 20004 and JMC 21001.,,"Ad majors learn problem-solving techniques, which they will apply to business and creative proposals designed to promote products and or services. Development of good, clear writing skills is a key component of the course.",2013
32001,PHOTOJOURNALISM I ,JMC,2.750 overall GPA; and minimum C- (1.700) in JMC 22004 and JMC 22001 and JMC 26001 and VCD 37000; and journalism and mass communication (JMC) major,,"Production of photographs for newspapers, magazines and online news media. A laboratory course emphasizing color and black and white photography.",2013
32002,PHOTOJOURNALISM II,JMC,2.750 overall GPA and JMC 32001 with a grade of C- (1.700) or better and a journalism and mass communication (JMC) major.,,"(Repeatable once for credit) Continuation of JMC 32001. Advanced news and feature photography for newspapers, magazines and online including a collaborative project.",2013
32005,VIDEO FOR STILL PHOTOGRAPHERS ,JMC,JMC major; and 2.750 overall GPA; and minimum grade of C- (1.700) in JMC 22004 and JMC 26001.,,"Teaches video skills for photojournalists, including interviewing, establishing a narrative, editing, and how video is paired with the written story.",2013
33024,PERFORMANCE FOR ELECTRONIC MEDIA ,JMC,2.750 overall GPA and JMC 20003 with a grade of C- (1.700) or better.,,A Development of effective communication techniques in performance situations for electronic media.,2013
