10010,INFORMATION FLUENCY,LIS,,,"(Cross-listed with LIB 10010) Teaches information and technology skills critical to college success, enabling students to become information fluent--able to find and evaluate information in a variety of contexts and formats, using a variety of technologies, to achieve specific objectives in effective and socially responsible ways.",2013
30010,INFORMATION FLUENCY IN THE WORKPLACE AND BEYOND,LIS,,,"(Cross-listed with LIB 30010) Teaches information access, technology, and media literacy skills which enables student to become, not only information literate, but also information fluent - able to move seamlessly among multiple information sources and technologies resources to fill their informational needs, whether in the classroom or the workplace.",2013
40693,VARIABLE TITLE WORKSHOP IN LIBRARY AND INFORMATION SCIENCE,LIS,Junior or senior standing and special approval.,,(Repeatable for credit) Intensive examination of special topics of interest.,2013
41095,SELECTED TOPICS IN LIBRARY SCIENCE,LIS,Permission.,,(Repeatable for credit) Topics will be announced in schedule of classes. Offered irregularly as resources and opportunities permit.,2013
50693,VARIABLE TITLE WORKSHOP-LIBRARY AND INFORMATION SCIENCE,LIS,Graduate standing.,,(Repeatable for credit) Maximum workshop credit accepted for MLIS degree is 4 semester hours. Intensive examination of special topics of interest to practicing librarians.,2013
60000,TOOLS FOR MASTER OF LIBRARY AND INFORMATION SCIENCE SUCCESS ,LIS,graduate standing.,,"Provides an overview of the MLIS program and LIS professions. Teaches basic social, communication, and technology skills to succeed in the MLIS program and beyond.",2013
60001,ACCESS TO INFORMATION ,LIS,Graduate standing. This course is not open to students in non-degree programs.,,"Examination of information access issues. Topics include discussion of information needs, use of information sources and information access services.",2013
60002,ORGANIZATION OF INFORMATION I,LIS,Graduate standing. This course is not open to students in non-degree programs.,,"Introduction to the theory and practice of organizing information in various information environments. Familiarity with principles, standards, tools and current systems relating to organization of information.",2013
60003,INFORMATION TECHNOLOGY FOR LIBRARY AND INFORMATION PROFESSIONALS ,LIS,Graduate standing. This course is not open to students in non-degree programs.,,"Provides basic information technology concepts and skills necessary for library and information professionals. Topics include computer hardware and software basics; operating systems; file management; software installation and configuration; basic PC applications; information systems concepts, development and evaluation; search skills; Internet and the Web concepts, tools and applications; emerging technologies and skills.",2013
60199,THESIS I ,LIS,Special approval and graduate standing.,,"Thesis student must register for a total of 6 hours, 2 to 6 hours in a single semester, distributed over several semesters if desired.",2013
60299,THESIS II ,LIS,LIS 60199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2013
