18000,INTRODUCTION TO PARALEGAL STUDIES ,PLST,,,"An overview of the legal system and the role of a paralegal professional. Includes legal terminology, types of laws, research, litigation, interviewing and office management.",2013
28001,LEGAL RESEARCH AND WRITING I,PLST,,,"In-depth analysis of the legal research process, development of legal writing skills, opportunities to utilize research and writing skills are integrated into the course.",2013
28003,FAMILY LAW AND PROCEDURE ,PLST,,,"Designed to acquaint the student with family law substance and practice. Covers definitions, terminology, topical areas and the philosophy underlying family law practice.",2013
28004,PRINCIPLES AND PRACTICE OF LITIGATION ,PLST,,,"Provides an introduction to the rules of civil procedure, statutes of limitation, and discovery. Included in this course is a discussion of the role of the paralegal in preparation for litigation.",2013
28007,ESTATE AND PROBATE ADMINISTRATION ,PLST,PLST 18000.,,"A study of legal principles applicable to wills, organization and jurisdiction of probate court, estate administration in probate and tax considerations in estate administration.",2013
35001,ENVIRONMENTAL LAW FOR PARALEGALS ,PLST,ophomore standing.,,"Acquaints the student with the various federal and state statutes, administrative rules and case law that govern environmental regulation. International environmental law is also studied.",2013
35003,HEALTH LAW ,PLST,ophomore standing.,,"Makes the student familiar with legal topics in the field of health care including federal and state statutes governing the health care industry in the United States. Specific topics include insurance, privacy, malpractice, fraud, Medicare, Medicaid, health records, labor law-related issues and clinical research.",2013
35005,LABOR AND EMPLOYMENT LAW FOR PARALEGALS ,PLST,ophomore standing.,,"Provides a foundation in the areas of labor law, employment law, and employment discrimination law. Requires in-depth study of constitutional, statutory, administrative, and case law at both the federal and state level.",2013
35007,ENERGY AND NATURAL RESOURCE LAW ,PLST,ophomore standing.,,"Acquaints the student with the various sources of law that govern energy production and the harvesting of natural resources in the United States. Statutory, administrative, and case law at the federal and state levels are explored.",2013
36792,INTERNSHIP IN PARALEGAL,PLST,PLST 18000 and 28001 and 28004.,,"(Repeatable for credit) Work experience under direction of supervising faculty member in the following entities: private law firms, legal service/legal aid offices, law departments or corporations and government agencies.",2013
38002,CONTRACT LAW I,PLST,ophomore standing.,,"Intended to provide the student with an in-depth analysis of basic contract law as such related to contact information, performance and remedies. Also intended to familiarize the student with the sources of law that define contracts with an emphasis on reading and understanding case law. The student also develops a vocabulary of legal terms so that the student may assist the legal practitioner in the representation of clients in business transactions and in disputes.",2013
38003,ADMINISTRATIVE LAW AND PROCESS ,PLST,ophomore standing.,,"The substantive and procedural aspects of administrative law are covered in this course. Specific topics include the regulation of public utilities, transportation agencies, employment, food and drugs and the environment.",2013
38004,LEGAL ETHICS AND PROFESSIONAL RESPONSIBILITY I,PLST,sophomore standing.,,"Introduces students to the types of ethical dilemmas that they will face once in the work force, to the ethical rules developed by the American Bar Association and to methods for researching the answers to ethical dilemmas.",2013
38005,TORT LAW ,PLST,ophomore standing.,,"Focus is on tort and personal injury law. Specific topics include intentional torts, negligent torts, strict liability, vicarious liability, product liability and business torts. Defenses to tort and product liability are also discussed.",2013
38006,APPLIED LEGAL RESEARCH AND LITIGATION,PLST,PLST 28001.,,"ovides for intense case analysis and preparation of argumentative memorandum, including writing of factual memoranda, file summaries and advocacy letters.",2013
48300,LAW OF CORPORATIONS AND OTHER ASSOCIATIONS ,PLST,ophomore standing.,,"Covers the formation, operation and dissolution of various kinds of business organizations. Subjects covered include sole proprietorships, corporations, partnerships, the law of agency and employment agreements.",2013
48401,PATENT LAW ,PLST,ophomore standing.,,"Provides the student with an in-depth analysis of the law pertaining to patents, stressing the ability of the owner to protect their rights through filing, registration and use. International issues concerning registration, use, and trade agreements are also covered.",2013
48402,COPYRIGHT AND TRADEMARK LAW ,PLST,ophomore standing.,,"Provides the student with an in-depth analysis of the law pertaining to copyrights, trademarks and trade secrets. Stresses the ability of the owner to protect such rights through use and registration.",2013
