16000,FOUNDATIONS OF RECREATION AND LEISURE ,RPTM,,,"Historical examination of the park and recreation movement, sociological, economic, psychological and political considerations for the delivery of leisure and recreation services in contemporary society.",2013
26001,INTRODUCTION TO COMMUNITY INCLUSION FOR INDIVIDUALS WITH DISABILITIES I,RPTM,,,"Interdisciplinary exploration of conceptual theoretical, philosophical and legal aspects related to inclusion of individuals with disabilities in community life.",2013
26010,COMMUNITY DEVELOPMENT IN RECREATION ,RPTM,RPTM 16000.,,"Explores the contemporary and historical roles, organization and services of public and non-profit leisure service providers. Includes various theoretical perspectives on community organization and development as well as methods available to the recreation practitioner to facilitate the development of recreation services in communities.",2013
26030,RECREATION GROUP LEADERSHIP ,RPTM,,,"Group leadership concepts, methods and techniques. Practical experience in planning and conducting recreational activities for a variety of populations. Pre- or co-requisite: RPTM 16000.",2013
26060,INTRODUCTION TO GLOBAL TOURISM,RPTM,,,"(Cross-listed with GEOG 22040) Introduction to travel and tourism around the world, including tourism technologies, cultural and natural environments as attractions, benefits of travel ethics and sustainable development.",2013
26071,MAIN AND OPER OF AREAS ,RPTM,RPTM 16000.,,A systems approach for the effective maintenance and operation of areas and facilities.,2013
26081,PRINCIPLES OF OUTDOOR RECREATION I,RPTM,,,"Introduction to outdoor recreation including historical and cultural perspectives, outdoor recreation resources, environmental aspects, trends and management.",2013
36010,"RECREATION, LEISURE AND AGING ",RPTM,,,Knowledge and understanding of leisure and aging. Planning and implementing recreation programs and activities for enriching the lives of older persons.,2013
36040,INCLUSION OF PEOPLE WITH DISABILITIES IN LEISURE SERVICES ,RPTM,RPTM 26030.,,"An examination of attitudes toward people with disabilities, characteristics of various disability groups, the role and responsibility of leisure service providers to be inclusive of all individuals and techniques for adapting programs.",2013
36060,COMMERCIAL RECREATION AND TOURISM ,RPTM,RPTM 26060.,,"Principles of commercial recreation and tourism services, including entrepreneurship, economic concepts of the for-profit recreation industries and management skills.",2013
