Course Number,Course Name,Department,Prerequisites,Description
10001,Understanding Architecture,ARCH,special approval; prior written agreement with faculty is required,"The nature of the built environment, its forms and functions are explored within the cultural contexts of ecology, technology, human behavior, symbolism, art and history."
10011,Survey of Architectural History I,ARCH,special approval; prior written agreement with faculty is required,History of architecture from Neolithic times through the 14th century.
10012,Survey of Architectural History II,ARCH,special approval; prior written agreement with faculty is required,History of Western architecture from the Renaissance to the early 20th century.
10093,Workshop: Variable Title (1-3)*(Repeated registration permissible) Variable topics. S/U grading. Prerequisite: special approval.10101 First Year Design Studio I,ARCH,special approval; prior written agreement with faculty is required,"Introduction to the fundamental principles of visual organization, structural organization, graphic communications, historical precedence and current directions in architecture. Graphic techniques include freehand drawing and technical orthographics, axonometrics and perspectives."
10102,First Year Design Studio II,ARCH,special approval; prior written agreement with faculty is required,"Investigations into strategies of form making through the introduction of client, type, context, site and form/space theories, 2-D and 3-D representation techniques and analysis of related reference architects."
10111,History of Architecture I,ARCH,special approval; prior written agreement with faculty is required,History of architecture from pre-history through the Gothic period.
10121,Representation of Design I,ARCH,special approval; prior written agreement with faculty is required,"A survey of the techniques and assumptions of basic architectural design concepts and representation of the built environment through analytical and synthetic exercises that introduce fundamental design skills. In order to integrate students into the college and the field, the exercises are supplemented by readings in contemporary visual culture."
10122,Representation of Design II,ARCH,special approval; prior written agreement with faculty is required,"Continuation of ARCH 10121 with an emphasis on 3-D thinking and representation, critical skills and the role of images in architectural culture and society. The course also introduces the wider application of design principles in graphic design, digital media and the visualization of information."
10121,"with an emphasis on 3-D thinking and representation, critical skills and the role of images in architectural culture and society. The course also introduces the wider application of design principles in graphic design, digital media and the visualization of information. Prerequisite: ARCH 10101 or 10121.20101 Second Year Design Studio I",ARCH,special approval; prior written agreement with faculty is required,The introduction of a building design process that emphasizes the integration of program requirements with specific form topologies using line and plane as the primary elements to provide shape and space.
20102,Second Year Design Studio II,ARCH,special approval; prior written agreement with faculty is required,The introduction of a building design process that emphasizes the integration of program requirements with form typologies that are both influenced and informed by specific site context. Line and plane and primary configural shapes are again incorporated to develop building form solutions.
20112,History of Architecture II,ARCH,special approval; prior written agreement with faculty is required,History of architecture from the Medieval era through the 19th century. Prerequisites: architecture (ARCH) or architectural studies (ARCS) major.20113 History of Architecture III (3)A history of 20th-century architecture.
20113,History of Architecture III,ARCH,special approval; prior written agreement with faculty is required,A history of 20th-century architecture.
20112,and architecture (ARCH) or architectural studies (ARCS) major.20121 Studio for Architectural Studies I,ARCH,special approval; prior written agreement with faculty is required,"An introduction to basic issues in architectural design and composition. Through sketch projects and design exercises in a variety of media, students gain a familiarity with basic architectural problems and the kinds of thinking architects use to address those problems."
10122,or 10102.20122 Studio for Architectural Studies II,ARCH,special approval; prior written agreement with faculty is required,Studio allows students to further develop their design skills in relation to a theme or shared research topic that crosses the disciplinary boundaries of architecture and challenges conventional ideas of the role design can play in developing knowledge.
20121,or 20101.20201 Beyond Western Architecture,ARCH,special approval; prior written agreement with faculty is required,Course introduces students to the broad realm of contributions to world architecture made by cultures and civilizations which were not in the traditional sphere of Western/European influence.
10111,and 20112.20301 Introduction to Building Structures,ARCH,special approval; prior written agreement with faculty is required,"An introduction to building structures, statics, strength of materials, analysis for shear-moment-displacement, loads including dead-live-wind-earthquake and building code requirements for structural safety. Prerequisites: open to junior and senior architecture (ARCH) or architectural studies (ARCS) or fine arts (ARTS) or interior design (ID) majors.20601 Computer Applications in  Architecture I (1-3)Course provides a basic understanding of two-dimensional CAD operations, parametric building design and building information modeling (BMI)."
