Course Number,Course Name,Department,Prerequisites,Description
25300,Textile Arts: Pattern,ARTC,ARTC 35702,"An introduction to the concepts and processes of constructed pattern including plaiting, netting and weaving. Off-loom and floor loom explorations will emphasize the relationship of form and structure in textile art. An emphasis is placed on the use of non-traditional or experimental materials. Required for all craft majors. Prerequisites: ARTF 14000 and 14022. Special fee: $45 flat fee—subject to change.25400 Ceramics I (3)This course is an introduction to ceramics as an artistic medium with focus on the handbuilding of clay objects using the pinch, coil and slab methods of construction. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.25500 Enameling I (3)Testing and exploration of vitreous enamel as creative medium. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.25600 Introduction to Glass Working (3)Introduction to studio glass through technique and brief history. Both basic glass blowing and glass casting techniques and problems will be covered. Prerequisites: ARTF 14000 and 14022. Special fee: $189 flat fee—subject to change.25700 Introduction to Jewelry/Metals (3)Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics (3)Specialized courses in crafts that focus on specific techniques and media."
14000,and 14022. Special fee: $45 flat fee—subject to change.25400 Ceramics I,ARTC,ARTC 35702,"This course is an introduction to ceramics as an artistic medium with focus on the handbuilding of clay objects using the pinch, coil and slab methods of construction. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.25500 Enameling I (3)Testing and exploration of vitreous enamel as creative medium. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.25600 Introduction to Glass Working (3)Introduction to studio glass through technique and brief history. Both basic glass blowing and glass casting techniques and problems will be covered. Prerequisites: ARTF 14000 and 14022. Special fee: $189 flat fee—subject to change.25700 Introduction to Jewelry/Metals (3)Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics (3)Specialized courses in crafts that focus on specific techniques and media."
14000,and 14022. Special fee: $150 flat fee—subject to change.25500 Enameling I,ARTC,ARTC 35702,"Testing and exploration of vitreous enamel as creative medium. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.25600 Introduction to Glass Working (3)Introduction to studio glass through technique and brief history. Both basic glass blowing and glass casting techniques and problems will be covered. Prerequisites: ARTF 14000 and 14022. Special fee: $189 flat fee—subject to change.25700 Introduction to Jewelry/Metals (3)Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics (3)Specialized courses in crafts that focus on specific techniques and media."
14000,and 14022. Special fee: $150 flat fee—subject to change.25600 Introduction to Glass Working,ARTC,ARTC 35702,"Introduction to studio glass through technique and brief history. Both basic glass blowing and glass casting techniques and problems will be covered. Prerequisites: ARTF 14000 and 14022. Special fee: $189 flat fee—subject to change.25700 Introduction to Jewelry/Metals (3)Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics (3)Specialized courses in crafts that focus on specific techniques and media."
14000,and 14022. Special fee: $189 flat fee—subject to change.25700 Introduction to Jewelry/Metals,ARTC,ARTC 35702,"Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works. Prerequisites: ARTF 14000 and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics (3)Specialized courses in crafts that focus on specific techniques and media."
14000,and 14022. Special fee: $150 flat fee—subject to change.35095 Crafts: Selected Topics,ARTC,ARTC 35702,Specialized courses in crafts that focus on specific techniques and media.
25300,or 25400 or 25500 or 25600 or 25700. Special fee: $135 flat fee—subject to change.35300 Textile Arts: Dimensional,ARTC,ARTC 35702,An introduction to the development of unique sculptural objects in textile media. Students will explore three-dimensional textile processes using the floor loom and the construction method of wrapping and coiling.
35301,Fiber Arts: Screen and Block Printing,ARTC,ARTC 35702,"Exploration and development of fabric printing and dyeing including monoprinting and screen printing with emphasis on design and developing studio competency in medium as art form. Prerequisites: ARTF 14060 and 24040. Special fee: $75 flat fee—subject to change.35302 Textile Arts: Feltmaking (3)An opportunity for the in-depth exploration of technical and aesthetic possibilities of this unique process. Layers and textures in two dimensions and processes for three-dimensional feltmaking are introduced and considered as an expressive vocabulary. Dyeing of wool fleece plays a major role in the course. Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35303 Textile Arts: Tapestry (3)An introduction to a variety of traditional pictorial tapestry/weft face techniques to be executed on the frame loom and/or floor loom. Both tapestry and carpet history are presented to reveal traditional processes, patterns and images for inspiration in the creation of individual works. Dyeing will play a major role in the exploration. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35304 Textile Arts: Pictorial Weaving (3)An introduction to floor loom weaving processes that facilitate the development of nonrepetitive patterns and images. Techniques such as warp painting, supplementary weft and pick-up doubleweave will be explored as means of creating pictorial art cloth. Textile history will be presented as an important resource for the development of woven studies and individually conceived projects. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35350 Textile Arts: Design and Production (3)A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.) Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II (3)Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
14060,and 24040. Special fee: $75 flat fee—subject to change.35302 Textile Arts: Feltmaking,ARTC,ARTC 35702,"An opportunity for the in-depth exploration of technical and aesthetic possibilities of this unique process. Layers and textures in two dimensions and processes for three-dimensional feltmaking are introduced and considered as an expressive vocabulary. Dyeing of wool fleece plays a major role in the course. Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35303 Textile Arts: Tapestry (3)An introduction to a variety of traditional pictorial tapestry/weft face techniques to be executed on the frame loom and/or floor loom. Both tapestry and carpet history are presented to reveal traditional processes, patterns and images for inspiration in the creation of individual works. Dyeing will play a major role in the exploration. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35304 Textile Arts: Pictorial Weaving (3)An introduction to floor loom weaving processes that facilitate the development of nonrepetitive patterns and images. Techniques such as warp painting, supplementary weft and pick-up doubleweave will be explored as means of creating pictorial art cloth. Textile history will be presented as an important resource for the development of woven studies and individually conceived projects. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35350 Textile Arts: Design and Production (3)A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.) Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II (3)Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
14022,and 14060. Special fee: $75 flat fee—subject to change.35303 Textile Arts: Tapestry,ARTC,ARTC 35702,"An introduction to a variety of traditional pictorial tapestry/weft face techniques to be executed on the frame loom and/or floor loom. Both tapestry and carpet history are presented to reveal traditional processes, patterns and images for inspiration in the creation of individual works. Dyeing will play a major role in the exploration. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35304 Textile Arts: Pictorial Weaving (3)An introduction to floor loom weaving processes that facilitate the development of nonrepetitive patterns and images. Techniques such as warp painting, supplementary weft and pick-up doubleweave will be explored as means of creating pictorial art cloth. Textile history will be presented as an important resource for the development of woven studies and individually conceived projects. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35350 Textile Arts: Design and Production (3)A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.) Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II (3)Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
