Course Number,Course Name,Department,Prerequisites,Description
12001,Art Survey,ARTH,major in art history (ARTH) or special approval of instructor,An introduction to the history of art emphasizing analysis and interpretation of visual art forms. The course will also focus on the functions and meaning of Western and non-Western art traditions. No credit for art majors.
22006,Art History I: Ancient and Medieval Art,ARTH,major in art history (ARTH) or special approval of instructor,Examination and interpretation of the major monuments of Western art and architecture from Paleolithic art to late Gothic art. The impact of non-Western traditions will be included as appropriate.
22007,Art History II: Renaissance to Modern Art,ARTH,major in art history (ARTH) or special approval of instructor,"Major movements and artists in painting, sculpture and allied arts of Europe and America from early Renaissance in Italy until the present day. The impact of non-Western traditions will be included as appropriate."
22020,"Art of Africa, Oceania, and the Americas",ARTH,major in art history (ARTH) or special approval of instructor,"Stylistic and historical investigation of the art and architecture of the traditional societies of Africa, Oceania and the Americas within an art historical and cross-cultural perspective."
32066,Late Modern Art,ARTH,major in art history (ARTH) or special approval of instructor,"Painting, sculpture and allied arts in the United States and Europe from 1940 to the present."
1940,to the present. Prerequisite: ARTH 22007. Special fee: $45 flat fee—subject to change.42000 Research and Writing in Art History,ARTH,major in art history (ARTH) or special approval of instructor,Introduction to the basic techniques and resources for art history research. Provides assistance in the preparation of research papers and critical essays required by upper-division art history courses. Corequisite: upper-division art history (ARTH) course.
42021,Arts of India and Southeast Asia,ARTH,major in art history (ARTH) or special approval of instructor,Examination of sources and styles of Indian and Southeast Asian art from prehistoric to modern.
42022,The Arts of China,ARTH,major in art history (ARTH) or special approval of instructor,Examination of sources and styles of Chinese art from prehistoric to recent times.
42023,The Arts of Japan,ARTH,major in art history (ARTH) or special approval of instructor,Examination of sources and styles of Japanese art from prehistoric to recent times.
42025,Art of West Africa,ARTH,major in art history (ARTH) or special approval of instructor,"Arts, crafts and architecture of the Western Sudanic and Guinea Coast areas of West Africa from prehistoric times to the present."
42026,Art of Nigeria,ARTH,major in art history (ARTH) or special approval of instructor,"Study of the arts, crafts and architecture of Nigeria from prehistoric times to the present."
42027,Art of Central Africa,ARTH,major in art history (ARTH) or special approval of instructor,"Comparative study of the arts, crafts and architecture of Central Africa from prehistoric times to the present."
42031,Greek Art and Archaeology,ARTH,major in art history (ARTH) or special approval of instructor,(Cross-listed with CLAS 41401) Greek art and architecture from earliest times through Hellenistic period with special attention given to recent archaeological discoveries.
42032,Roman Art and Archaeology,ARTH,major in art history (ARTH) or special approval of instructor,"(Cross-listed with CLAS 41402) Introduction to archaeology of Roman world. Emphasis on discoveries and impact on study of Italic, Etruscan and Roman art, architecture and sculpture through Imperial period."
42036,Medieval Art,ARTH,major in art history (ARTH) or special approval of instructor,"Emphasis on major period of Medieval art (Byzantine, Carolingian, Ottonian, Romanesque and Gothic), treating iconographic themes and styles in a variety of media."
42039,"Gothic Art, 12th to 15th Centuries",ARTH,major in art history (ARTH) or special approval of instructor,"An examination of the development of European Gothic art from the 12th century to the 15th century. Emphasis on the ties to contemporary philosophical and literary developments. Prerequisites: ARTH 22006 and 22007.42041 Italian Renaissance Art (3)Study of development of major themes in Italian art from 1400 until c. 1550, emphasizing achievements of the masters and analyzing major ideas and theories of the period."
22006,and 22007.42041 Italian Renaissance Art,ARTH,major in art history (ARTH) or special approval of instructor,"Study of development of major themes in Italian art from 1400 until c. 1550, emphasizing achievements of the masters and analyzing major ideas and theories of the period."
1400,"until c. 1550, emphasizing achievements of the masters and analyzing major ideas and theories of the period. Prerequisite: junior or senior standing. Special fee: $45 flat fee—subject to change.42042 Northern Renaissance Art",ARTH,major in art history (ARTH) or special approval of instructor,"Study of stylistic and iconographic questions and technique in Northern panel painting, as well as other arts in Northern Europe."
42043,The High Renaissance and Mannerism in Italy,ARTH,major in art history (ARTH) or special approval of instructor,"Covers late 15th-and 16th-century painting, sculpture and architecture in Italy. Following discussion of the High Renaissance masters, students examine the works collectively known as the Mannerists. Course gives students a firm grounding in the manifold artistic activity of the 16th century."
42044,Venetian Renaissance Art,ARTH,major in art history (ARTH) or special approval of instructor,"Course provides a survey of Venetian painting, sculpture and architecture from the late 1300s to the late 1500s. Upon completion, students have a comprehension of the interrelationship of Venetian art with its unique environment and society."
42046,Baroque Art of the 17th Century,ARTH,major in art history (ARTH) or special approval of instructor,"Study of the origins of Baroque art in Italy and its spread throughout Flanders, the Netherlands, France and Spain."
42047,Rococo Art in the 18th Century,ARTH,major in art history (ARTH) or special approval of instructor,Study of 18th-century art in France and subsequent spread and development throughout continental Europe.
42051,European Art and Ideas: 1750-1900,ARTH,major in art history (ARTH) or special approval of instructor,"Selected studies in late 18th-century and 19th-century British, French, German and Spanish art and architecture within the broader context of Western culture and ideas."
42056,American Art: 1607-1860,ARTH,major in art history (ARTH) or special approval of instructor,"Intensive survey of the major forms of art, styles, personalities, patrons, institutions and aesthetic theories in the United States from its beginning to the Civil War."
42057,American Art and Architecture: 1860-1940,ARTH,major in art history (ARTH) or special approval of instructor,"In-depth study of American painting, sculpture, graphic art, architecture and allied arts from the Civil War to 1940."
42058,History of Photography,ARTH,major in art history (ARTH) or special approval of instructor,Investigation of photography from the 19th century to present day.
42061,Early 20th-Century Art,ARTH,major in art history (ARTH) or special approval of instructor,"Study of painting, sculpture, architecture and allied arts in Europe from 1880 to 1940."
1880,to 1940. Prerequisite: ARTH 22007. Special fee: $45 flat fee—subject to change.42062 Picasso,ARTH,major in art history (ARTH) or special approval of instructor,"Course provides a survey of the art of Picasso, starting with his childhood works. Students gain a better understanding of Picasso’s pivotal importance to 20th-century art and the various influences that cultivated his incredible creativity."
42063,American Art: European Roots,ARTH,major in art history (ARTH) or special approval of instructor,Examines the role of European roots in the formation of American art. The complex issues and identities artists faced as a result of the expatriate experience are addressed.
42067,Art of the 1960s,ARTH,major in art history (ARTH) or special approval of instructor,"A survey of major movements of the sixties decade, with primary emphasis on the United States."
