Course Number,Course Name,Department,Prerequisites,Description
19201,Elementary American Sign Language I,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 19201) Introduction to American Sign Language and the culture of the American signing community, in an immersion setting."
19202,Elementary American Sign Language II,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 19202) A continuation of the introduction to American Sign Language and the culture of the American signing community, in an immersion setting."
19201,or SPED 19201.29201 Intermediate American Sign Language I,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 29201) Continued development of receptive and expressive skills in American Sign Language and an introduction to ASL grammar, using a bilingual-bicultural approach and interaction with deaf organizations."
19202,or SPED 19202.29202 Intermediate American Sign Language II,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 29202) Continuation of ASL 29201 with an emphasis on greater exploration of American Sign Language sentence structure using a bilingual-bicultural approach. Students are involved in a community service project, providing a hands-on experience with using ASL within a community setting."
29201,"with an emphasis on greater exploration of American Sign Language sentence structure using a bilingual-bicultural approach. Students are involved in a community service project, providing a hands-on experience with using ASL within a community setting. Prerequisite: ASL 29201 or SPED  29201.39201 Advanced American Sign Language I",ASL,ASL 29202 and 49309 and special approval,(Cross-listed with SPED 39201) Students enhance receptive and expressive proficiency in an immersion setting through the use of both planned and impromptu in-class discussion of current and historic events and involvement in a community service project. Students are advised to begin planning this activity early in the semester.
29202,or SPED 29202.39202 Advanced American Sign Language II,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 39202) Students continue to increase their receptive and expressive proficiency in American Sign Language in an immersion setting, through in-class formal and informal presentations, discussions of current and historical events, and working in groups to complete a semester project and a community service project."
39201,"or SPED 39201. 49092 Practicum in American Sign Language(1-3)(Cross-listed with SPED 43092) In consultation with the ASL program coordinator, ASL  student design a practicum experience related to signed languages and their communities. Successful presentation of cumulative portfolio required prior to registration. S/U grading. Prerequisites: ASL 29202 or SPED 29202; and special approval.49096 Individual Investigation (2-3)(Cross-listed with SPED 43996) Individual investigation of problems in American Sign Language, ASL pedagogy and/or deaf culture. IP grade permissible. Prerequisite: departmental special approval.49108 American Sign Language Linguistics I",ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 43108) Lecture, discussion and application course designed to introduce students to basic linguistic terminology and concepts, as applied to American Sign Language (ASL) and taught using a bilingual-bicultural approach. Both ASL  and English are used in the instruction of the class. Successful presentation of cumulative portfolio required prior to registration."
49109,"American Sign Language Linguistics IIThrough lecture, in-class and out-of-class activities, and in-class presentations, students discuss, use and respond to varied sentence structures and types of discourse in ASL, and compare these to English. Class is predominantly taught in ASL, but may at times us a bilingual approach. Prerequisite: ASL 49108.49201 Advanced Proficiency",ASL,ASL 29202 and 49309 and special approval,"Students improve knowledge and use of American Sign Language and experiential knowledge of ASL culture through development, production, critique, revision and evaluation of an extended ASL presentation. This is an immersion class; voicing will not be used."
39202,and passage of the Sign Language Proficiency Interview (SCPI).49309 Introduction to Deaf Studies,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 43309) Introductory survey course provides informational base and understanding of experiences of deaf people as a cultural minority. Includes etiology and prevalence data, service delivery systems, diagnosis and assessment of issues and communication systems. 20 field hours."
49350,American Sign Language Literature,ASL,ASL 29202 and 49309 and special approval,"Through the use of multimedia resources, students explore the evolution of Deaf literature, its historical context and multiple perspectives, and the techniques specific to ASL which make it unique. Conducted primarily in ASL, with some voicing and printed English."
39201,and 49309 and special approval.49401 Deaf Culture and Community,ASL,ASL 29202 and 49309 and special approval,"(Cross-listed with SPED 43101) Students explore the different voices and perspectives which have been, and are, present within the Deaf community, issues of controversy, myths and data, using a mix of ASL and English materials and discussion. Successful presentation of cumulative portfolio required prior to registration."
29202,"and 49309 and special approval.49601 Activity Design, Implementation and Evaluation",ASL,None,"Students improve receptive and expressive skills and develop ability to analyze and break down specific ASL skills into more basic components; voicing is not used. In addition to classroom time, a minimum of  90 minutes per week working in the KSU ASL lab and/or (with permission) off-campus site. Prerequisites: ASL 39202 and passage of the Sign Language Proficiency Interview (SCPI) at an intermediate level.  This page was last modified onAugust 20, 2009"
