Course Number,Course Name,Department,Prerequisites,Description
11000,Introduction to Business,BMRT,special approval of full-time BMRT faculty,"Overview of social, economic and consumer environments as related to large and small business. Emphasis is on production, marketing, finance, management and human resources. Prerequisites: US 10006 or Compass reading score minimum 86; and ENG 11001 or Compass writing score minimum 67.11006 Business Computations I (3)Application of algebraic and arithmetic concepts to accounting, finance and marketing. Computation of finance charges, taxes, fundamentals of inventory control and depreciation."
10006,or Compass reading score minimum 86; and ENG 11001 or Compass writing score minimum 67.11006 Business Computations I,BMRT,special approval of full-time BMRT faculty,"Application of algebraic and arithmetic concepts to accounting, finance and marketing. Computation of finance charges, taxes, fundamentals of inventory control and depreciation."
10006,or appropriate test score; and ENG 11001 or appropriate test score.11009 Introduction to Management Technology,BMRT,special approval of full-time BMRT faculty,"Study of planning, organizing, directing/leadership, controlling, staffing, decision making and communication theories, and management applications of human and material resources and methods."
10006,or appropriate test score; and ENG 11001 or appropriate test score.21000 Business Law and Ethics I,BMRT,special approval of full-time BMRT faculty,"Introduction to American law as related to government, business, society and the ethical issues that occur in the legal environment. Emphasis will focus on contract law. Relevant past and current law issues will be addressed."
10006,or appropriate test score; and ENG 11001 or appropriate test score.21002 Business Law and Ethics II,BMRT,special approval of full-time BMRT faculty,"This course is a continuation of Business Law and Ethics I. Topics include commercial paper, insurance, real property, partnerships and corporations, security devices and bankruptcy."
21004,Introduction to Business Statistics,BMRT,special approval of full-time BMRT faculty,"Basic decision-making statistics for business management. Emphasis is on probability theory, statistical inferences and decision making under uncertainty."
21005,Purchasing and Supply Management,BMRT,special approval of full-time BMRT faculty,"Practical approach to the material acquisition, management and supply chain function in the American business system."
11000,or special approval of full-time BMRT faculty.21006 Human Resources Management,BMRT,special approval of full-time BMRT faculty,"The study of contemporary issues of human resources. Covers planning, job design, selection, appraisal, compensation, training, life quality, safety/ health, diversity and unions."
11009,or special approval of BMRT faculty.21008 Case Studies in Management Technology,BMRT,special approval of full-time BMRT faculty,Application of management theory to actual business situations. Emphasis on decision making and evaluation of methods and styles of management in all functional areas.
21009,Seminar in Management Technology,BMRT,special approval of full-time BMRT faculty,"Last-semester students of business management technology engage in critical reading, writing and discussion to apply business theory to on-the-job experiences."
21008,or special approval of full-time BMRT faculty.21011 Fundamentals of Financial Management,BMRT,special approval of full-time BMRT faculty,"Understanding basic financial reports for analysis and performance of a business. Preparation of sales forecasts to develop capital and expense budgets. Prerequisites: ACTT 11000 and COMT 11000, or special approval of BMRT faculty.21020 Introduction to Entrepreneurship (3)Provides information about the functional elements of starting a small business. Includes the use of instruments, exercises and case analyses to assess entrepreneurial skills. IP grade permissible."
11000,"and COMT 11000, or special approval of BMRT faculty.21020 Introduction to Entrepreneurship",BMRT,special approval of full-time BMRT faculty,"Provides information about the functional elements of starting a small business. Includes the use of instruments, exercises and case analyses to assess entrepreneurial skills. IP grade permissible."
21023,Financing the Business Venture,BMRT,special approval of full-time BMRT faculty,"Course deals with determining capital needs, identifying sources of capital, developing a financial plan and interpreting financial statements. Both public and private loan programs will be reviewed."
21020,or special approval of full-time BMRT faculty.21050 Fundamentals of Marketing Technology,BMRT,special approval of full-time BMRT faculty,"Study of the basic concepts and principles involved in marketing a product/service with an emphasis on the marketing mix variables: product, price, place and promotion."
11000,and ECON 22060.21051 Fundamentals of Retailing,BMRT,special approval of full-time BMRT faculty,"A survey of retailing that emphasizes skills necessary for store organization, location, layout, pricing, merchandising and inventory control. New retail concepts are stressed."
11000,or special approval of BMRT faculty.21052 Professional Selling Techniques,BMRT,special approval of full-time BMRT faculty,Study of personal selling as a promotional technique to determine and satisfy the needs of buyers and to build a long-term relationship among all parties.
11000,or special approval of full-time BMRT faculty.21053 Advertising in Business,BMRT,special approval of full-time BMRT faculty,"A practical approach to the study of advertising. Emphasis is on the effective use of the media, creating advertising operations and advertising management."
21050,or special approval of BMRT faculty.21054 Insurance Principles,BMRT,special approval of full-time BMRT faculty,"Introduction to the types of insurance, risk management and ethics of insurance. Other topics to be addressed are contract law and retirement planning."
11000,or special approval of BMRT faculty.21055 Retail Merchandising,BMRT,special approval of full-time BMRT faculty,Principles and procedures of retail merchandising. Problem solving for merchandising and utilization of mathematical models. Procedures for planning and control of merchandise.
21051,or special approval of BMRT faculty.21056 Principles of Visual Display,BMRT,special approval of full-time BMRT faculty,Basic principles of visual display. Introduction to basic equipment used in display work. Window and interior displays in department and specialty stores.
