Course Number,Course Name,Department,Prerequisites,Description
15101,Elementary Chinese I,CHIN,CHIN 35202,An introduction to Mandarin Chinese in the context of modern Chinese-speaking cultures.
15102,Elementary Chinese II,CHIN,CHIN 35202,A continuation of the introduction to Mandarin Chinese in the context of modern Chinese-speaking cultures.
25201,Intermediate Chinese I,CHIN,CHIN 35202,"Continued development of speaking, listening, reading and writing skills, using a variety of cultural materials."
25202,Intermediate Chinese II,CHIN,CHIN 35202,Continuation of CHIN 25201.
30095,Special Topics,CHIN,CHIN 35202,Topic to be announced in Schedule of Classes.
35201,Advanced Intermediate Chinese I,CHIN,CHIN 35202,"Continuation of Intermediate Chinese II. Emphasis is on building active vocabulary for comprehension, reading authentic texts, writing of connected discourse and the development of conversation proficiency."
35202,Advanced Intermediate Chinese II,CHIN,CHIN 35202,"Continuation of Advanced Intermediate Chinese I. Emphasis is on building active vocabulary for comprehension, reading authentic texts, writing of connected discourse and the development of conversational proficiency."
45201,Advanced Chinese I,CHIN,CHIN 35202,"Continuation of Advanced Intermediate Chinese II. Emphasis is on building active vocabulary for comprehension, reading authentic texts,writing of connected discourse and the development of higher levels of conversational proficiency."
45202,Advanced Chinese II,CHIN,CHIN 35202,Continuation of Advanced Chinese I.
45301,Chinese Culture,CHIN,CHIN 35202,"Survey of Chinese culture including ethnic, religious and linguistic diversity and the roots of China’s current socio-cultural context."
45302,Business Chinese,CHIN,CHIN 35202,"Study of the business protocol, language functions, texts and vocabulary associated with travel and business in the Chinese-speaking world."
