Course Number,Course Name,Department,Prerequisites,Description
21201,English Words From Classical Elements,CLAS,junior standing,"Building of English vocabulary through study of basic roots from Latin and Greek; prefixes, suffixes, rules for accent and pronunciation; specialized scientific and legal terminology."
21404,The Greek Achievement,CLAS,junior standing,"A survey of the cultural achievements of the ancient Greeks as manifested in their poetry, philosophy, history and art from the Homeric period through the New Testament."
21405,The Roman Achievement,CLAS,junior standing,A survey of the cultural achievements of the ancient Romans as manifested in their literature and art from the Etruscans through the Christians.
21406,Sport and Ancient Daily Life,CLAS,junior standing,Investigation of the development of combat sports in the ancient world and the culture in which they evolved. Also emphasized is the development from amateur athletics in the Greek world to the Roman professional gladiators and charioteers.
40793,Variable Title Workshop in Classics (1-6)Workshops individually designed to provide instruction and training in specific areas of classical studies. S/U grading. Prerequisite: departmental special approval.41006 Roman History,CLAS,junior standing,(Cross-listed with HIST 41006) A survey of Roman history from its beginnings to the fall of the Roman Empire.
41095,Special Topics in Classics,CLAS,junior standing,Topics announced in the schedule of classes.
41096,"Individual Investigation (1 or 3)(Repeatable for a total of 9 hours) Investigation of problems in archaeology, mythology and ancient comparative literature. IP grade permissible. Prerequisite: departmental special approval.41097 Colloquium in Classics",CLAS,junior standing,"Detailed study of an aspect of antiquity that engages issues of current interest, for example women in antiquity, ancient Christianity, multiculturalism in antiquity."
41301,Classical Mythology,CLAS,junior standing,"Assessment of major streams of ancient mythology stressing broad humanistic concepts of religion, philosophy and literature."
41401,Greek Archaeology and Art,CLAS,junior standing,"(Cross-listed with ARTH 42031) Introduction to archaeology of the Greek world with emphasis on recent discoveries and their impact on the study of Greek art, architecture and sculpture through the Hellenistic period."
41402,Roman Archaeology and Art,CLAS,junior standing,"(Cross-listed with ARTH 42032) Introduction to archaeology of the Roman world with emphasis on recent discoveries and their impact on the study of Etruscan and Roman art, architecture and sculpture through the Imperial period."
41503,Greek Literature in Translation,CLAS,junior standing,"Major works of Greek literature, studied in their historical context and by genre; knowledge of Greek is not required."
