Course Number,Course Name,Department,Prerequisites,Description
10001,Computer Literacy,CS,special approval,"Introduction to history, language, procedures, applications, abuses and impact of computers. Hands-on experience with microcomputers. Not open to students with previous experience."
10051,Introduction to Computer Science,CS,special approval,"An introductory, broad and hands-on coverage of aspects of computer science including: algorithms, problem solving, operating systems concepts, computer architecture and programming languages. Three credit lecture with one credit lab. Prerequisites: MATH 11009 or 11010 or 480 SAT and Compass Algebra score of 55; or minimum 20 ACT and Compass Algebra score of 55; or minimum 620 SAT and Compass Algebra score of 36; or minimum 26 ACT and Compass Algebra score of 36. Special fee: $40 flat fee—subject to change. This course may be used to satisfy the Liberal Education Requirements (LER).10061 Introduction to Computer Programming (3)Emphasizes programming in a high-level language, includes structured programming, program design, expressions, data control, arrays, records, strings and functions."
11009,or 11010 or 480 SAT and Compass Algebra score of 55; or minimum 20 ACT and Compass Algebra score of 55; or minimum 620 SAT and Compass Algebra score of 36; or minimum 26 ACT and Compass Algebra score of 36. Special fee: $40 flat fee—subject to change. This course may be used to satisfy the Liberal Education Requirements (LER).10061 Introduction to Computer Programming,CS,special approval,"Emphasizes programming in a high-level language, includes structured programming, program design, expressions, data control, arrays, records, strings and functions."
11009,or 11010; or 480 SAT and Compass Algebra score of 55; or minimum 20 ACT and Compass Algebra score of 55; or minimum 620 SAT and Compass Algebra score of 36; or minimum 26 ACT and Compass Algebra score of 36 . Special fee: $40 flat fee—subject to change.13401 User-level Computer Security,CS,special approval,"Introduction to computer and network safety; detection and removal of viruses, detection and defense against spyware and rootkits, firewall description and use, protection mechanisms against computer system hacking, spam, identity theft and phishing, protecting wireless networks, safe computing. Includes many in-lecture tutorials."
19995,Special Topics in Computer Science (1-3)*(Repeat registration permissible) Special topics from all areas of computer science. Prerequisite: special approval.23021 Computer Science I—Programming and Problem Solving,CS,special approval,"Computer science concepts, including algorithm development and problem-solving strategies focused on procedural abstraction. High-level     programming concepts, including data types, expressions, program structures, functions, parameter passing scope, extent, arrays, introduction to recursion and an introduction to object-oriented concepts. Three-hour lecture and one-hour lab weekly."
23022,Discrete Structures for Computer Science,CS,special approval,"(Cross-listed with MATH 23022) Discrete structures for computer scientists with a focus on mathematical reasoning, combinatorial analysis, discrete structures, algorithmic thinking, applications and modeling. Specific topics include logic, sets, functions, relations, algorithms, proof techniques, counting, graphs, trees, Boolean algebra, grammars and languages. Prerequisites: Minimum grade of C (2.0) in CS 10051; and minimum grade of C (2.0) in MATH 11010; or 540 SAT and Compass Algebra score of 55; or 23 ACT and Compass Algebra score of 55..29995 Special Topics in Computer Science (1-3)*(Repeat registration permissible) Special topics from all areas of computer science."
29995,Special Topics in Computer Science (1-3)*(Repeat registration permissible) Special topics from all areas of computer science. Prerequisite: special approval.31045 Formal Logic,CS,special approval,(Cross-listed with PHIL 31045 and MATH 31045) Study of the first order predicted calculus with identity and function symbols.
31045,and MATH 31045) Study of the first order predicted calculus with identity and function symbols. Prerequisite: none.33001 Computer Science II - Data Structures and Abstraction,CS,special approval,"Computer science concepts and problem solving focusing on data abstraction. Object-oriented concepts and programming, including encapsulation, information hiding, object design, generics, polymorphism and an introduction to inheritance. Dynamic memory structures, including dynamic arrays, pointers, linked-lists and the use of recursion for problem solving. Abstract data types, including stacks, queues, lists, trees and graphs."
23022,and minimum C (2.0) grade in CS 23021. Special fee: $40 flat fee—subject to change.33006 Social and Ethical Issues in Computing,CS,special approval,"Social issues, including historical and social context, professional responsibilities, risks and liabilities, and intellectual property."
33011,Speed Programming,CS,special approval,(Repeated registration permissible) Discussion and practice of pertinent aspects related to programming under time constraints. Corequisite: CS 33001. Special fee: $40 flat fee—subject to change.33092 Speed Programming Practicum (2)(Repeated registration permissible) Practice of pertinent aspects from CS 33011.
33092,Speed Programming Practicum,CS,special approval,(Repeated registration permissible) Practice of pertinent aspects from CS 33011.
33101,Structure of Programming Languages,CS,special approval,"Introduction to syntax, semantics, behavior and implementation issues in imperative, functional, logic and object-oriented languages; type theory, concurrency, data dependency, nondeterminism and Internet languages."
33192,"Internship in Computer Science (1-3)Supervised work experience in computer science. Since this work will be outside the department, a report and final presentation will be required; a site visit might also be necessary. S/U grading; IP grade permissible. Prerequisites: CS 33006 and special approval.33211 Operating Systems",CS,special approval,"Introduction to operating systems, processes and threads, CPU scheduling, mutual exclusion and synchronization, deadlock, memory management, file systems, networking and distributed systems. Prerequisites: CS 35101 and minimum C (2.0) grade in CS 33001. Special fee: $40 flat fee—subject to change.33223 Unix Tools (3)Course will cover UNIX operating system environment topics that will make the user more productive. Topics will include the user environment, shells, files, the file system, editors, scripting languages, document processing, processes, remote access and documentation."
35101,and minimum C (2.0) grade in CS 33001. Special fee: $40 flat fee—subject to change.33223 Unix Tools,CS,special approval,"Course will cover UNIX operating system environment topics that will make the user more productive. Topics will include the user environment, shells, files, the file system, editors, scripting languages, document processing, processes, remote access and documentation."
35101,Computer Architecture,CS,special approval,"Functional overview of computer systems, interconnection of basic components, system performance measures, instruction set design, arithmetic logic unit, control unit, memory system, pipelining, interrupts and input-output."
38101,Introduction to Game Programming,CS,special approval,"Game engine scripting, event driven and data driven programming, game engine data structures, basic game related graphics and AI concepts, a short game development project."
39995,Special Topics in Computer Science (1-3)Special topics from all areas of computer science. Repeat registration permitted. Prerequisite: special approval.41012 Finite Mathematics,CS,special approval,"(Cross-listed with MATH 31012) A continuation of Discrete Math emphasizing combinatorial techniques, graph applications in algorithms, finite algebra, number theory and probability. Covers useful math for CS majors."
41045,Metalogic,CS,special approval,"(Cross-listed with MATH 41045 and PHIL 41045). Consideration of various metatheorems, including soundness and completeness of propositional and predicate calculus, undecidability of predicate calculus and incompleteness of the theory of arithmetic."
