Course Number,Course Name,Department,Prerequisites,Description
17001,Studio Modern I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Practice of basic modern dance technique. Open to all university students.
17002,Studio Modern Dance II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Exploration of modern dance technique foundations and improvisation with emphasis on the movement and performing qualities of modern dance. Open to all university students.
17004,Studio Jazz I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Practice of basic jazz techniques. Open to all university students.
17005,Studio Jazz II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continuation of jazz dance technique foundations with emphasis on more advanced dance combinations. Open to all university students.
17007,Studio Tap I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Basic tap steps and combinations with varying sound intensities and rhythms. Open to all university- students.
17008,Studio Tap II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continuation of tap dance technique foundations with emphasis on more advanced dance combinations.
17009,Studio Tap III,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 8 credit hours) Advanced tap dance techniques with emphasis on clarity, speed and performance skills."
17010,Studio Ballet I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"Introduction to the foundations of ballet placement, vocabulary and movement for the beginner. Open to all university students."
17011,Studio Ballet II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continuation of ballet technique foundations with emphasis on more advanced dance combinations. Open to all university students.
17013,Studio African Dance I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Designed to acquaint students with basic elements of African dance. Open to all university students.
17014,Studio African Dance II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continued development of African movement styles and rhythms. Open to all university students.
17016,Studio Swing Dance I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,*(Repeatable to 2 credit hours) Practice of basic swing dance movements with emphasis on social partnering skills. Open to all students.
17049,Fundamentals of Ballet and Modern Dance,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"Introduction to intensive exploration of ballet and modern dance technique for non-majors with special emphasis on alignment, body awareness and movement vocabulary. Prerequisites: DAN 17001 and 17010.17050 Introduction to Dance (1)Overview of modern dance as a performing art. Specifically, focusing on preparation, basic knowledge and career choices. Prerequisites: dance (DANC) major and special approval.17051 Modern Dance Technique I-A (3)*(Repeatable for a total of 12 credit hours) Development of skill acquisition in basic technique, understanding and appreciation for the creative nature of dance through exposure to improvisational experiences. Prerequisites: dance (DANC) major and special approval.17052 Ballet I-A (2)*(Repeatable for a total of 8 credit hours) Ballet techniques: Pre-barre, beginning barre and beginning center work. Prerequisites: dance (DANC) major and special approval.17053 Principles of Dance Mechanics I (2)The study and application of alignment and basic movement principles to dance techniques. To be taken with DAN 17051 or 17052. Prerequisites: dance (DANC) major and special approval. Corequisites: DAN 17051 or 17052.17151 Modern Dance Technique I-B (3)*(Repeatable for a total of 12 credit hours) Continued exploration of basic modern dance technique and improvisation begun in DAN 17051 or equivalent. Continued study of dance innovators and their historical significance. Prerequisites: dance (DANC) major and DAN 17051 and special approval.17152 Ballet I-B (2)*(Repeatable for a total of 8 credit hours) Continuation of ballet techniques studied in DAN 17052 - Ballet I-A. Prerequisites: dance (DANC) major and DAN 17052 and special approval.27057 Dance for Children (3)*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
