Course Number,Course Name,Department,Prerequisites,Description
10120,Introduction to Early Childhood Services,ECED,special approval and admission to advanced study,Orientation to the field of early childhood education: historical and present-day programs and services for young children ages 0-8.
20163,Understanding Young Children: Typical and Atypical Pathways,ECED,special approval and admission to advanced study,"Growth and development of young children from birth to age 8 as it occurs along both typical and atypical pathways. Corequisites: ECED 30134 and 30147 and 30164 and SPED 23000 and admission to advanced study.30123 Language and Literacy for the Preschool Child (3)An examination of the process of language and literacy development in preschool children. The course focuses on how preschool teachers integrate knowledge of development with early school and family literacy learning. Corequisites: ECED 30142 and 40145 and 40165 and 40192 and admission to advanced study.30134 Integrated Expressive Arts and Social Studies in Preschool (3)Young children’s development in the expressive arts and social studies; implications for development of the environment, integrated curriculum and teaching methods for preschool children. Corequisites: ECED 20163 and 30147 and 30164 and SPED 23000 and admission to advanced study. Special fee: $15 flat fee—subject to change.30142 Partnerships and Guidance for Preschool Children (3)Appropriate guidance strategies set the foundation for positive experiences our youngest children in school; patterns learned early often set a foundation for primary school entry. This course addresses the concerns of guidance, family partnerships and inclusive schooling with preschool children and their educators. It takes a proactive stance helping teachers develop a constructive guidance approach. Corequisite: ECED 30123 and 40145 and 40165 and 40192 and admission to advanced study.30144 Integrated Curriculum for Social Studies (3)Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field. Prerequisites: ECED 30134 and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science (3)Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development."
30134,and 30147 and 30164 and SPED 23000 and admission to advanced study.30123 Language and Literacy for the Preschool Child,ECED,special approval and admission to advanced study,"An examination of the process of language and literacy development in preschool children. The course focuses on how preschool teachers integrate knowledge of development with early school and family literacy learning. Corequisites: ECED 30142 and 40145 and 40165 and 40192 and admission to advanced study.30134 Integrated Expressive Arts and Social Studies in Preschool (3)Young children’s development in the expressive arts and social studies; implications for development of the environment, integrated curriculum and teaching methods for preschool children. Corequisites: ECED 20163 and 30147 and 30164 and SPED 23000 and admission to advanced study. Special fee: $15 flat fee—subject to change.30142 Partnerships and Guidance for Preschool Children (3)Appropriate guidance strategies set the foundation for positive experiences our youngest children in school; patterns learned early often set a foundation for primary school entry. This course addresses the concerns of guidance, family partnerships and inclusive schooling with preschool children and their educators. It takes a proactive stance helping teachers develop a constructive guidance approach. Corequisite: ECED 30123 and 40145 and 40165 and 40192 and admission to advanced study.30144 Integrated Curriculum for Social Studies (3)Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field. Prerequisites: ECED 30134 and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science (3)Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development."
30142,and 40145 and 40165 and 40192 and admission to advanced study.30134 Integrated Expressive Arts and Social Studies in Preschool,ECED,special approval and admission to advanced study,"Young children’s development in the expressive arts and social studies; implications for development of the environment, integrated curriculum and teaching methods for preschool children. Corequisites: ECED 20163 and 30147 and 30164 and SPED 23000 and admission to advanced study. Special fee: $15 flat fee—subject to change.30142 Partnerships and Guidance for Preschool Children (3)Appropriate guidance strategies set the foundation for positive experiences our youngest children in school; patterns learned early often set a foundation for primary school entry. This course addresses the concerns of guidance, family partnerships and inclusive schooling with preschool children and their educators. It takes a proactive stance helping teachers develop a constructive guidance approach. Corequisite: ECED 30123 and 40145 and 40165 and 40192 and admission to advanced study.30144 Integrated Curriculum for Social Studies (3)Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field. Prerequisites: ECED 30134 and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science (3)Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development."
20163,and 30147 and 30164 and SPED 23000 and admission to advanced study. Special fee: $15 flat fee—subject to change.30142 Partnerships and Guidance for Preschool Children,ECED,special approval and admission to advanced study,"Appropriate guidance strategies set the foundation for positive experiences our youngest children in school; patterns learned early often set a foundation for primary school entry. This course addresses the concerns of guidance, family partnerships and inclusive schooling with preschool children and their educators. It takes a proactive stance helping teachers develop a constructive guidance approach. Corequisite: ECED 30123 and 40145 and 40165 and 40192 and admission to advanced study.30144 Integrated Curriculum for Social Studies (3)Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field. Prerequisites: ECED 30134 and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science (3)Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development."
30123,and 40145 and 40165 and 40192 and admission to advanced study.30144 Integrated Curriculum for Social Studies,ECED,special approval and admission to advanced study,"Objectives, resources, curriculum development, methods of teaching social studies and expressive arts at kindergarten and primary levels; emphasis on developing integrated social studies curriculum; infusing multiple forms of expressive arts into integrated curriculum and assessment; and engaging professional collaboration with teachers in the field. Prerequisites: ECED 30134 and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science (3)Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development."
30134,and admission to advanced study. Corequisites: ECED 40114 and 40126 and 40127 and 40128 and 40147.30147 Early Experiences in Mathematics and Science,ECED,special approval and admission to advanced study,Instructional psychology and materials for effective teaching of mathematics and science in preschool settings with a theoretical emphasis on cognitive development.
14001,and 14002 and admission to advanced study. Corequisites: ECED 20163 and 30134 and 30164 and SPED 23000. Special fee: $15 flat fee—subject to change.30164 Preschool Education,ECED,special approval and admission to advanced study,"Integrated curriculum utilizing principles of developmentally appropriate practice in settings for children under age 5. Field experience two mornings a week. Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school/agency"" before the first day of the semester in which student teaching/internship will take place. Corequisites: ECED 20163 and 30134 and 30147 and SPED 23000 and admission to advanced study.40093 Variable Title Workshop in Early Childhood Education (1-5)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State early childhood faculty members and may include experts from outside agencies and other institutions. S/U grading."
20163,and 30134 and 30147 and SPED 23000 and admission to advanced study.40093 Variable Title Workshop in Early Childhood Education (1-5)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State early childhood faculty members and may include experts from outside agencies and other institutions. S/U grading. Prerequisite: special approval.40105 Appropriate Phonics Instruction for Kindergarten and Primary Children,ECED,special approval and admission to advanced study,"An examination of phonics in early reading and writing development, effective strategies for teaching and assessing phonics appropriate for kindergarten and primary grade children. Corequisites: ECED 40107 and 40142 and 40151 and EDPF 29535 and admission to advanced study.40107 Teaching Mathematics: Early Years I (3)Instructional psychology and materials for effective teaching of mathematics in grades K-1 with a theoretical emphasis on cognitive development. Prerequisites: ECED 30147 and MATH 14001 and 14002 and admission to advanced study. Corequisites: ECED 40105 and 40142 and 40151 and EDPF 29535.40114 Teaching Science in the Early Years (3)This course investigates engaging young children in inquiry-based processes of science. Emphasis is given to creating developmentally appropriate experiences in accordance to NAEYC guidelines. National and state science standards, as well as the college and graduate school of education conceptual framework. Attention is focused on the use of science materials, safety, planning, assessment and incorporating science across the curriculum."
40107,and 40142 and 40151 and EDPF 29535 and admission to advanced study.40107 Teaching Mathematics: Early Years I,ECED,special approval and admission to advanced study,"Instructional psychology and materials for effective teaching of mathematics in grades K-1 with a theoretical emphasis on cognitive development. Prerequisites: ECED 30147 and MATH 14001 and 14002 and admission to advanced study. Corequisites: ECED 40105 and 40142 and 40151 and EDPF 29535.40114 Teaching Science in the Early Years (3)This course investigates engaging young children in inquiry-based processes of science. Emphasis is given to creating developmentally appropriate experiences in accordance to NAEYC guidelines. National and state science standards, as well as the college and graduate school of education conceptual framework. Attention is focused on the use of science materials, safety, planning, assessment and incorporating science across the curriculum."
